# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							Πλήρες αρχείο καταγραφής αλλαγών
report_intake_list_tooltip_insane				Οι κρατούμενοι παράφρονες εγκληματίες αισθάνονται ένα συνεχές επίπεδο καταπίεσης και χρειάζονται νέα καπιτονέ κελιά και ψυχιατρική βοήθεια για να ικανοποιηθεί η ιδιωτικότητα, η άνεση, η ασφάλεια και η ελευθερία τους, προτού εκραγούν.\n\nΔεν μπορείς να αιτηθείς κρατούμενους παράφρονες εγκληματίες μέχρι να έχεις ετοιμάσει μερικά καπιτονέ κελιά ή ένα καπιτονέ κελί κράτησης.\n\nΤα κανονικά κελιά μπορούν να μετατραπούν σε καπιτονέ κελιά μέσω του μενού Δωμάτια.
report_intake_insane_intake_empty				Δεν μπορεί να γίνει εισδοχή κρατουμένων παραφρόνων εγκληματιών αυτή τη στιγμή.\n Πρέπει να κτίσετε καπιτονέ κελιά ή καπιτονέ κελιά κράτησης.\nΤα κανονικά κελιά μπορούν να μετατραπούν σε καπιτονέ κελιά μέσω του μενού Δωμάτια.
report_staff_group_prisoners_insane				Παράφρονες εγκληματίες
report_Criminally_Insane						Παράφρονες εγκληματίες
report_Pyschopathic								Ψυχοπαθής

report_intake_enable_insane					Ενεργοποίηση
report_intake_psychward_title					Psych Ward: Warden’s Edition
report_intake_psychward_tooltip					Ενεργοποίησε το παιχνίδι Psych Ward: Warden’ Edition γι' αυτή τη φυλακή.\n\nΑυτό θα σου επιτρέψει εισδοχή κρατούμενων παραφρόνων εγκληματιών, ωστόσο ίσως επιθυμείς πρώτα να προετοιμάσεις τη φυλακή.\n\nΜπορείς να απευθυνθείς και να προσλάβεις ψυχιάτρους και μέλη προσωπικού για φροντιστές. Μπορούν να δημιουργηθούν καπιτονέ κελιά και κελιά κράτησης.\n\nΤόσο οι ψυχίατροι όσο και τα καπιτονέ κελιά θα βοηθήσουν στη διατήρηση της ηρεμίας και στον έλεγχο των κρατούμενων παραφρόνων εγκληματιών. 

reformerror_no_psychiatrist					ΔΕΝ ΥΠΑΡΧΕΙ ΨΥΧΙΑΤΡΟΣ
reform_completion_psychiatrist              - *X Ολοκλήρωσαν - *Y Θεραπεύτηκαν (*P%)
report_staff_group_orderlies				Φροντιστές

# =============================================================================
# Research
# =============================================================================
research_Orderly							Φροντιστής
research_Psychiatrist							Ψυχίατρος
                     
researchtooltip_Orderly							Οι κανονικοί φύλακες δεν επιτρέπεται να επιτεθούν σε κρατούμενους παράφρονες εγκληματίες καθώς ενδέχεται να τους τραυματίσουν στη διαδικασία.\nΟι φροντιστές είναι ειδικά εκπαιδευμένοι για να περιορίζουν τους παράφρονες εγκληματίες χωρίς να τους τραυματίζουν.\nΟι φροντιστές θα φορέσουν επίσης ζουρλομανδύες στους ψυχοπαθείς κρατούμενους τη νύχτα για να τους αποτρέψουν από το να αυτοτραυματιστούν κατά τη διάρκεια της νύχτας.
researchtooltip_Psychiatrist					Ένα ανώτερο μέλος του προσωπικού που παρέχει στους κρατούμενους παράφρονες εγκληματίες τακτικές συμβουλές.\nΟι ψυχίατροι παρέχουν τακτικές ατομικές συνεδρίες για να κατευνάσουν τους κρατούμενους παράφρονες εγκληματίες, μόλις έχουμε στη διάθεσή μας ένα πρόγραμμα ψυχιατρικών διαβουλεύσεων. \nΕάν έχουμε πολλούς κρατούμενους παράφρονες εγκληματίες, θα πρέπει να προσλάβουμε μερικούς ψυχιάτρους για να τους στηρίξουμε όλους. Βεβαιωθείτε επίσης ότι έχει κάθε ένας το γραφείο ψυχιάτρου του.


# =============================================================================
# Misc
# =============================================================================

doortimer_security_Insane			            Παράφρων

buildtoolbar_header_foundationmain				Κύριο
buildtoolbar_header_foundationmore				Περισσότερα

reformprogram_PsychiatricConsultation			Ψυχιατρική συμβουλευτική
reformprogram_PsychiatricConsultation_text		Όλοι οι κρατούμενοι παράφρονες εγκληματίες χρειάζονται τακτικές ατομικές καθημερινές συνεδρίες ηρεμίας με τον ψυχίατρό μας, για να μειώσουν το αυξανόμενο αίσθημα καταστολής που νιώθουν. Η έλλειψη ψυχιατρικής βοήθειας μπορεί να προκαλέσει βίαια ξεσπάσματα και άλλες μοναδικές αντιδράσεις από αυτούς τους κρατούμενους.
reform_program_properties_NeedToBeEscorted		Οι κρατούμενοι ίσως χρειαστεί να συνοδεύονται σε αυτή τη συνεδρία.
reform_program_intake_insane				Μόνο κρατούμενοι παράφρονες εγκληματίες.

insane_letter									Αγαπητέ Κύριε/Κυρία,\n\n\nΑκολουθούν ορισμένες σημαντικές κατευθυντήριες γραμμές για να βεβαιωθείτε πως είστε προετοιμασμένοι με τις κατάλληλες εγκαταστάσεις και το προσωπικό ώστε να παρέχετε κατάλληλη φροντίδα σε κρατούμενους παράφρονες εγκληματίες.\n\n1.  Οι κρατούμενοι παράφρονες εγκληματίες πρέπει να έχουν καπιτονέ κελιά. Μπορείτε να μετατρέψετε απλά κελιά σε καπιτονέ κελιά (μέσω του μενού Δωμάτια). Μόλις αποκτήσετε καπιτονέ κελιά, θα μπορείτε να δεχτείτε την πρώτη παρτίδα κρατουμένων.\n\n2.  Βεβαιωθείτε ότι έχετε ψυχιάτρους και φροντιστές στο προσωπικό σας. Οι ψυχίατροι θα χρειάζονται επίσης ειδικό γραφείο.\n\n3.  Θεσπίστε ορισμένα μερικά ψυχιατρικά προγράμματα συμβουλευτικής για τους κρατούμενους παράφρονες εγκληματίες σας. Αυτές οι ατομικές συνεδρίες με ψυχίατρο (και τα καπιτονέ κελιά), βοηθούν ώστε να παραμένουν οι κρατούμενοι υπό έλεγχο. Η αναβάθμιση του γραφείου του ψυχίατρου θα βελτιώσει επίσης την ικανότητα θεραπείας. \n\n4. Εάν αφεθεί χωρίς θεραπεία και έλεγχο, ένας κρατούμενος παράφρων εγκληματίας μπορεί να παρουσιάσει απρόβλεπτες συμπεριφορές, να επιχειρήσει να δραπετεύσει ή να γίνει βίαιος.\n\n5.  Οι φροντιστές θα βοηθούν στη συνοδεία και στη θεραπεία και δεν θα καταστέλλουν τους κρατούμενους όπως οι κανονικοί φρουροί. Θα χρειαστείτε επίσης φροντιστές για να φορούν στους ψυχοπαθείς κρατούμενους παράφρονες εγκληματίες σας ζουρλομανδύες στο τέλος της ημέρας. \n\n6.  Εάν υπάρξει συναναστροφή ανάμεσα σε κρατούμενους παράφρονες εγκληματίες και άλλους κρατούμενους μπορεί μερικές φορές να προκληθούν προβλήματα. Είναι καλή ιδέα να οικοδομήσουμε και να διαχωρίσουμε τα τμήματα παραφρόνων εγκληματιών από τις καντίνες, τις αυλές και άλλους χώρους. Και ίσως να επιθυμείτε να έχετε τα γραφεία των ψυχιάτρων κοντά στα συγκροτήματα των παραφρόνων εγκληματιών.\n\n7.  Τέλος, οι κρατούμενοι από άλλα επίπεδα ασφάλειας έχουν πλέον την ευκαιρία να γίνουν παράφρονες εγκληματίες, οπότε έχετε το νου σας\n\nΟ Διευθύνων Σύμβουλος,\nPrison Architects Corp

job_StraitJacket                         Εφαρμογή/αφαίρεση ζουρλομανδύα
job_EscortInsane                         Συνοδεία παράφρονα εγκληματία
status_effect_sedated					Ναρκωμένος

orderly_description                     Οι φροντιστές είναι ειδικά εκπαιδευμένοι στο χειρισμό και στη νάρκωση (εάν απαιτείται) κρατούμενων παραφρόνων εγκληματιών.
pyschiatrist_description                ΟΛΟΙ οι κρατούμενοι παράφρονες εγκληματίες απαιτούν τακτικές ατομικές συμβουλευτικές συνεδρίες με ψυχίατρο. Προσθέστε συνεδρίες ψυχιατρικής συμβουλευτικής μέσω του μενού Προγράμματα. 

insanetooltip_status                    Κατάσταση: *X
insanetooltip_status_level0             ΗΡΕΜΟΣ
insanetooltip_status_level1             ΤΑΡΑΓΜΕΝΟΣ
insanetooltip_status_level2             ΑΣΤΑΘΗΣ
insanetooltip_status_level3             ΣΕ ΔΙΕΓΕΡΣΗ!
insanetooltip_behaviour					Συμπεριφορά: *X

mutator_name_ReducedDirtBuildup						Μείωση συσσώρευσης βρωμιάς
mutator_tooltip_ReducedDirtBuildup					Η ταχύτητα που συσσωρεύεται η βρωμιά και οι ακαθαρσίες γύρω από τη φυλακή σου μειώνεται στο μισό.
administrator_requiresoffice_psychiatrist            Χρειάζεται γραφείο ψυχιάτρου

dlc_insane_upsell				Αυτή η αποθήκευση χρησιμοποιεί περιεχόμενο από την επέκταση του "Psych Ward: Warden's Edition". Καθώς δεν μπορέσαμε να εντοπίσουμε την επέκταση στο σύστημά σου, ορισμένα χαρακτηριστικά θα απενεργοποιηθούν. Σκέψου το ενδεχόμενο να αγοράσει το "Psych Ward: Warden's Edition" για να αξιοποιήσεις στο έπακρο την εμπειρία του Prison Architect.
dlc_insane_upsell_multiplayer 	Ο οικοδεσπότης αυτού του παιχνιδιού πολλών παικτών αγόρασε την επέκταση του "Psych Ward: Warden's Edition", στην οποία θα έχεις επίσης πρόσβαση ως επισκέπτης. Καλή απόλαυση!

regime_work_pyscho              Προγράμματα/Δωρεάν χρόνος
regime_worklockdown_pyscho      Προγράμματα/Κλείδωμα

regimetooltip_work_pyscho			Σημείωση Οι παράφρονες κρατούμενοι δεν είναι σε θέση να εργαστούν και μπορούν μόνο να παρακολουθήσουν προγράμματα κατά τη διάρκεια των περιόδων εργασίας
regimetooltip_worklockdown_pyscho	Σημείωση Οι παράφρονες κρατούμενοι δεν είναι σε θέση να εργαστούν και μπορούν μόνο να παρακολουθήσουν προγράμματα κατά τη διάρκεια των περιόδων εργασίας


# =============================================================================
# Nameplate status
# ============================================================================= 

nameplate_sedation_level						Επίπεδο νάρκωσης
teacher_teaching_pschiatrist                    Θεραπεία		
pschiatrist_count_status						*X Ολοκληρώθηκε η ψυχιατρική συμβουλευτική


############################### SNEEZER UPDATE ###############################

# =============================================================================
# Rapsheet
# ============================================================================= 

action_escortToInfirmary						Συνοδεία στο αναρρωτήριο

# =============================================================================
# Interface Mode
# =============================================================================

interfacelogistics_cellStatus					Κατάσταση κελιού

buildtoolbar_popup_help_CellStatus_1			Η προβολή Κατάσταση κελιού σου δείχνει τα κελιά που είναι κατειλημμένα (κόκκινα) και άδεια (πράσινα).
buildtoolbar_popup_help_CellStatus_2			Μπορείς να κάνεις κλικ σε ένα κατειλημμένο κελί για να δεις τον κρατούμενο στον οποίο έχει εκχωρηθεί.

freeCell										Ελεύθερο κελί
freeCell_line0									Αυτό το κελί δεν είναι κατειλημμένο επί του παρόντος.
occupiedCell									Κατειλημμένο κελί
occupiedCell_line0								*X *Y, *Z
occupiedCell_line1								Αριστερό κλικ εμφάνιση αυτού του κρατούμενου.
object_prisoner_freshfish						Κρατούμενος (καινούργιος)

total_Connections								Ο συνολικός αριθμός συνδέσεων: *X
active_Connections								Ο μέγιστος αριθμός ενεργών συνδέσεων: *X

interfacedeployment_VisitorDirection			Κατεύθυνση επισκεπτών

interface_action_move							Μετακίνηση

equipment_moreContraband						Μαύρη αγορά

# =============================================================================
# Reports
# =============================================================================

report_intake_cat_PrisonerTransfer				Μεταφορά κρατούμενου!
report_intake_list_tooltip_prisonerTransfer		\n\nΠροσφέρονται κατά διαστήματα κρατούμενοι υψηλού κινδύνου οι οποίοι είναι πολύ επικίνδυνοι για άλλες φυλακές. \nΣε προειδοποιούμε! Υπάρχει λόγος που πληρώνουν πολλά. Πρόκειται για σκληροτράχηλους εγκληματίες τους οποίους δεν επιθυμεί να έχει καμία άλλη φυλακή.
rapsheet_category_PrisonerTransfer				Μεταφορά κρατούμενου!

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_tooltip_noUtilities		Οι σωλήνες νερού και τα ηλεκτρικά καλώδια δεν μπορούν να κατασκευαστούν από κάτω.

buildtoolbar_deployment_VisitorDirection 	Κάνε κλικ και σύρε για να δείχνεις τη σήμανση δαπέδου.\n\nΑυτό δίνει στους μη κρατούμενους μια υπόδειξη σχετικά με το προς τα πού να κατευθυνθούν.\nΒοηθάει στον έλεγχο της ροής ατόμων στη φυλακή σου.

# =============================================================================
# Programs
# =============================================================================

guard_program_requirements             – Κάθε φύλακας απαιτεί *X

schedule_zone_insaneSecOnly						Για ψυχιατρικά προβλήματα

# =============================================================================
# Codex
# =============================================================================

codex_option_lunar								Σεληνιακό οικόπεδο
codex_tooltip_lunar								Δημιούργησε ένα αρχικό οικόπεδο που μοιάζει με σεληνιακή επιφάνεια.

codex_option_doubleClick						Κάντε διπλό κλικ για μετακίνηση αντικειμένων

# =============================================================================
# Clone Tool
# =============================================================================

BuildCost_CloneRoom								Δωμάτιο κλωνοποίησης

# =============================================================================
# Missing Strings
# =============================================================================

codex_startonline                   Σύνδεση στο διαδίκτυο
codex_start                         Δημιουργία παιχνιδιού
codex_joinonline                    Συμμετοχή σε διαδικτυακό παιχνίδι
codex_join                          Συμμετοχή σε παιχνίδι
codex_usernamelabel                 Όνομα χρήστη:
codex_namelabel                     Όνομα παιχνιδιού:
codex_passwordlabel                 Κωδικός πρόσβασης:
codex_passwordprotectedlabel        Προστασία με κωδικό πρόσβασης;
codex_listedlabel                   Σε δημόσια λίστα;
codex_roomlistlabel                 Λίστα παιχνιδιών:
codex_connectinglabel               Σύνδεση σε διακομιστή...
codex_retrievingserverlistlabel     Ανάκτηση λίστας παιχνιδιών...
codex_datausage                     Χρήση δεδομένων: Απεσταλμένα - *SkB/s, Ληφθέντα - *RkB/s
codex_multiplayeroptions            Διαχείριση παικτών
codex_playeroptions                 Παίκτες
codex_regionlabel                   Περιοχή:

multiplayer_chooseroomname          Επιλέξτε όνομα παιχνιδιού
multiplayer_chooseusername          Επιλέξτε όνομα χρήστη
multiplayer_joining                 Συμμετοχή: *X
multiplayer_joiningstate_joining    Συμμετοχή σε παιχνίδι
multiplayer_joiningstate_receiving  Λήψη κόσμου
multiplayer_joiningstate_loading    Φόρτωση κόσμου
multiplayer_rejoining               Εκ νέου συμμετοχή σε παιχνίδι έπειτα από επέκταση γης:
multiplayer_leavegame_confirm       Είσαι σίγουρος(η) ότι θέλεις να αποχωρήσεις από το τρέχον συνεργατικό παιχνίδι σου;
multiplayer_hostleft                Ο κεντρικός υπολογιστής έχει αποσυνδεθεί.
multiplayer_joingamefailed          Αποτυχία συμμετοχής στο παιχνίδι:
multiplayer_startgamefailed         Αποτυχία έναρξης του παιχνιδιού:
multiplayer_incorrectpassword       Λάθος κωδικός πρόσβασης
multiplayer_disconnected            Απώλεια σύνδεση στον διακομιστή.
multiplayer_syncerror               Αποσυνδέθηκε λόγω σφάλματος συγχρονισμού.\n\nΕπιχείρησε να συμμετάσχεις ξανά στο παιχνίδι σου.
multiplayer_hostonly                Διαθέσιμο μόνο για παίκτη κεντρικού υπολογιστή.
multiplayer_modsdisabled            Οι τροποποιήσεις έχουν απενεργοποιηθεί για διαδικτυακό παιχνίδι
multiplayer_mutatorsdisabled        Οι μεταλλάκτες έχουν απενεργοποιηθεί για διαδικτυακό παιχνίδι
multiplayer_kicked                  Σε έδιωξαν από το παιχνίδι.
multiplayer_kick                    Εκδίωξη
multiplayer_ban                     Απαγόρευση

multiplayer_host                    Κεντρικός υπολογιστής:

multiplayer_welcomeanalytics        Καλώς όρισες στο Prison Architect Multiplayer.\n\nΕργαστήκαμε για να προσφέρουμε την πλήρη εμπειρία Prison Architect σε εφαρμογή πολλών παικτών. Το Prison Architect αποτελεί μεγάλο παιχνίδι και αυτή είναι η πρώτη φορά που κάνουμε τη λειτουργία πολλών παικτών διαθέσιμη σε όλους, έτσι ώστε να παρακολουθούμε τυχόν προβλήματα που ενδέχεται να αντιμετωπίσουν οι παίκτες.\n\nΓια να μας βοηθήσεις με αυτό, θα θέλαμε να συλλέξουμε ανώνυμες αναλύσεις για να βοηθήσουν στην επίλυση τυχόν προβλημάτων που μπορεί να έχουν οι παίκτες με το παιχνίδι. Αυτό μπορεί να απενεργοποιηθεί ανά πάσα στιγμή από το μενού επιλογών. Μπορείς να δείτε τα δεδομένα που συλλέγουμε στο metrics.txt\n\nΕλπίζουμε να απολαύσεις το παιχνίδι Prison Architect με τους φίλους σου.

region_asia                         Ασία
region_au                           Αυστραλία
region_cae                          Καναδάς, Ανατολή
region_eu                           Ευρώπη
region_in                           Ινδία
region_jp                           Ιαπωνία
region_ru                           Ρωσία
region_rue                          Ρωσία, Ανατολή
region_sa                           Νότια Αμερική
region_kr                           Νότια Κορέα
region_us                           ΗΠΑ, Ανατολή
region_usw                          ΗΠΑ, Δύση

codex_options_disableattract            Απενεργοποίηση αρχικής οθόνης προσέλκυσης
codex_option_escapeplans                Σχέδια απόδρασης
buildtoolbar_rollcall                   Καταμέτρηση
buildtoolbar_tooltip_rollcall           Καλέστε όλους τους κρατούμενούς σου να σταθούν έξω από τα κελιά τους. Διατίθεται μόνο κατά τη διάρκεια του ύπνου και της νύχτας.
interfacecontrol_graphs                 Γραφικές παραστάσεις
interfacecontrol_graphs_tooltip         Ανοίγει την οθόνη Γραφικές παραστάσεις, η οποία σου επιτρέπει να συγκρίνεις γραφικές παραστάσεις διαφόρων πτυχών της φυλακής σου.

graph_title                             Γραφικές παραστάσεις

graph_label_1                           Τύπος δεδομένων 1
graph_label_2                           Τύπος δεδομένων 2
graph_label_day                         Ημέρα

graph_axis_none                         Καθόλου
graph_axis_profit                       Κέρδος
graph_axis_funds                        Χρήματα
graph_axis_prisonsize                   Μέγεθος φυλακής (m²)
graph_axis_numprisoners                 Αριθμός κρατουμένων
graph_axis_numstaff                     Αριθμός προσωπικού
graph_axis_releasedprisoners            Αποφυλακισμένοι κρατούμενοι
graph_axis_totalreleasedprisoners       Σύνολο αποφυλακισμένων κρατουμένων
graph_axis_escapedprisoners             Δραπέτες κρατούμενοι
graph_axis_totalescapedprisoners        Σύνολο δραπετών κρατουμένων
graph_axis_entitydeath                  Θάνατοι
graph_axis_totaldeaths                  Σύνολο θανάτων
graph_axis_prisonerdeaths               Θάνατοι κρατουμένων
graph_axis_guarddeaths                  Θάνατοι φυλάκων
graph_axis_securitygrading              Βαθμολογία ασφαλείας
graph_axis_healthgrading                Βαθμολογία υγείας
graph_axis_reformgrading                Βαθμολογία αναμόρφωσης
graph_axis_punishmentgrading            Βαθμολογία τιμωρίας
graph_axis_reoffendingrate              Ποσοστό υποτροπής
graph_axis_prisonvalue                  Αξία φυλακής
graph_axis_prisonercapacity             Χωρητικότητα κρατουμένων
graph_axis_numincidents                 Αριθμός περιστατικών
graph_axis_totalincidents               Σύνολο περιστατικών

equipment_Photo				φωτογραφία	
equipment_SubMachineGun			Οπλοπολυβόλο	
equipment_Soap				Σαπούνι	
