# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Registro Completo Delle Modifiche
buildtoolbar_popup_uts_PowerExportMeter	Un oggetto che permette di restituire alla rete elettrica l'energia immagazzinata in cambio di una rendita in denaro. Per funzionare correttamente deve essere collegato tramite cavi a un trasformatore con batterie connesse.
d11_continuous_fertilizer_tooltip	Scegli se vuoi acquistare automaticamente il fertilizzante o meno, e la sua qualità.
d11_crop_types_tooltip	Scegli se le colture acquistate automaticamente saranno naturali o geneticamente modificate. Le colture OGM hanno un tempo di crescita ridotto del 50%, ma anche il prezzo di esportazione è inferiore del 50%. In più, non apportano benefici aggiuntivi quando vengono consumate dai detenuti.
d11_farm_search_freq_tooltip	Le stanze agricole non sono incluse nelle normali perquisizioni. Utilizza questa opzione per decidere se all'interno di queste stanze agricole devono essere fatte delle ricerche regolari.
d11_farm_search_target_tooltip	Le stanze agricole non sono incluse nelle normali perquisizioni. Utilizza questa opzione per decidere quali oggetti o entità vadano ricercate attraverso l'opzione Frequenza delle ricerche.
d11_continuous_planting_tooltip	Questa opzione automatizzerà il lavoro di reimpianto delle colture dopo che sono state raccolte, simile alla logica del vivaio.
d11_researchhint_l_farming	Questa ricerca sblocca molte funzionalità legate all'agricoltura. Include: sistemi di agricoltura automatizzata, colture più costose, bidone del compost, fertilizzanti, stanza della dispensa e frigorifero alto, oltre ai lavori forzati e al metodo per controllare la distribuzione delle colture.
object_quickconnect	Connetti velocemente
objective_GoingGreenInfo_child_1	Le caratteristiche di Vai col verde sono elencate in basso: passando con il cursore su ogni sottotitolo compariranno una descrizione e una spiegazione di ogni funzionalità.
d11_cropDistributionHint	Click destro: gestisci distribuzione
dlc_name_seaAirLand	Confinati su un isola
dlc_name_greenMachine	Vai col verde
material_SellFlooring	Vendi pavimentazione
object_farmer	Fattore
object_CompostBin	Bidone compost
room_flowergarden	Fiore da giardino
buildtoolbar_popup_room_Pantry	Una stanza per conservare frutta e ortaggi appena cresciuti. La stanza è refrigerata per meglio conservare gli ingredienti coltivati dai detenuti.
buildtoolbar_popup_obj_CompostBin	Permette di riciclare il cibo e i rifiuti organici in utile fertilizzante.
buildtoolbar_popup_obj_PinkFlamingo	Un allegro classico da giardino.
buildtoolbar_popup_staff_farmer	Cura la crescita delle colture e gestisce i posti di lavoro legati alle stanze dell'orto, del frutteto e dei campi agricoli.
buildtoolbar_popup_uts_quickconnect	Collega velocemente qualsiasi sistema di sorveglianza o di automazione al suo oggetto di destinazione.
contraband_Ingredient	Ingrediente per alcol
contraband_Kicker	Alcol puro
contraband_StashLocation	Nascondiglio merce
Ingredients_UsageCaption	Proporzione
d11_manageCropsInstructions	Puoi fare clic su una percentuale per bloccarla e impedire alle altre stanze di modificare l'importo. Oppure puoi utilizzare i pulsanti freccia per modificare le percentuali con l'importo complessivo per coltura limitato al 100% su tutte le stanze collegate.
objective_target_ExportPower1	Obiettivo energia verde 3
objective_target_ExportPower1_description	Il limite esportazione di energia è aumentato a 1000 unità.
objective_target_ExportPower1_task	Esporta 1000 unità di energia.
objective_target_ExportPower1_reward	Obiettivo energia verde 3 completato.
objective_target_ExportPower1_reward_text	Limite esportazione di energia aumentato a 1000 unità
objective_target_ExportPower2	Obiettivo energia verde 4
objective_target_ExportPower2_description	Il limite esportazione di energia è aumentato a 2500 unità.
objective_target_ExportPower2_task	Esporta 2500 unità di energia.
objective_target_ExportPower2_reward	Obiettivo energia verde 4 completato.
objective_target_ExportPower2_reward_text	Limite esportazione di energia aumentato a 2500 unità
objective_target_ExportPower3	Obiettivo energia verde 5
objective_target_ExportPower3_description	Il limite esportazione di energia è aumentato a 5000 unità.
objective_target_ExportPower3_task	Esporta 5000 unità di energia.
objective_target_ExportPower3_reward	Obiettivo energia verde 5 completato.
objective_target_ExportPower3_reward_text	Limite esportazione di energia aumentato a 5000 unità
interface_title_targets	Obiettivi per l'energia verde
objective_HelpGreenEnergy_child_3_description	A causa delle proprietà dell'energia verde grezza, ogni nuova fonte di energia deve essere collegata a un trasformatore tramite cavi elettrici prima che la loro energia possa essere utilizzata per gli apparecchi elettrici. \n\nInoltre, il trasformatore non solo converte l'energia verde grezza in una forma utilizzabile di energia, ma può anche caricare qualsiasi batteria adiacente. \n\nL'energia immagazzinata all'interno delle batterie si può utilizzare come alimentazione di emergenza, oppure esportare tramite il misuratore di esportazione di energia.
objective_HelpGreenEnergy_child_5_description	Nel menu Sovvenzioni è possibile trovare una serie di obiettivi per l'energia verde. Completando questi obiettivi si otterranno premi tra cui: \n\n-Innalzamento del limite giornaliero di esportazione di energia\n-Sblocco di fonti di energia aggiuntive \n-Incremento delle prestazioni delle fonti di energia verde già acquistate.
objective_HelpNarcoticProduction_child_2_description	La produzione di droga, invece, si svolgerà all'interno di una singola stanza, il campo agricolo. I detenuti tenteranno di manomettere le colture esistenti per nascondere le droghe coltivabili. \n\nLe piante alterate risulteranno Puzzolenti e potranno essere rilevate dai cani da guardia, ma queste aree non saranno mai considerate nelle perquisizioni, perciò dovrai dare ordine di ricerca manuale, con il rischio che la ricerca danneggi le colture. \n\nAl momento del raccolto verranno recuperati anche i narcotici, purché la raccolta sia effettuata dal detenuto giusto. \n\nInoltre, le gang possono prendere il controllo dei campi agricoli per garantirsi la gestione della produzione di narcotici.
objectiveWindow_FilterButton_0_title	Mansioni
objectiveWindow_FilterButton_1_title	Vai col verde
objectiveWindow_FilterButton_0_tooltip	Mansioni in corso
objectiveWindow_FilterButton_1_tooltip	Informazioni che spiegano e descrivono le funzionalità chiave di Vai col verde
escapemode_info_board	Imbarcati sul traghetto
objective_HelpEnvironmentallyFriendly	Ecocompatibile
object_OxStatue	Statua di bue
object_PaperDragonHead	Drago (testa)
object_PaperDragonBody	Drago (intero)
object_PaperDragonTail	Drago (coda)
object_PaperLantern	Lanterna di carta
object_CoupletBanner	Stendardo con distici
buildtoolbar_popup_obj_OxStatue	Una statua zodiacale che rappresenta il potente bue
buildtoolbar_popup_obj_PaperDragonHead	Una testa di drago di carta
buildtoolbar_popup_obj_PaperDragonBody	Un corpo di drago di carta
buildtoolbar_popup_obj_PaperDragonTail	Una coda di drago di carta
buildtoolbar_popup_obj_PaperLantern	Una lanterna rossa decorativa per illuminare la tua prigione
buildtoolbar_popup_obj_CoupletBanner	Uno stendardo decorativo con dei versi in cinese
object_PinkFlamingo	Fenicottero rosa
object_HayBale	Balla di fieno
object_FlowerPlanterWateringCan	Fioriera (annaffiatoio)
object_FlowerPlanterWellies	Fioriera (stivali)
object_FlowerPlanterWheelbarrow	Fioriera (carriola)
object_SmallServingTable	Tavolo per servire (piccolo)
object_TrayDispenser	Porta-vassoi
object_SolarWallLight	Lampada a muro (solare)
buildtoolbar_popup_obj_HayBale	Non c'è niente di più campestre che un bel mucchio di fieno.
buildtoolbar_popup_obj_FlowerPlanterWateringCan	Un semplice contenitore trasformato in vaso da fiori.
buildtoolbar_popup_obj_FlowerPlanterWellies	Un paio di stivali trasformati in vasi da fiori.
buildtoolbar_popup_obj_FlowerPlanterWheelbarrow	Una variopinta aggiunta alle tue aree esterne.
buildtoolbar_popup_obj_SmallServingTable	Servi qui il cibo per i detenuti.
buildtoolbar_popup_obj_TrayDispenser	Si usa per riporre i vassoi. Capienza massima: 200.
buildtoolbar_popup_obj_SolarWallLight	Una lampada ad alimentazione solare posizionabile sui muri. Di notte si accende automaticamente.
object_FoodTrayPack	Pacco di vassoi
buildtoolbar_popup_obj_FoodTrayPack	Un pacco da 40 vassoi. Doppio clic/Tieni premuto per purchase.
d11_staffalert_summary_BasicFarming03	A differenza delle altre colture, gli alberi da frutto produrranno continuamente frutta. Per questo motivo non vanno sostituiti dopo ogni raccolto.
d11_ingredients_crops_per_day_tooltip	Il numero di colture acquistate nelle ultime 24 ore.
buildtoolbar_popup_mat_grasscornerfloor	Zolla erbosa d'angolo. Utile per gli angoli dei sentieri.
buildtoolbar_popup_mat_grasscornerfloor1	Zolla erbosa d'angolo. Utile per gli angoli dei sentieri.
buildtoolbar_popup_mat_grasscornerfloor2	Zolla erbosa d'angolo. Utile per gli angoli dei sentieri.
buildtoolbar_popup_mat_grasscornerfloor3	Zolla erbosa d'angolo. Utile per gli angoli dei sentieri.
buildtoolbar_Logistics_CropDistribution	Controlla in quali stanze verranno portate le colture raccolte. Puoi cambiare le percentuali di distribuzione anche tramite la finestra Gestisci distribuzione.
d11_hover_alert_water	Richiede acqua
d11_hover_alert_electricity	Richiede elettricità
interfacemode_objectPack_filter_caption	Filtra il numero di oggetti visualizzati in base al pacchetto di espansione associato.
interfacemode_objectType_filter_caption	Filtra il numero di oggetti visualizzati in base al tipo di oggetti.
d11_powerstation_overloaded_two_stations	In sovraccarico, le centrali elettriche non devono essere collegate tra loro
buildtoolbar_deployment_PrioritizeFarmer	Usa questa opzione per far sì che i fattori schierati diano la priorità ad aree specifiche della tua prigione. Se sei a corto di personale, i fattori cercheranno innanzitutto di coprire le aree prioritarie. Assegna 1, 2 o 3 fattori per definire la priorità dell'area.
interfacetopbar_tooltip_totalFarmers	*X fattori in totale
interfacetopbar_tooltip_farmer	Il numero di fattori liberi da incarichi di cui disponi nella tua prigione.
d11_farm_search_target_option_everything	Tutto
interface_action_searchRoom	Perquisisci la stanza
mutator_name_Noir	Noir
mutator_tooltip_Noir	Un filtro cupo e lugubre che rimuove gran parte del colore dalla tua prigione.
mutator_name_RoofView	Visuale tetti
mutator_tooltip_RoofView	Applica un effetto simile alla nebbia di guerra, ma mostra i tetti degli edifici invece della "nebbia" nelle aree a bassa visibilità.
job_group_hovering_expand	Fai clic per espandere i tipi di lavoro simili
job_group_hovering_collapse	Fai clic per comprimere i tipi di lavoro simili
d11_hover_quantity	x *X
dlc_name_psychWard	Corsia psichiatrica
d11_farm_search_freq_option_never	Mai
objective_HelpGreenEnergy_child_1_description	Ci sono tre nuove fonti di energia verde che possono essere utilizzate per sostituire la centrale elettrica. \n\nTurbine a vento \nPannelli solari \n\nTurbine a vento a energia solare. \nInizialmente saranno disponibili solo i pannelli solari. Ciascuna fonte di energia verde ha proprietà leggermente diverse, come l'energia erogata, ma a differenza delle centrali elettriche tutte queste fonti possono essere collegate in serie fino a un massimo di 50 oggetti.
objective_HelpNarcoticProduction_child_1_description	I detenuti che soddisfano determinati requisiti potranno produrre il proprio alcol. \n\nPer prima cosa recupereranno gli ingredienti per l'alcool dalle stanze agricole, dalle zone della cucina o dai distributori automatici a cui hanno accesso. \n\nPoi prepareranno questi ingredienti di notte, all'interno delle loro celle, e infine lasceranno l'alcol a fermentare per alcuni giorni.
codex_options_staffalertscaption	Allarmi personale
reports_farmingpolicytitle	Politica agricola
report_policy_categoryTooltip_PrisonerTransfer	LEGGENDARIO
roomgrading_has_pa_system	[*X] Il blocco di celle è dotato di impianto annunci
buildtoolbar_popup_mat_Water	Crea ruscelli, fiumi e altre aree acquatiche non valicabili.
interfacecallout_AirSoldiers	Soldati aviotrasportati
object_walkwaystairs	Scale per camminamenti (WIP)
buildtoolbar_popup_obj_walkwaystairs	Posizionale accanto a un camminamento sopraelevato (Camminamento a muro) in modo che le guardie possano accedere ai camminamenti e pattugliare dall'alto.
buildtoolbar_popup_mat_PerimeterWall	Qui sotto non puoi costruire tubi dell'acqua.
dlc_name_prisonWing	Trasferimento autorizzato
report_target_rewards	[Ricompense]
report_target_progress	[Progressi]
grant_property_Active	Attiva
reform_program_and	e
objective_intake_closedriot	Ammissioni non disponibili durante le rivolte dei detenuti.
reputation_swimmer_high	Nuotatore
uniform_color_1	Grigio
uniform_color_2	Arancione
uniform_color_3	Rosso
uniform_color_4	Giallo
uniform_color_5	Mattone
uniform_color_6	Nero
uniform_color_7	Bianco
uniform_color_9	Rosa
uniform_color_10	Marrone
uniform_color_11	Verde
uniform_color_12	Blu
uniform_color_13	Celeste
uniform_color_14	Salmone
uniform_color_15	Velluto
uniform_color_16	Viola
uniform_color_17	Lime
uniform_color_18	Rosa fluo
uniform_color_19	Turchese
uniform_color_20	Canna di fucile
uniform_color_21	Sabbia
uniform_color_22	Bordeaux
uniform_color_23	Zuppa
uniform_color_24	Acido
uniform_color_25	Tempesta
uniform_color_26	Violetto
uniform_color_27	Sporco
uniform_color_28	Acciaio
uniform_color_29	Lilla
uniform_color_30	Crema
uniform_color_31	Oceano
object_TherapyAnimal	Terapia con animali
object_TherapyAnimalContainer	Contenitore terapia con animali
object_AnimalTherapist	Specialista di terapia con animali
object_RestaurantCustomer	Cliente civile
object_DisplayCounter	Bancone espositivo
object_RehabilitatedPrisoner	Detenuto riabilitato
object_Oven	Forno
object_DoughMixer	Impastatrice
object_Dough	Impasto
object_BreadLoaf	Pagnotta
object_BreadBun	Panino
object_Cake	Dolce
object_Cupcake	Dolcetto
object_Baguette	Baguette
object_CivilianChild	Delinquente
object_RestaurantMeal	Pasto da ristorante
object_RestaurantIngredientsCooking	Pasto da ristorante (in cottura)
object_RestaurantPlateDirty	Piatto (sporco)
object_CakeStand	Alzatina
object_GrassBridge	Ponte strada erbosa
object_DiningTableLarge	Tavolo da ristorante (grande)
object_DiningTableSmall	Tavolo da ristorante (piccolo)
object_DinerBooth	Separé da tavola calda
object_DiningChair	Sedia da ristorante
object_SaloonDoor	Porte da saloon (doppie)
object_OrnateLantern	Lanterna decorata
object_Chandelier	Lampadario
object_WallPanel	Pannello murale (rosso)
object_WallPanelWood	Pannello murale (legno)
object_WallPanelStone	Pannello murale (pietra)
object_WallPanelCorner_A	Pannello murale ad angolo - Tipo A (rosso)
object_WallPanelWoodCorner_A	Pannello murale ad angolo - Tipo A (legno)
object_WallPanelStoneCorner_A	Pannello murale ad angolo - Tipo A (pietra)
object_WallPanelCorner_B	Pannello murale ad angolo - Tipo B (rosso)
object_WallPanelWoodCorner_B	Pannello murale ad angolo - Tipo B (legno)
object_WallPanelStoneCorner_B	Pannello murale ad angolo - Tipo B (pietra)
object_ShopCounter	Bancone negozio
object_NoEntrySign	Cartello (vietato l'ingresso)
object_GymSign	Cartello (palestra)
object_PhoneSign	Cartello (telefono)
object_RestaurantSign	Cartello (ristorante)
object_BakerySign	Cartello (panificio)
object_VisitationSign	Cartello (visite)
object_BakeryRawProduct	Prodotti da forno crudi
object_BakeryCookedProduct	Prodotti da forno cotti
object_Flour	Farina
buildtoolbar_popup_obj_DisplayCounter	Unità di servizio usata per conservare i prodotti da forno.
buildtoolbar_popup_obj_Oven	Unità di cottura specializzata, utilizzata per cuocere prodotti da forno.
buildtoolbar_popup_obj_DoughMixer	Trasforma la farina (e altri ingredienti nascosti) in impasto per prodotti da forno.
buildtoolbar_popup_obj_CakeStand	Espositore per deliziosi dolcetti
buildtoolbar_popup_obj_GrassBridge	Ponte coperto d'erba che permette un passaggio sicuro sulle strade.
buildtoolbar_popup_obj_DiningTableLarge	Tavolo di alta qualità che darà un gran tocco di classe a qualsiasi pasto.
buildtoolbar_popup_obj_DiningTableSmall	Tavolo di alta qualità che darà un gran tocco di classe a qualsiasi pasto.
buildtoolbar_popup_obj_DinerBooth	Seduta a separé sullo stile delle classiche tavole calde americane.
buildtoolbar_popup_obj_DiningChair	Sedia di alta qualità che darà un gran tocco di classe a qualsiasi pasto.
buildtoolbar_popup_obj_SaloonDoor	Doppie porte in legno sullo stile di un vecchio saloon
buildtoolbar_popup_obj_OrnateLantern	Lanterna da parete di alta qualità che darà un gran tocco di classe a qualsiasi area.
buildtoolbar_popup_obj_Chandelier	Illuminazione da soffitto di alta qualità che darà un gran tocco di classe a qualsiasi area.
buildtoolbar_popup_obj_NoEntrySign	Cartello a parete con il simbolo Vietato l'ingresso.
buildtoolbar_popup_obj_GymSign	Cartello a parete con il simbolo di una palestra.
buildtoolbar_popup_obj_PhoneSign	Cartello a parete con il simbolo di un telefono.
buildtoolbar_popup_obj_RestaurantSign	Cartello a parete con il simbolo di un ristorante.
buildtoolbar_popup_obj_BakerySign	Cartello a parete con il simbolo di un panificio.
buildtoolbar_popup_obj_VisitationSign	Cartello a parete con il simbolo Visite.
buildtoolbar_popup_obj_WallPanel	Pannelli murali singoli corti, utilizzati per creare aree separate senza eliminare la piastrellatura.
buildtoolbar_popup_obj_WallPanelWood	Pannelli murali singoli corti, utilizzati per creare aree separate senza eliminare la piastrellatura.
buildtoolbar_popup_obj_WallPanelStone	Pannelli murali singoli corti, utilizzati per creare aree separate senza eliminare la piastrellatura.
buildtoolbar_popup_obj_WallPanelCorner_A	Parti angolari per pannelli murali, utilizzati per creare aree separate senza eliminare la piastrellatura.
buildtoolbar_popup_obj_WallPanelWoodCorner_A	Parti angolari per pannelli murali, utilizzati per creare aree separate senza eliminare la piastrellatura.
buildtoolbar_popup_obj_WallPanelStoneCorner_A	Parti angolari per pannelli murali, utilizzati per creare aree separate senza eliminare la piastrellatura.
buildtoolbar_popup_obj_WallPanelCorner_B	Parti angolari per pannelli murali, utilizzati per creare aree separate senza eliminare la piastrellatura.
buildtoolbar_popup_obj_WallPanelWoodCorner_B	Parti angolari per pannelli murali, utilizzati per creare aree separate senza eliminare la piastrellatura.
buildtoolbar_popup_obj_WallPanelStoneCorner_B	Parti angolari per pannelli murali, utilizzati per creare aree separate senza eliminare la piastrellatura.
buildtoolbar_popup_obj_ShopCounter	Bancone per transazioni commerciali. Non richiede un muro per essere posizionato.
room_Restaurant	Ristorante
room_Bakery	Panificio
room_TherapyRoom	Sala incontri
d11_restaurant_work	Ristorante
d11_restaurant_work_desc	Assegna i detenuti a uno dei nostri ristoranti per cucinare e servire i clienti civili. I detenuti devono avere esperienza lavorativa in cucina o nel servizio clienti.
d11_bakery_work	Panificio
d11_bakery_work_desc	Assegna i detenuti a uno dei nostri panifici per preparare prodotti da forno per i clienti civili. I detenuti devono avere esperienza lavorativa in cucina o nel servizio clienti.
buildtoolbar_popup_room_TherapyRoom	Un "ambiente sicuro" dove svolgere le sessioni di terapia con gli animali e gli incontri con gli ex detenuti.
buildtoolbar_popup_room_Restaurant	I detenuti con esperienza in cucina o nel servizio clienti possono preparare e servire cibo ai clienti civili.
buildtoolbar_popup_room_Bakery	I detenuti con esperienza in cucina o nel servizio clienti possono preparare pane e dolci da vendere ai clienti civili.
quickbuild_Therapy	Sala incontri
quickbuild_Restaurant	Ristorante
quickbuild_Bakery	Panificio
quickbuild_Reception	Reception
reformprogram_AnimalTherapy	Terapia con animali
reformprogram_AnimalTherapy_text	Spesso i detenuti lottano per controllare il proprio temperamento o altri pensieri negativi. Attraverso queste sessioni e i legami che si formano, i detenuti impareranno come rimanere calmi e ridimensionare qualsiasi situazione in cui si trovino prima che diventi violenta.
reformProgram_ConflictResolution	Risoluzione dei conflitti
reformProgram_ReformedPrisonerConsultation	Consulto detenuto riabilitato
reformProgram_ReformedPrisonerConsultation_text	L'idea di questo programma è cambiare l'atteggiamento degli attuali detenuti invitando un ex detenuto riabilitato a parlare delle sue esperienze e della sua nuova vita.
reformProgram_juvenilecorrection	Programma Tre possibilità
reformProgram_juvenilecorrection_text	Permettere ai detenuti e ai "delinquenti" civili di interagire dovrebbe avere un effetto positivo su entrambi, purché i detenuti abbiano ricevuto la giusta formazione o possiedano il corretto livello di esperienza nel servizio clienti per interagire con questi "delinquenti".
reformProgram_socialtraining	Formazione Tre possibilità
reformProgram_socialtraining_text	Permettere ai detenuti di interagire con civili che non conoscono è una preoccupazione diffusa. Questo programma insegna quali azioni siano consentite e quali no, oltre ad aumentare l'esperienza dei detenuti nel servizio clienti.
reformProgram_RehabilitatedPrisoner_text	Questo ex detenuto è diventato un cittadino modello e, oltre al suo attuale impiego, si è preso la responsabilità di usare il proprio tempo per aiutare chi fatica a riabilitarsi, offrendosi come consulente carcerario.
reformProgram_Occupation	Luogo di lavoro:
report_Sentences	Adeguamenti sentenza
sentences_tooltip_onOff	Attiva o disattiva questa azione per abilitare o disabilitare gli adeguamenti di sentenza.
sentences_tooltip_resetCriteria	Ripristina i criteri di adeguamento ai valori proposti dalla prigione.
sentences_tooltip_extensionValue	Seleziona per quanto tempo verrà estesa la sentenza di un detenuto una volta soddisfatti i criteri richiesti.
sentences_tooltip_reductionValue	Seleziona di quanto tempo verrà ridotta la sentenza di un detenuto una volta soddisfatti i criteri richiesti.
sentences_description	Imposta i criteri per adeguare la sentenza di un detenuto, che sia per ridurla per buona condotta, o estenderla per cattiva condotta.\nLe estensioni e le riduzioni di sentenza possono svolgersi nella stessa settimana, ma hanno entrambe un tempo di recupero di 7 giorni.
sentences_unavailable	N/A
reduction_caption	Valore riduzione
extension_caption	Valore estensione
adjustment_criteria	Criteri di adeguamento
goodBehaviour_DaysInLabour	Giorni di lavoro
goodBehaviour_LoweredRate	Tasso di recidività ridotto
sentences_resetCriteria	Criteri di ripristino
misconduct_tooltip_InjuredStaff	I detenuti potranno subire un'estensione della sentenza se hanno attaccato qualsiasi membro dello staff il numero di volte specificato.
misconduct_tooltip_InjuredPrisoner	I detenuti potranno subire un'estensione della sentenza se hanno attaccato altri detenuti il numero di volte specificato.
misconduct_tooltip_SeriousInjury	I detenuti potranno subire un'estensione della sentenza se hanno provocato gravi infortuni il numero di volte specificato.
misconduct_tooltip_Murder	I detenuti potranno subire un'estensione della sentenza se hanno commesso un omicidio il numero di volte specificato.
misconduct_tooltip_EscapeAttempt	I detenuti potranno subire un'estensione della sentenza se hanno cercato di evadere il numero di volte specificato.
goodBehaviour_tooltip_NoIncident	I detenuti potranno beneficiare di una riduzione della sentenza se non sono stati segnalati incidenti per il numero di giorni specificato.
goodBehaviour_tooltip_ProgramsPassed	I detenuti potranno beneficiare di una riduzione della sentenza se hanno superato un numero di programmi specificato.
goodBehaviour_tooltip_DaysInLabour	I detenuti potranno beneficiare di una riduzione della sentenza se hanno preso parte al lavoro carcerario per il numero di giorni consecutivi specificato.
goodBehaviour_tooltip_LoweredRate	I detenuti potranno beneficiare di una riduzione della sentenza se il loro tasso di recidività si è ridotto della quantità specificata.
sentences_tooltip_criteriaMet	Regola questo valore per decidere quanti criteri debba soddisfare un detenuto perché la sua sentenza venga adeguata.
work_and_education	Lavoro e formazione
d11_work_experience	Esperienza lavorativa
experience_WorkCook	Esperienza in cucina
experience_WorkCleaner	Esperienza nelle pulizie
experience_WorkCraftsman	Esperienza nell'artigianato
experience_WorkLabourer	Esperienza nel lavoro manuale
experience_WorkRCS	Esperienza nel servizio clienti
experience_WorkReform	Completare questo programma aumenterà del 50% l'esperienza lavorativa del detenuto nel campo: *X.
experience_WorkCook_desc	I detenuti con il 50% di esperienza in questo campo possono lavorare direttamente in cucine, ristoranti o panifici. Con un'esperienza più alta avranno maggiore efficienza negli impieghi associati.
experience_WorkCleaner_desc	I detenuti che ottengono esperienza in questo campo avranno maggiore efficienza negli impieghi legati alle pulizie.
experience_WorkCraftsman_desc	I detenuti con il 50% di esperienza in questo campo possono lavorare direttamente nelle officine. Con una maggiore esperienza avranno anche maggiore efficienza.
experience_WorkLabourer_desc	I detenuti che ottengono esperienza in questo campo avranno maggiore efficienza negli impieghi legati al lavoro manuale.
experience_WorkRCS_desc	I detenuti con il 50% di esperienza in questo campo possono partecipare direttamente al programma Tre possibilità e ai lavori di servizio. Con una maggiore esperienza avranno una maggiore efficienza negli impieghi legati al servizio clienti.
d11_cleaner	Inserviente
d11_craftsman	Artigiano
d11_labourer	Lavoratore
d11_RACS	Servizio clienti
experiencefactor_FactorWorkExperience	Ha *X% di esperienza lavorativa in tutti gli ambiti di esperienza
d11_reform_average_reoffending_rate_x_days	% recidività media (-*X giorni)
d11_reform_average_punishment_grade	Valutazione punizione media
d11_reform_average_health_grade	Valutazione salute media
d11_reform_average_security_grade	Valutazione sicurezza media
d11_reform_average_exp_grade	Valutazione esperienza lavorativa media
d11_reform_average_reform_grade	Valutazione riabilitazione media
d11_reform_progrom_live	Programmi di riabilitazione dal vivo
d11_reform_program_places	Posti programma di riabilitazione
d11_reform_program_attendance	Partecipanti programma di riabilitazione
d11_reform_program_pass_rate	Tasso di superamento programma di riabilitazione
d11_reform_released_prisoners_design_info	Quando un detenuto verrà scarcerato dalla tua prigione, riceverai degli avvisi sulle sue azioni, a seconda che sia recidivo oppure che si sia riabilitato e abbia trovato un lavoro. La tua prigione verrà rispettivamente multata o ricompensata.
d11_reform_prisoners_action_reformed	RIABILITATO!
d11_reform_prisoners_action_reoffended	RECIDIVO!
d11_reform_prisoners_action_reoffended_returned	*X è stato rimandato nella tua prigione
d11_reform_prisoners_outcome_reformed	Ha trovato lavoro in: *X della città
d11_reform_prisoners_outcome_reoffended	È stato arrestato e tornerà nella tua prigione.
d11_reform_prisoners_outcome_reoffended_returned	Fai attenzione: i detenuti con più incarcerazioni diventano più pericolosi.
d11_reform_reformed_prisoner_rewards	Ricompense detenuto riabilitato (ieri)
d11_reform_reformed_reoffending_prisoner_fines	Multe detenuto recidivo (ieri)
d11_reform_reoffending_stats_title	Statistiche % recidività
d11_reform_initial_reoffending_chance	% recidività iniziale:
d11_reform_current_reoffending_chance	% recidività attuale
d11_reform_reoffending_chance_delta	Modifica % recidività:
d11_reform_job_outcome_cook	Ristorante
d11_reform_job_outcome_cleaner	Agenzia di pulizie
d11_reform_job_outcome_craftsman	Fabbrica
d11_reform_job_outcome_labourer	Compagnia di edilizia
d11_reform_job_outcome_RAC	Centro commerciale
d11_reform_job_outcome_default	Ufficio postale
d11_reform_required_reoffending_rate_title	% idoneità libertà condizionata:
d11_reform_no_prisoners_found	Non sono stati trovati detenuti!
d11_all_prisoner_wages	Tutte le paghe prigioniero
d11_report_policy_wage_hint	Paghe più alte motivano i detenuti a partecipare al lavoro carcerario e ai relativi programmi.
d11_wage	Paga
d11_adjust_wage_description	Quando partecipano al lavoro carcerario, i detenuti ricevono una paga. Le paghe possono essere regolate singolarmente o globalmente per ogni tipo di lavoro. La formazione richiesta varia in base all'impiego, quindi c'è la possibilità di aumentare la paga oraria guadagnata dai detenuti in ruoli più qualificati.
d11_intake_arrival_caption	Arrivo ingressi
d11_intake_arrival_tooltip	L'orario standard per l'ingresso di nuovi detenuti è alle 8:00. Questa opzione consente di personalizzare l'orario per adattarsi alle esigenze della tua prigione.
d11_intake_restrictions_caption	Rimuove tutte le restrizioni all'ingresso
d11_intake_restrictions_tooltip	Eventi problematici, come le rivolte dei detenuti o gli scioperi del personale, di solito bloccano l'ingresso dei prigionieri fino al successivo giorno disponibile. Questa opzione permetterà ai prigionieri di essere inviati alla tua prigione in qualsiasi circostanza, purché ci sia un'area di consegna disponibile.
rapsheet_stint	Incarcerazioni
reform_reward	Ricompensa detenuto riabilitato
help_warning_prisonerreleased	I programmi di riabilitazione sono fondamentali per il reinserimento dei detenuti nella società. Alcuni criminali inizieranno nuove vite di successo, mentre altri torneranno alle vecchie abitudini e commetteranno altri crimini. I detenuti riabilitati porteranno un'ulteriore ricompensa in denaro, ma alcuni detenuti recidivi potrebbero tornare nella tua prigione. Non solo dovrai pagare una multa per il fallimento della riabilitazione, ma questi detenuti potrebbero aver preso nuove cattive abitudini mentre erano fuori.
finances_category_reformed	Detenuti riabilitati
finances_category_reoffended	Multa per recidività
finances_category_prisonerbonus	Bonus sovvenzione detenuto
d11_labour_management	Gestione del lavoro
d11_LabourManagementDescription	Questo menu ti fornisce il controllo dei detenuti autorizzati a lavorare qui, gli orari di lavoro e le opzioni di schieramento rapido delle guardie.
d11_HighestSecurityLevel	Livello di sicurezza massimo
d11_LabourManagement_RegimeActivity_hint	Seleziona gli slot di regime disponibili per l'arrivo dei clienti, tra Lavoro, Tempo libero o entrambi.
d11_LabourManagement_HighestSecurityLevel_hint	Il livello di sicurezza massimo dei prigionieri a cui è consentito lavorare qui. Non può essere superiore al settore di sicurezza della stanza.
d11_LabourManagement_GuardDeployment_hint	Un modo rapido per assegnare le guardie all'area in presenza di civili.
d11_dollar_per_hour	*X $/ora
d11_incomplete	Incompleto
