# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							รายการบันทึกการเปลี่ยนแปลงทั้งหมด
researchtooltip_Orderly							ผู้คุมทั่วไปจะไม่สามารถทำร้ายอาชญากรวิกลจริตได้ เพราะพวกเขาอาจจะทำให้อาชญากรวิกลจริตบาดเจ็บได้\nผู้คุมจะได้รับการฝึกแบบพิเศษเพื่อให้สามารถควบคุมอาชญากรวิกลจริตได้โดยที่ไม่ทำร้ายพวกเขา\nเจ้าหน้าที่คอยช่วยเหลือจะช่วยใส่ชุดผู้ป่วยทางจิตให้กับอาชญากรวิกลจริตในเวลากลางคืนเพื่อป้องกันไม่ให้พวกเขาทำรายตัวเองในเวลากลางคืน
researchtooltip_Psychiatrist					สมาชิกเจ้าหน้าที่ระดับสูงที่คอยให้คำแนะนำในการดูแลอาชญากรวิกลจริต\nเมื่อมีการจัดตั้งโปรแกรมปรึกษาอาการทางจิตในเรือนจำแล้ว จะมีนักจิตวิทยาคอยจัดการสนทนาหนึ่งต่อหนึ่งเป็นประจำเพื่อช่วยสงบสติอารมณ์ของอาชญากรวิกลจริต\nหากเรามีอาชญากรวิกลจริตมากเกินไป เราควรต้องจ้างนักจิตวิยามาเพื่อช่วยเหลือพวกเขาทุกคน อย่าลืมสร้างห้องสำนักงานให้พวกเขาแต่ละคนด้วยล่ะ


# =============================================================================
# Misc
# =============================================================================

doortimer_security_Insane			            บ้าคลั่ง

buildtoolbar_header_foundationmain				หลัก
buildtoolbar_header_foundationmore				เพิ่มเติม

reformprogram_PsychiatricConsultation			การบำบัดอาการทางจิต
reformprogram_PsychiatricConsultation_text		อาชญากรวิกลจริตทุกคนต้องได้รับการพูดคุยกับจิตแพทย์ของเราแบบตัวต่อตัวเป็นประจำเพื่อช่วยลดความรู้สึกถูกกดดัน หากมีการช่วยเหลือจากจิตแพทย์ไม่เพียงพอ อาจจะเกิดการก่อเหตุรุนแรงและการตอบสนองเฉพาะตัวของนักโทษกลุ่มนี้ได้
reform_program_properties_NeedToBeEscorted		นักโทษทั่วไปอาจจะต้องเข้ารับการบำบัดด้วยเช่นกัน
reform_program_intake_insane				อาชญากรวิกลจริตเท่านั้น

insane_letter									เรียน ผู้เล่นที่รัก\n\n\nนี่คือคำแนะนำสำคัญที่จะช่วยให้คุณพร้อมรับมือกับอาชญากรวิกลจริตทั้งด้านอาคารและเจ้าหน้าที่\n\n1. คุณจำเป็นต้องมีห้องขังกันกระแทกสำหรับอาชญากรวิกลจริต คุณสามารถเปลี่ยนห้องขังธรรมดาให้กลายเป็นห้องขังกันกระแทกได้ (ผ่านเมนูห้อง) เมื่อคุณมีห้องขังกันกระแทกแล้วคุณจะสามารถรับนักโทษชุดแรกเข้ามาได้\n\n2. อย่าลืมจ้างจิตแพทย์และเจ้าหน้าที่คอยช่วยเหลือ จิตแพทย์จำเป็นต้องมีสำนักงานพิเศษของตัวเอง\n\n3. จัดการบำบัดอาการทางจิตให้กับอาชญากรวิกลจริต การพูดคุยตัวต่อตัวกับจิตแพทย์ (และห้องขังกันกระแทก) จะช่วยให้สามารถควบคุมนักโทษเหล่านี้ได้ การอัพเกรดสำนักงานของจิตแพทย์จะช่วยเพิ่มประสิทธิภาพของการบำบัดด้วย\n\n4. การละเลยและไม่คอยเช็ค อาชญากรวิกลจริตอาจแสดงพฤติกรรมที่คาดเดาไม่ได้ เช่น พยายามแหกคุก หรือกลายเป็ยคนชอบความรุนแรง\n\n5. เจ้าหน้าที่คอยช่วยเหลือจะช่วยเคลื่อนย้ายและรักษานักโทษ และพวกเขาจะไม่กดดันนักโทษเหมือนกับผู้คุมทั่วๆ ไป และคุณต้องอาศัยให้เจ้าหน้าที่คอยช่วยเหลือช่วยใส่ชุดผู้ป่วยทางจิตให้กับอาชญากรวิกลจริตในเวลากลางคืนอีกด้วย\n\n6. การที่อาชญากรวิกลจริตเข้าไปปนกับคนอื่นๆ อาจจะก่อให้เกิดปัญหาได้ การสร้างและแยกพื้นที่ของอาชญากรวิกลจริต เช่น ห้องครัว สวน และพื้นที่อื่นๆ ออกมาเป็นความคิดที่ดี และคุณอาจจะต้องการสร้างสำนักงานของจิตแพทย์ใกล้ๆ กับ ห้องขังของอาชญากรวิกลจริต\n\n7. สุดท้าย นักโทษจากระดับความปลอดภัยอื่นๆ มีโอกาสที่จะกลายเป็นอาชญากรวิกลจริตได้ เพราะฉะนั้นคอยตรวจสอบดูให้ดีด้วย\n\nซีอีโอ\nPrison Architects Corp

job_StraitJacket                         ใส่/ถอด ชุดผู้ป่วยทางจิต
job_EscortInsane                         นำทางอาชญากรวิกลจริต
status_effect_sedated					ผ่อนคลาย

orderly_description                     เจ้าหน้าที่คอยช่วยเหลือได้รับการฝึกฝนพิเศษมาเพื่อรับมือและให้ความผ่อนคลาย (หากจำเป็น) กับอาชญากรวิกลจริต
pyschiatrist_description                อาชญากรวิกลจริตทุกคนจำเป็นต้องได้รับการบำบัดอาการทางจิตโดยพูดคุยตัวต่อตัวกับจิตแพทย์ เพิ่มการบำบัดอาการทางจิตผ่านเมนูโปรแกรม

insanetooltip_status                    สถานะ: *X
insanetooltip_status_level0             สงบ
insanetooltip_status_level1             ไม่สบายใจ
insanetooltip_status_level2             ไม่แน่นอน
insanetooltip_status_level3             ถูกกระตุ้น!
insanetooltip_behaviour					พฤติกรรม: *X

mutator_name_ReducedDirtBuildup						ลดปริมาณดินก่อตัว
mutator_tooltip_ReducedDirtBuildup					ความเร็วที่ดินและโคลนก่อตัวรอบเรือนจำลดลงครึ่งหนึ่ง
administrator_requiresoffice_psychiatrist            ต้องการสำนักงานของจิตแพทย์

dlc_insane_upsell				บันทึกนี้ใช้เนื้อหาจากส่วนเสริม "Psych Ward: Warden's Edition" เนื่องจากเราตรวจสอบไม่พบส่วนเสริมในระบบของคุณ คุณสมบัติบางอย่างจะถูกปิด โปรดพิจารณาซื้อ "Psych Ward: Warden's Edition" เพื่อดื่มด่ำไปกับประสบการณ์จากเกม Prison Architect อย่างเต็มที่
dlc_insane_upsell_multiplayer 	เจ้าของห้องเกมผู้เล่นหลายคนนี้ได้ซื้อส่วนเสริม "Psych Ward: Warden's Edition" แล้วซึ่งจะทำให้คุณสามารถเข้าเล่นได้ในฐานะแขก ขอให้สนุก!

regime_work_pyscho              โปรแกรม/เวลาว่าง
regime_worklockdown_pyscho      โปรแกรม/คุมขัง

regimetooltip_work_pyscho			จำไว้ว่าอาชญากรวิกลจริตไม่สามารถทำงานได้และระหว่างเวลางานจะสามารถเข้าได้แค่โปรแกรมเท่านั้น
regimetooltip_worklockdown_pyscho	จำไว้ว่าอาชญากรวิกลจริตไม่สามารถทำงานได้และระหว่างเวลางานจะสามารถเข้าได้แค่โปรแกรมเท่านั้น


# =============================================================================
# Nameplate status
# ============================================================================= 

nameplate_sedation_level						ระดับความผ่อนคลาย
teacher_teaching_pschiatrist                    การรักษา		
pschiatrist_count_status						*Xการบำบัดอาการทางจิตเสร็จสิ้นแล้ว


############################### SNEEZER UPDATE ###############################

# =============================================================================
# Rapsheet
# ============================================================================= 

action_escortToInfirmary						นำทางไปยังศูนย์พยาบาล

# =============================================================================
# Interface Mode
# =============================================================================

interfacelogistics_cellStatus					สถานะห้องขัง

buildtoolbar_popup_help_CellStatus_1			มุมมองสถานะห้องขังแสดงให้คุณเห็นถึงสถานะของห้องขังว่ามีนักโทษ (แดง) หรือ ว่าง (เขียว)
buildtoolbar_popup_help_CellStatus_2			คุณสามารถคลิกที่ห้องขังที่มีนักโทษเพื่อดูนักโทษที่อยู่ข้างใน

freeCell										ห้องขังว่าง
freeCell_line0									ห้องขังนี้ยังไม่มีนักโทษ
occupiedCell									ห้องขังมีนักโทษ
occupiedCell_line0								*X*Y,*Z
occupiedCell_line1								คลิกซ้ายเพื่อแสดงนักโทษรายนี้
object_prisoner_freshfish						นักโทษ (เด็กใหม่)

total_Connections								จำนวนการเชื่อมต่อทั้งหมด: *X
active_Connections								จำนวนการเชื่อมต่อสูงสุด: *X

interfacedeployment_VisitorDirection			แนวโน้มของผู้เข้าเยี่ยม

interface_action_move							เคลื่อนย้าย

equipment_moreContraband						สิ่งของลักลอบ

# =============================================================================
# Reports
# =============================================================================

report_intake_cat_PrisonerTransfer				แลกเปลี่ยนนักโทษ!
report_intake_list_tooltip_prisonerTransfer		\n\nนักโทษความเสี่ยงสูงที่อันตรายเกินกว่าที่เรือนจำอื่นจะควบคุมได้จะถูกนำมาเสนอเป็นครั้งคราว\nระวังให้ดี! มันมีเหตุผลว่าทำไมพวกเขาถึงแพงนัก พวกเขาเป็นอาชญากรที่เรือนจำไหนๆ ก็ไม่อยากได้
rapsheet_category_PrisonerTransfer				แลกเปลี่ยนนักโทษ!

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_tooltip_noUtilities		ท่อน้ำและสายไฟไม่สามารถสร้างเหนือพื้นดินได้

buildtoolbar_deployment_VisitorDirection 	คลิกแล้วลากเพื่อชี้ป้ายบนพื้น\n\nซึ่งเป็นคำบอกใบ้ให้ผู้ที่ไม่ใช่นักโทษรู้ว่าต้องใช้เส้นทางใด\nช่วยควบคุมกระแสของผู้คนในเรือนจำ

# =============================================================================
# Programs
# =============================================================================

guard_program_requirements             - ผู้คุมแต่ละคนต้องมี *X

schedule_zone_insaneSecOnly						อันตรายระดับบ้าคลั่ง

# =============================================================================
# Codex
# =============================================================================

codex_option_lunar								พื้นดวงจันทร์
codex_tooltip_lunar								เริ่มต้นพื้นที่ด้วยพื้นดวงจันทร์

codex_option_doubleClick						คลิกสองครั้งเพื่อเคลื่อนย้ายสิ่งของ

# =============================================================================
# Clone Tool
# =============================================================================

BuildCost_CloneRoom								โคลนห้อง

# =============================================================================
# Missing Strings
# =============================================================================

codex_startonline                   เล่นออนไลน์
codex_start                         สร้างเกม
codex_joinonline                    เข้าร่วมออนไลน์เกม
codex_join                          เข้าร่วมเกม
codex_usernamelabel                 ชื่อผู้ใช้:
codex_namelabel                     ชื่อในเกม:
codex_passwordlabel                 รหัสผ่าน:
codex_passwordprotectedlabel        ต้องใส่รหัสผ่านหรือไม่
codex_listedlabel                   ต้องการเปิดเป็นสาธารณะหรือไม่
codex_roomlistlabel                 ลิสต์เกม:
codex_connectinglabel               กำลังเชื่อมต่อกับเซิร์ฟเวอร์...
codex_retrievingserverlistlabel     กำลังดึงข้อมูลลิสต์เกม...
codex_datausage                     การใช้ข้อมูล: ส่ง - *SkB/s, รับ - *RkB/s
codex_multiplayeroptions            จัดการผู้เล่น
codex_playeroptions                 ผู้เล่น
codex_regionlabel                   ภูมิภาค

multiplayer_chooseroomname          โปรดเลือกชื่อของเกม
multiplayer_chooseusername          โปรดเลือกชื่อผู้ใช้
multiplayer_joining                 เข้าร่วม: *X
multiplayer_joiningstate_joining    กำลังเข้าร่วมเกม
multiplayer_joiningstate_receiving  กำลังรับข้อมูลโลก
multiplayer_joiningstate_loading    กำลังโหลดข้อมูลโลก
multiplayer_rejoining               เข้าเกมอีกครั้วงหลังจากขยายที่ดิน:
multiplayer_leavegame_confirm       คุณแน่ใจหรือไม่ว่าต้องการออกจากเกม co-op ปัจจุบัน
multiplayer_hostleft                เจ้าของห้องได้ตัดการเชื่อมต่อ
multiplayer_joingamefailed          เข้าร่วมเกมไม่สำเร็จ:
multiplayer_startgamefailed         เริ่มเกมไม่สำเร็จ:
multiplayer_incorrectpassword       รหัสผ่านผิด
multiplayer_disconnected            สูญเสียการเชื่อมต่อกับเซิร์ฟเวอร์
multiplayer_syncerror               ถูกตัดการเชื่อมต่อเนื่องจากเกิดความผิดพลาดกับการซิงโครข้อมูล\n\nโปรดลองเข้าเกมใหม่อีกครั้ง
multiplayer_hostonly                เฉพาะเจ้าของห้องเท่านั้น
multiplayer_modsdisabled            ปิดใช้งาน Mods สำหรับการเล่นออนไลน์
multiplayer_mutatorsdisabled        ปิดใช้งานตัวสร้างการเปลี่ยนแปลงสำหรับการเล่นออนไลน์
multiplayer_kicked                  คุณถูกเตะออกจากเกม
multiplayer_kick                    เตะ
multiplayer_ban                     แบน

multiplayer_host                    เจ้าของห้อง:

multiplayer_welcomeanalytics        ยินดีต้อนรับสู่โหมดผู้เล่นหลายคนของ Prison Architect\n\nเราทำงานอยากหนักในการนำประสบการณ์เต็มรูปแบบของ Prison Architect มาสู่โหมดผู้เล่นหลายคน Prison Architect เป็นเกมที่มีขนาดใหญ่และนี่เป็นครั้งแรกที่เราสร้างโหมดผู้เล่นหลายคนให้ทุกคนได้เล่น ดังนั้นเราจึงจะเฝ้าระวังหากมีปัญหาอะไรเกิดขึ้นกับผู้เล่น\n\nเพื่อเป็นการช่วยเหลือพวกเรา เราต้องการเก็บข้อมูลแบบไม่ระบุชื่อเพื่อช่วยแก้ปัญหาหากผู้เล่นพบเจอระหว่างเล่นเกม คุณสามารถปิดได้ที่เมนูตัวเลือกทุกเวลา คุณสามารถเห็นข้อมูลที่เราเก็บได้ที่ไฟล์ metrics.txt\n\nเราหวังว่าคุณจะเพลิดเพลินกับการเล่น Prison Architect พร้อมกับเพื่อนๆ ของคุณ

region_asia                         เอเชีย
region_au                           ออสเตรเลีย
region_cae                          แคนาดาตะวันออก
region_eu                           ยุโรป
region_in                           อินเดีย
region_jp                           ญี่ปุ่น
region_ru                           รัสเซีย
region_rue                          รัสเซียตะวันออก
region_sa                           อเมริกาใต้
region_kr                           เกาหลีใต้
region_us                           อเมริกาตะวันออก
region_usw                          อเมริกาตะวันตก

codex_options_disableattract            ปิดหน้าจอตอนเริ่มเกม
codex_option_escapeplans                แผนแหกคุก
buildtoolbar_rollcall                   ขานชื่อ
buildtoolbar_tooltip_rollcall           เรียกให้นักโทษทุกคนของคุณออกมายืนด้านหน้าของห้องขัง สามารถใช้ได้ในช่วงเวลานอนและเวลากลางคืนเท่านั้น
interfacecontrol_graphs                 กราฟ
interfacecontrol_graphs_tooltip         เปิดหน้าจอกราฟเพื่อให้คุณสามารถเปรียบเทียบข้อมูลต่างๆ ในเรือนจำของคุณ

graph_title                             กราฟ

graph_label_1                           ข้อมูลประเภท 1
graph_label_2                           ข้อมูลประเภท 2
graph_label_day                         วัน

graph_axis_none                         ไม่มี
graph_axis_profit                       กำไร
graph_axis_funds                        เงินทุน
graph_axis_prisonsize                   ขนาดเรือนจำ (ตร.ม.)
graph_axis_numprisoners                 จำนวนนักโทษ
graph_axis_numstaff                     จำนวนเจ้าหน้าที่
graph_axis_releasedprisoners            นักโทษที่ปล่อยออกไปแล้ว
graph_axis_totalreleasedprisoners       นักโทษที่ปล่อยออกไปแล้วทั้งหมด
graph_axis_escapedprisoners             นักโทษหลบหนี
graph_axis_totalescapedprisoners        นักโทษหลบหนีทั้งหมด
graph_axis_entitydeath                  เสียชีวิต
graph_axis_totaldeaths                  การเสียชีวิตทั้งหมด
graph_axis_prisonerdeaths               นักโทษเสียชีวิต
graph_axis_guarddeaths                  ผู้คุมเสียชีวิต
graph_axis_securitygrading              ระดับคะแนนของความปลอดภัย
graph_axis_healthgrading                ระดับคะแนนของสุขภาพ
graph_axis_reformgrading                ระดับคะแนนของการบำบัด
graph_axis_punishmentgrading            ระดับคะแนนของการลงโทษ
graph_axis_reoffendingrate              อัตราการก่อคดีซ้ำ
graph_axis_prisonvalue                  มูลค่าเรือนจำ
graph_axis_prisonercapacity             ความจุนักโทษ
graph_axis_numincidents                 จำนวนเหตุความรุนแรงที่เกิดขึ้น
graph_axis_totalincidents               เหตุความรุนแรงที่เกิดขึ้นทั้งหมด

equipment_Photo				ภาพถ่าย	
equipment_SubMachineGun			ปืนกลมือ	
equipment_Soap				สบู่	
