
campaigncutscene_tooltip 				(คลิกเพื่อดำเนินเนื้อเรื่องในบทถัดไป)
objective_riot_prisonerwork_description         ฝนการมอบหมายนักโทษให้ทำงาน ให้ไปที่ "โลจิสติกส์" จากนั้นไปที่ "แรงงานนักโทษ" คลิกเพื่อเพิ่มงานไปยังห้องใดก็ได้ที่ถูกเน้นด้วยสีเขียว\n\nคุณจะต้องระบุช่วงเวลาที่จะให้นักโทษทำงาน ไปที่ "รายงาน" / "ตารางเวลา" และเพิ่มชั่วโมง "ทำงาน" ลงในตาราง นักโทษจะทำงาน ถ้ามีงานให้ทำในระหว่างช่วงเวลานั้น

objective_Riot_PlayerExitsMap			คลิกที่รูปโพลารอยด์ด้านนอกทางเข้าหลัก เมื่อคุณทำงานเสร็จเรียบร้อยแล้ว


# =============================================================================
# Conviction
# =============================================================================

campaigncutscene_convictionheist        การปล้น
campaigncutscene_convictionmorgan       มอร์แกน
campaigncutscene_convictionvisitation   เยี่ยมนักโทษ
campaigncutscene_convictionsuicide      ฆ่าตัวตาย

campaignchapter_conviction              การสำนึกบาป
campaignchapter_conviction_description  เราจะต้องเฝ้าระวังนักโทษคนหนึ่งซึ่งมีแนวโน้มฆ่าตัวตาย เขาชื่อเฮนรี่ มอร์แกน เป็นคู่หูร่วมก่อคดีกับเบเนดิกต์ เขาได้รับโทษจำคุก 5 ปี และถูกคุมขังมา 13 เดือนแล้ว ช่วยเราดูแลเขาด้วย

adviser_name_benedictarmed              เบเนดิกต์
adviser_name_morgan                     เฮนรี่ มอร์แกน
adviser_name_morganarmed				เฮนรี่ มอร์แกน
adviser_name_morganhappy                เฮนรี่ มอร์แกน
adviser_name_senator                    วุฒิสมาชิก วอลเตอร์ เฮิสท์
adviser_name_detective                  นักสืบจากกรมตำรวจ
adviser_name_kerry 						เคอร์รี่ มอร์แกน
adviser_name_hurst 						ดอกเตอร์ วอลเตอร์ เฮิสท์
adviser_name_keane 						เจ้าหน้าที่ คีน

adviser_conviction_heist1               รีบหยิบเงินเร็ว
adviser_conviction_heist2               วางอาวุธลง เดี๋ยวนี้!
adviser_conviction_heist2b				ชิบหายแล้ว!
adviser_conviction_heist3               ยิงมันสิ!
adviser_conviction_heist4               มากลัวอะไรเอาตอนนี้ ยิงสิวะ!
adviser_conviction_heist6               ไอ้เวรเอ๊ย!
adviser_conviction_heist7               อย่ายิง! อย่ายิง!
adviser_conviction_heist8               ยกมือขึ้น!
adviser_conviction_heist9               ทำตามที่ชั้นสั่ง โอเคมั้ย?
adviser_conviction_heist10              แย่แล้ว แย่แล้ว ไม่นะ!
adviser_conviction_heist11              อย่ายิง! ได้โปรดเถอะ!

conviction_intro_1                      หลังจากเหตุสะเทือนขวัญที่เรือนจำอัลเคมิโค่ สเตต เราถูกตรวจสอบจากภาครัฐอย่างหนักหน่วง
conviction_intro_2                      ผมอยากให้คุณรับตำแหน่งนี้ไปก่อน จนกว่าเราจะหาคนมาเป็นซีอีโอแทนได้อย่างถาวร
conviction_intro_3                      ช่วงนี้มีเหตุฆ่าตัวตายเกิดขึ้นในเรือนจำหลายครั้ง ไม่น่าแปลกใจเลยว่าทำไม แต่เรามีปัญหาที่เร่งด่วนกว่านั้น
conviction_intro_4                      เบื้องบนตัดสินใจส่งนักโทษใหม่จำนวนมากมาให้เรา ชุดแรกจะมาถึงพรุ่งนี้ และเราไม่มีที่ขังพวกเขาแล้ว
conviction_intro_5                      เราต้องการให้คุณสร้างห้องขังแดนใหม่ โดยจะต้องกว้างพอที่จะรับนักโทษพวกนี้
conviction_intro_5b 					ผมได้วางผังห้องขังคร่าวๆ ไว้ให้แล้ว เราน่าจะมีห้องขังมากพอที่จะรองรับนักโทษใหม่พวกนี้ และเราจะต้องสร้างห้องอาบน้ำด้วย
conviction_intro_5c 					คุณจะทำตามผังของผมหรือออกแบบเป็นอย่างอื่นก็ได้
conviction_intro_6                      งานของผมคือการดูแลสวัสดิภาพของคนพวกนี้ สร้างห้องขังแดนใหม่ให้เรียบร้อย จากนั้นเราค่อยมาคุยแผนงานกัน

unused_conviction_intro_4                      นักโทษมาใหม่ของเราคนหนึ่งมีแนวโน้มจะฆ่าตัวตาย เราถูกกำชับมาว่าให้จับตาดูเขาไว้ เฮนรี่ มอร์แกน ต้องโทษจำคุก 5 ปี ติดคุกมา 13 เดือนแล้ว
unused_conviction_intro_7						ผมอยากให้คุณไปคุยกับเขา เราไม่อยากให้มีใครฆ่าตัวตายที่นี่อีกแล้ว

conviction_workintro1                   เราทำเหมือนคนพวกนี้เป็นขยะมานาน และเราจะต้องหยุดได้แล้ว
conviction_workintro2                   ซีอีโอคนเก่าไม่ศรัทธาในการปฏิรูปเรือนจำเลย แต่ผมเห็นว่าเราควรมอบความหวังให้กับพวกเขา มอบอนาคตให้กับพวกเขา
conviction_workintro3                   เราจะสอนทักษะที่จำเป็นเช่นงานช่างและการศึกษาขั้นพื้นฐาน เพื่อให้พวกเขาออกไปจากที่นี่และประสบความสำเร็จในชีวิตต่อไป
conviction_workintro4                   เราควรเริ่มโครงการฝึกความรู้เชิงวิชาชีพ มอบสิ่งที่นำไปใช้ประกอบอาชีพได้จริง อย่างน้อยเขาจะได้มีอนาคตอย่างที่หวังไว้


conviction_hurst1 						เจ้าหน้าที่เรือนจำแห่งนี้ขาดความรับผิดชอบจนน่าตกใจ นักโทษทุกคนแทบจะไม่ได้รับมนุษยธรรมแม้แต่เศษเสี้ยว
conviction_hurst2 						ไม่มีใครเห็นอกเห็นใจพวกเขา ซ้ำร้ายยังโดนดูถูกสารพัด ดังนั้นจึงไม่แปลกที่พวกเขาจะตอบโต้เราด้วยความโกรธแค้นถึงที่สุด
conviction_hurst3 						พวกเขาไม่ควรต้องมีสภาพแบบนี้
conviction_hurst4 						จริงครับ มนุษย์ไม่ควรถูกกระทำเช่นนี้เลย พวกเขาไม่ได้รับความเป็นธรรมเลยแม้แต่นิดเดียว
conviction_hurst4b 						ทำไมเขาถึงต้องทำตามกฎของเราด้วย? ไม่แปลกที่เขาจะตอบโต้ด้วยความเกลียดชังอย่างรุนแรง
conviction_hurst4c						เราจำเป็นต้องช่วยคนพวกนี้ เราจะต้องเตรียมห้องเรียน โครงการบำบัดฟื้นฟู แล้วก็ศูนย์ฝึกงานช่าง เพื่อเปิดโอกาสให้พวกเขาได้ใช้ความสามารถของตนเองอย่างภาคภูมิใจ
conviction_hurst6 						คุณเข้าใจผิดแล้ว หมอ เจ้าพวกนี้น่ะ ไม่ใช่มนุษย์  มาดูให้เห็นกับตาตัวเองก็แล้วกัน
conviction_hurst6b 						นักโทษมอร์แกน! ตื่น!
conviction_hurst7 						ลุกขึ้นมา มอร์แกน มีคนมาเยี่ยม
conviction_hurst8 						บำบัดฟื้นฟูเรอะ? สอนลิงให้ดีดกีตาร์ยังจะดีซะกว่า

conviction_hurst10 						คุณชื่ออะไร?
conviction_hurst10b                     ตอบคำถามด้วย
conviction_hurst11 						เฮนรี่ครับ
conviction_hurst12 						ในนี้คงจะหนาวนะ เฮนรี่
conviction_hurst13 						มีตัวหมัดอยู่ในเตียงครับ พวกมันกำลังกินผมทั้งเป็น ยังดีที่ผมมีเสื้อไว้กันพวกหนู ผมไม่เคยเจอหนูที่ไหนตัวใหญ่เท่านี้มาก่อน
conviction_hurst14 						ผมชื่อวอลเตอร์
conviction_hurst15 						คุณนอนหลับสบายดีไหม?
conviction_hurst16 						นอนไม่หลับเลยครับ ผมได้แต่นั่งคิด ในนี้มีเวลาให้คิดเยอะแยะเลย
conviction_hurst16b                     คุณคิดเรื่องอะไรอยู่?
conviction_hurst16c                     ส่วนใหญ่ผมคิดอยากจะตาย แล้วก็คิดถึงลูกสาวของผม
conviction_hurst17 						เธอจะต้องอยากให้นายเข้มแข็งอย่างแน่นอน เฮนรี่ และเธอเองก็คงลำบากใจกับเรื่องนี้ไม่น้อย
conviction_hurst18 						ผมอยู่หลังกรงนี่มาตั้งแต่เธอเกิดแล้ว เธอไม่รู้ด้วยซ้ำว่ามีผมอยู่บนโลก
conviction_hurst19 						เฮนรี่ ไม่มีใครสายเกินไปที่จะกลับตัวนะ
conviction_hurst19b 					ผมจะกลับมาหาคุณอีกนะ
conviction_hurst20 						ได้เลย ขอบคุณมากครับ
conviction_hurst21 						เราจัดการหนูพวกนั้นได้มั้ย? นี่ไม่ใช่ประเทศโลกที่สามนะ
conviction_hurst22 						ผมมีสารหนูอยู่

conviction_visitationintro_1            ผมขอร้องสารวัตรให้อนุญาตครอบครัวของมอร์แกนได้เข้าเยี่ยมเป็นกรณีพิเศษแล้ว

conviction_visitation_0					สวัสดีค่ะ ฉันชื่อเคอร์รี่ มอร์แกน ฉันมาขอเยี่ยมเฮนรี่ มอร์แกน
conviction_visitation_1					ยืนหลังเส้นด้วยครับ
conviction_visitation_2 				ขอโทษค่ะ ฉันมาขอเยี่ยมเฮนรี่ เฮนรี่ มอร์แกน เขาเป็นสามีของฉันค่ะ
conviction_visitation_3 				ผมขอเตือนครั้งสุดท้ายนะครับ กรุณายืนหลังเส้นด้วย เดี๋ยวนี้
conviction_visitation_4 				ได้ค่ะ ขอโทษจริงๆ ค่ะ
conviction_visitation_5 				โอเค มาเลย ผมไม่ได้มีเวลาทั้งวันหรอกนะ
conviction_visitation_6					คุณชื่ออะไร
conviction_visitation_7					เคอร์รี่ มอร์แกน ค่ะ มาขอเยี่ยมเฮนรี่ มอร์แกน นี่คือลูกสาวของเขา
conviction_visitation_8					จะให้บอกเขาแบบนี้ใช่มั้ย? อยากพูดอะไรกับเขาอีกมั้ย
conviction_visitation_8a                เคอร์รี่!
conviction_visitation_9					เกรงว่าจะมีการเข้าใจผิดนะ เราไม่อนุญาตให้ใครเข้าเยี่ยมนักโทษมอร์แกนแล้ว
conviction_visitation_9b 				ว่าไงนะ?
conviction_visitation_9c 				ขอโทษด้วย เราตรวจพบเหล้าในห้องขังของเขาเมื่อเช้านี้ ดิชั้นคงช่วยอะไรคุณไม่ได้
conviction_visitation_10				ชั้นเสียเวลาเดินทางมาตั้งสองชั่วโมง ลูกสาวของฉันก็ร้องไม่หยุด ไม่ยุติธรรมเลย
conviction_visitation_11				เสียใจด้วยนะคะ ของแบบนั้นมีแต่ในโลกที่สวยงามอย่างดิสนีย์แลนด์เท่านั้นแหละ ที่นี่ไม่มีให้หรอกนะ
conviction_visitation_12				ถ้างั้นช่วยเอารูปนี้ให้เขาด้วย
conviction_visitation_13                ได้เลย เขาคงจะไม่มีใครมาเยี่ยมอีกซักพัก อยากบอกอะไรถึงเขามั้ย?
conviction_visitation_14                ไม่มีค่ะ

conviction_visitation_angrymorgan0		ไม่!
conviction_visitation_angrymorgan1		เดี๋ยวก่อน!
conviction_visitation_angrymorgan2		ทำแบบนี้ไม่ได้!
conviction_visitation_angrymorgan3		ฉันจะพูดกับเธอ!
conviction_visitation_angrymorgan4		ไอ้ชั่วเอ๊ย!

conviction_helpinmates_1                น่าผิดหวังจริงๆ
conviction_helpinmates_2                วิธีที่จะช่วยเหลือพวกเขาได้อย่างแท้จริงนั้นเป็นเรื่องยากมากๆ เราต้องสอนให้พวกเขาช่วยเหลือตัวเองได้
conviction_helpinmates_3                เห็นได้ชัดว่าเราต้องแก้ไขปัญหาเกี่ยวกับระบบการเยี่ยมนักโทษ มีครอบครัวนักโทษจำนวนมากรอคิวอยู่ และเราไม่พร้อมดูแลคนจำนวนมากขนาดนั้น
conviction_helpinmates_4                ผมอยากให้คุณสร้างห้องเยี่ยมนักโทษแห่งใหม่ แม้จะไม่คำนึงถึงสิ่งที่เกิดขึ้นกับมอร์แกน ผมก็คิดว่าเราจะยังคงได้ประโยชน์จากการพัฒนาครั้งนี้ นักโทษคนอื่นๆ ก็มีครอบครัวเหมือนกัน
conviction_helpinmates_5                ผมได้ลองเก็บข้อมูลจากนักโทษแล้วก็พบกับความจริงที่น่าประหลาดใจมาก นักโทษส่วนใหญ่มีความรู้คณิตศาสตร์และการอ่านในระดับต่ำมาก เราจะต้องแก้ไขเรื่องนี้
conviction_helpinmates_6                สร้างห้องเรียนใหม่ และเริ่มจ้างอาจารย์จากภายนอกมาสอนความรู้พื้นฐาน ถ้านักโทษไม่มีการศึกษา พวกเขาก็จะต้องวนเวียนกับชีวิตอาชญากรรมแบบนี้ต่อไป
conviction_helpinmates_7                นอกจากนี้เราจำเป็นจะต้องเตรียมพร้อมให้ทันกับจำนวนนักโทษที่หลั่งไหลเข้ามา ปรับปรุงเรือนจำของเราเพื่อให้นักโทษทุกคนมีห้องขังคุณภาพดี

conviction_outro1                       ผมคิดว่าเรากำลังผลงานความสำเร็จอันยิ่งใหญ่ เราตั้งเป้าหมายให้นักโทษ และสร้างเหตุผลให้พวกเขาพยายามมุ่งไปสู่เป้าหมายนั้น
conviction_outro2                       คุณสามารถอยู่ช่วยเราดูแลนักโทษชุดแรกที่เข้าร่วมในหลักสูตรการศึกษาและโครงการฝึกงานของเรา ถ้าคุณต้องการ
conviction_outro3                       แต่ผมคิดว่าเราสามารถดูแลเรื่องนี้ได้ ถ้าคุณพร้อมจะไปแล้ว ให้คลิกที่รูปโพลารอยด์ในห้องขังของมอร์แกน

conviction_secondvisit_1                ผมหวังว่าคุณจะมาเข้าเซสชั่นบำบัดของผมบ้างนะ
conviction_secondvisit_2                ผมคงทำไม่ได้ ผมอยู่ในรูนี้อีกต่อไปไม่ได้แล้ว
conviction_secondvisit_3                มาเจอกันวันละครั้งก็พอ
conviction_secondvisit_4                ผมหมายถึงทุกที่ในคุกเหม็นๆ นี่ ทั้งข้างนอก ข้างใน พวกนั้นไม่ให้ผมเจอครอบครัว ผมทำพลาด แล้วผมก็คงเปลี่ยนตัวเองไม่ได้
conviction_secondvisit_5                เฮนรี่ ทุกอย่างจะดีขึ้น ผมจะอยู่ข้างคุณเอง
conviction_secondvisit_6                ตลกชะมัด เขาก็พูดเหมือนคุณเลย
conviction_secondvisit_7                ใครกันเหรอเฮนรี่ บอกผมได้มั้ย?
conviction_secondvisit_8                เขาดูแลผม
conviction_secondvisit_9                ตั้งแต่ตอนที่เรายังเด็ก
conviction_secondvisit_10               ตั้งสติให้ดี ไม่ว่าอะไรจะเกิดขึ้น
conviction_secondvisit_11               ชั้นจะอยู่ข้างแกเอง
conviction_secondvisit_11b 				ข้างชั้นยังงั้นเหรอ?
conviction_secondvisit_12               เขาไม่อยู่แล้ว
conviction_secondvisit_13               เอาอย่างนี้ คุณมารับการบำบัดครั้งต่อไปกับผม แล้วผมจะไปขอสารวัตรให้คุณได้เจอเมียกับลูก
conviction_secondvisit_14               คุณจะช่วยผมเหรอ?
conviction_secondvisit_15               ไม่ใช่แค่คุณคนเดียว เฮนรี่ ผมอยากช่วยนักโทษทุกคนในนี้

conviction_suicide_1 					ขอโทษด้วย ผมมีเรื่องแจ้งให้ทราบ มีเหตุฆ่าตัวตายเกิดขึ้นอีกแล้ว
conviction_suicide_2					ดูเหมือนว่านักโทษของเราคนหนึ่งกินสารหนูเข้าไป
conviction_suicide_3					ดอกเตอร์เฮิสท์กำลังเดินทางมาชันสูตรพลิกศพแล้ว
conviction_suicide_4					คุณคิดว่าเธอเป็นสิ่งที่สวยงามที่สุดในชีวิตของคุณหรือเปล่า?
conviction_suicide_5					ก็น่าจะอย่างนั้นนะ
conviction_suicide_6					ทุกคนกลับตัวได้เสมอ

objective_conviction_expandcapacity50			ดูแลนักโทษกลุ่มใหม่ที่เข้ามา
objective_conviction_expandcapacity50_description	คุณจะเห็นโครงสร้างแดนห้องขังใหม่ได้โดยไปที่โหมด 'วางแผน' จากแถบเครื่องมือหลัก
objective_conviction_expandcapacity_cells	 	เตรียมห้องขังสำหรับนักโทษ 40 คน
objective_conviction_expandcapacity_shower		เตรียมห้องอาบน้ำ
objective_conviction_expandcapacity_yard		เตรียมลานกิจกรรม
objective_conviction_expandcapacity_intake		รอนักโทษกลุ่มใหม่เดินทางเข้ามา

objective_conviction_workprogram 				จัดโครงการฝึกฝนทักษะการทำงาน
objective_conviction_unlocklabour				อนุญาต 'แรงงานนักโทษ' ผ่านแผนการบริหาร
objective_conviction_work_trainkitchen			(เพิ่มเติม) ฝึกนักโทษ 5 คนในโครงการความปลอดภัยและสุขอนามัยในครัว
objective_conviction_work_kitchen				มอบหมายงานในครัวให้นักโทษ
objective_conviction_work_workshop				สร้างเวิร์กช็อป
objective_conviction_work_trainworkshop			(เพิ่มเติม) ฝึกนักโทษ 10 คนด้วยโครงการฝึกสอนความปลอดภัยในงานช่าง
objective_conviction_work_assignworkshop		มอบหมายงานในเวิร์กช็อปให้นักโทษ
objective_conviction_work_produceplates			(เพิ่มเติม) ผลิตแผ่นป้ายทะเบียน 100 แผ่น
objective_conviction_work_exportszone			กำหนดบริเวณส่งสินค้าออกให้อยู่ใกล้กับถนน
objective_conviction_work_setintake             กำหนดระดับการรับนักโทษเข้าเป็น 10 คนต่อวัน

objective_conviction_unlocklabour_description	 คุณสามารถเข้าสู่หน้าจอแผนการบริหารได้โดยคลิกที่ไอคอนที่อยู่ด้านบนรายการสิ่งที่ต้องทำนี้
objective_conviction_work_kitchen_description	 หากต้องการมอบหมายงานในโรงครัวให้นักโทษ ให้ไปที่ 'โลจิสติกส์' จากนั้นเลือก 'แรงงานนักโทษ'\n\nหมายเหตุ: นักโทษจะต้องผ่านหลักสูตร 'ความปลอดภัยและสุขอนามัยในครัว' ก่อน จึงจะสามารถทำงานในครัวได้
objective_conviction_work_assignworkshop_description 	หากต้องการมอบหมายงานในเวิร์กช็อปให้นักโทษ ให้ไปที่ 'โลจิสติกส์' จากนั้นเลือก 'แรงงานักโทษ'\n\nนักโทษของคุณจะต้องผ่านหลักสูตร 'ความปลอดภัยในการทำงานช่าง' ก่อน จึงจะสามารถทำงานในเวิร์กช็อปได้
objective_conviction_work_trainkitchen_description 		หากต้องการจัดโครงการฝึกอบรมและบำบัดฟื้นฟู ให้ไปที่ 'รายงาน' (มุมขวาล่าง) จากนั้นเลือก 'โครงการ' นักโทษจะเข้าร่วมโครงการเหล่านี้ในระหว่างเวลางานที่ได้รับมอบหมาย\n\nหมายเหตุ: คุณจะต้องกำหนดเวลา 'ทำงาน' 2 ชั่วโมงในหน้าจอตารางกิจกรรม มิฉะนั้นจะไม่มีเวลาในการเข้ารับการอบรม
objective_conviction_work_trainworkshop_description 	หากต้องการจัดโครงการฝึกอบรมและบำบัดฟื้นฟู ให้ไปที่ 'รายงาน' (มุมขวาล่าง) จากนั้นเลือก 'โครงการ' นักโทษจะเข้าร่วมโครงการเหล่านี้ในระหว่างเวลางานที่ได้รับมอบหมาย\n\nหมายเหตุ: คุณจะต้องกำหนดเวลา 'ทำงาน' 2 ชั่วโมงในหน้าจอตารางกิจกรรม มิฉะนั้นจะไม่มีเวลาในการเข้ารับการอบรม
objective_conviction_work_setintake_description         เพื่อรับรองว่าเรือนจำไม่มีคนแน่นเกินไป ให้ไปที่ 'รายงาน' (ขวาล่าง) จากนั้นเลือก 'การรับนักโทษ' และใช้ปุ่ม << เพื่อลดจำนวนนักโทษที่รับเข้าให้เหลือ 10 คน

objective_conviction_visitation				ปรับปรุงบริการเยี่ยมนักโทษให้ดีกว่านี้
objective_conviction_visitationroom	        สร้างศูนย์เยี่ยมนักโทษใหม่
objective_conviction_visitationcount		จัดให้นักโทษ 20 คนได้พบครอบครัว
objective_conviction_telephones	 			เพิ่มโทรศัพท์ในลานกิจกรรมทุกแห่ง
objective_conviction_mailroom				สร้างห้องจดหมาย
objective_conviction_mailroomwork			ให้นักโทษทำงานในห้องจดหมาย

objective_conviction_mailroomwork_description           หากต้องการมอบหมายงานในห้องจดหมายให้นักโทษ ให้ไปที่ 'โลจิสติกส์' แล้วเลือก 'แรงงานนักโทษ'

objective_conviction_education				เริ่มให้การศึกษานักโทษ
objective_conviction_unlockeducation		อนุญาต 'การศึกษา' ผ่านแผนการบริหาร
objective_conviction_education_classroom	สร้างห้องเรียน
objective_conviction_education_class 		จัดโครงการการศึกษาขั้นพื้นฐาน
objective_conviction_education_learn		(เพิ่มเติม) อบรมนักโทษ 5 คนให้ผ่านหลักสูตรการศึกษาขั้นพื้นฐาน
objective_conviction_education_library		สร้างห้องสมุด
objective_conviction_education_librarywork	ให้นักโทษทำงานในห้องสมุด
objective_conviction_education_chapel		สร้างห้องพิธีกรรม
objective_conviction_education_spiritual	จัดโครงการแนะแนวทางศาสนา

objective_conviction_expandcapacity100			ขยายความจุของเรือนจำ
objective_conviction_expandcapacity_cells100	ขยายความจุเป็น 80 ห้องขัง
objective_conviction_expandcapacity_cells200	(เพิ่มเติม) ขยายความจุเป็น 120 ห้องขัง

objective_Conviction_PlayerExitsMap         คลิกที่รูปโพลารอยด์ในห้องขังของมอร์แกนเมื่อเสร็จเรียบร้อยแล้ว


# =============================================================================
# Epilogue
# =============================================================================

campaignchapter_epilogue                การเริ่มต้นใหม่
campaigncutscene_epilogueintro          ทบทวน
campaigncutscene_epilogueoutro          บทส่งท้าย

campaignchapter_epilogue_description    คุกเก่าแก่ที่มีประวัติยาวนานแห่งนี้กำลังจะถูกรื้อถอนและสร้างขึ้นใหม่ ใช้ทักษะทั้งหมดที่คุณได้เรียนรู้เพื่อสร้างสุดยอดเรือนจำขึ้นมา

adviser_name_reporter 					นักข่าว

epilogue_newsintro1 					พบกับข่าว CNDC วันนี้เราขอเสนอรายงานพิเศษเกี่ยวกับสถานการณ์ในเรือนจำของเรา
epilogue_newsintro2 					เหตุการณ์จับตัวประกันที่เรือนจำอัลเคมีโค่ครบรอบสองปีแล้ววันนี้ เหตุร้ายดังกล่าวได้คร่าชีวิตคนมากมาย รวมถึงซีอีโอ ชาร์ลส วอลเลส
epilogue_newsintro4 					วันนี้เราจะมาสัมภาษณ์จากผู้เชี่ยวชาญชั้นนำ และสอบถามว่ามีอะไรเปลี่ยนแปลงเกิดขึ้นหรือไม่หลังจากโศกนาฏกรรมครั้งนั้น
epilogue_newsintro5 					อันดับแรก เราจะไปยังเรือนจำที่เปิดทำการมานานที่สุดแห่งหนึ่งของรัฐ ซึ่งมีกำหนดรื้อถอนในเร็วๆ นี้
epilogue_newsintro6						ถ่ายทอดสด ที่ CNDC เท่านั้น

epilogue_reporter1						ขอบคุณมาก ซาราห์ เรือนจำแห่งนี้เคยคุมขังอาชญากรอันตรายที่สุดในประเทศมาแล้วหลายต่อหลายครั้ง
epilogue_reporter2 						แต่ในวันนี้ เรือนจำแห่งนี้จะถูกทำลายลง เพื่อเตรียมพร้อมสำหรับการสร้างอาคารเรือนจำแห่งใหม่
epilogue_reporter3 						ถ้ามองไปทางด้านหลัง คุณจะเห็นทีมงานก่อสร้างกำลังปฏิบัติงานอยู่ และได้เริ่มการรื้อถอนไปแล้ว
epilogue_reporter4 						เราจะพูดคุยกับนายกเทศมนตรีคาลวิน เฮลเลอร์ ขอขอบคุณคุณเฮลเลอร์ที่กรุณาสละเวลามาให้สัมภาษณ์กับเราในวันนี้
epilogue_reporter5 						ยินดีครับ

epilogue_reporter6 						ในอดีตคุณสนับสนุนแนวทางการบริหารเรือนจำด้วยระเบียบวินัยและการลงโทษที่เข้มงวดกว่านี้
epilogue_reporter6b 					ทำไมคุณถึงรื้อถอนเรือนจำที่มีประวัติการลงโทษอันเข้มงวดมายาวนาน?
epilogue_reporter7 						เรือนจำและระบบการปฏิบัติงานของเราล้าสมัยไปเสียแล้ว
epilogue_reporter8 						เราตัดสินใจสร้างเรือนจำแห่งใหม่แทนที่ และใช้นโยบายที่ทันสมัย
epilogue_reporter9						เรือนจำแห่งนี้เคยออกข่าวเมื่อสองสามปีก่อนในฐานะเรือนจำไม่กี่แห่งที่มีระบบการประหารชีวิต
epilogue_reporter10 					นักเคลื่อนไหวมากมายต้องการยกเลิกกฎหมายประหารชีวิตในรัฐนี้ คุณจะสนับสนุนพวกเขา หรือสร้างห้องประหารขึ้นมาใหม่?
epilogue_reporter12 					ทุกอย่างกำลังอยู่ระหว่างการพิจารณา และเราจะต้องคุยกันอย่างจริงจัง

epilogue_reporterend1 					ขอขอบคุณนายกเทศมนตรีเฮลเลอร์ กลับไปที่ห้องส่ง
epilogue_newstransition1 				พบกับข่าว CNDC รายงานสดเกี่ยวกับระบบเรือนจำของเรา
epilogue_newstransition2 				หลังจากโฆษณา เราจะมาพบกับดอกเตอร์วอลเตอร์ เฮิสท์ ผู้เชี่ยวชาญด้านจิตวิทยานักโทษและการบำบัดฟื้นฟู

epilogue_parole1 						ยังไม่มีอีกเหรอ? นานแค่ไหนแล้ว?
epilogue_parole2						ผมจำไม่ได้แล้ว ไม่มีใครโทรมา ไม่มีจดหมายด้วย
epilogue_parole3 						ผมเสียใจด้วยมอร์แกน คุณคงเจ็บปวดมาก แต่คุณยังมีโอกาส อย่าทำพลาดล่ะ
epilogue_parole4 						เฮนรี่ ขอให้โชคดี
epilogue_parole5 						อย่าพยายามบอกสิ่งที่คุณคิดว่าพวกเขาอยากฟัง
epilogue_parole6 						ผมต้องไปแล้ว จะต้องออกอากาศในอีก 1 นาที
epilogue_parole7                        นายกเทศมนตรีเฮลเลอร์ คุณคิดยังไงบ้าง?
epilogue_parole10 						เร็วมาก!
epilogue_parole11 						อืม?
epilogue_parole12                       ...

epilogue_outro_1 						พบกันอีกครั้งกับข่าว CNDC รายงานพิเศษ กับนายกเทศมนตรีคาลวิน เฮลเลอร์
epilogue_outro_2 						และดอกเตอร์วอลเตอร์ เฮิสท์ ซึ่งถูกกล่าวหาว่าใช้งบประมาณมากเกินควรในการฟื้นฟูเรือนจำ
epilogue_outro_2b 						ดอกเตอร์เฮิสท์ คุณเชื่อว่าคุณประสบความสำเร็จแล้วหรือยัง?
epilogue_outro_3						สำเร็จเหรอ? ยังครับ โดยรวมก็ยังเรียกว่าสำเร็จไม่ได้
epilogue_outro_4						ผมเชื่อว่าทุกคนมีโอกาสปรับปรุงตัวเองได้ และเราจะต้องมอบโอกาสนั้นให้เขา
epilogue_outro_4b 						ผมมั่นใจอย่างยิ่งว่าเราได้มอบทัศนคติที่ดีและความหวังให้แก่ผู้ต้องขังจำนวนมากในเรือนจำแห่งนี้ได้อย่างแท้จริง
epilogue_outro_5						การคุมขังควรใช้เป็นเครื่องมือในการลงโทษ และไม่ควรใช้เป็นโอกาสในการพัฒนาหรือเปลี่ยนแปลงตัวเอง
epilogue_outro_6 						การลงโทษและจำกัดสิทธิ์ของพวกเขาในระหว่างการรับโทษ มีแต่จะเพิ่มความไม่พอใจ

epilogue_outro_7						เรามอบทักษะอันมีค่าให้กับคนพวกนี้ และที่สำคัญที่สุดก็คือความหวัง
epilogue_outro_7b  						เราหวังว่าพวกเขาจะกลับคืนสู่สังคมและทำสิ่งที่ดีหลังจากที่พวกเขาออกไป
epilogue_outro_8						ประชาชนทั่วไปไม่ได้รับการฝึกอบรมฟรี คอร์สเรียนฟรี และงานที่รับประกันรายได้แบบนี้
epilogue_outro_8b 						เรากำลังละเลยเหยื่อจากอาชญากรรม และให้รางวัลผู้กระทำผิด
epilogue_outro_8c 						สิ้นเปลืองเงินจำนวนมหาศาลเพื่อให้พวกอาชญากรรู้สึกมีคุณค่าในตัวเอง
epilogue_outro_9						เราสร้างความแตกต่างได้ แม้จะบำบัดได้แค่ทีละคนก็ยังดี
epilogue_outro_10						พวกเขาเสียสิทธิ์และเสรีภาพของตัวเองไปแล้ว
epilogue_outro_11						คุณสอนแมวไม่ให้ฆ่านก แต่สุดท้ายมันก็ฆ่าแล้วก็คาบกลับมาให้คุณอยู่ดี
epilogue_outro_12 						คุณเปลี่ยนอะไรคนพวกนี้ไม่ได้หรอก

epilogue_sandbox_1                      ดีใจด้วยที่ได้รับตำแหน่งซีอีโอ นี่เป็นจุดเริ่มต้นที่ดี
