# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Lista de mudanças completa
interfacemode_objectType_filter_rest	Descansando
interfacemode_objectType_filter_exercise	Exercício
interfacemode_objectType_filter_decoration	Decoração
interfacemode_objectType_filter_foliage	Vegetação
interfacemode_objectType_filter_signs	Placas
interfacemode_objectType_filter_security	Segurança
interfacemode_objectType_filter_catering	Alimentação
interfacemode_objectType_filter_misc	Outros
object_farmer	Fazendeiro
object_OrganicWaste	Lixo orgânico
object_CompostBin	Composteira
object_DumpObject	Descartar objeto
room_flowergarden	Jardim florido
buildtoolbar_popup_room_Pantry	Espaço para armazenar frutas, legumes e verduras. Refrigerado para manter os ingredientes produzidos na prisão bem preservados.
buildtoolbar_popup_obj_Shed	Área para guardar todas as suas sementes, ferramentas e itens de cultivo. Também conta com uma torneira para irrigação básica.
buildtoolbar_popup_obj_AdvancedAutoGatherer	Ativa a cada 6 horas para reunir e armazenar todos os ingredientes em uma área 10x10.
buildtoolbar_popup_obj_CompostBin	Usada para transformar comida e lixo orgânico em fertilizante.
buildtoolbar_popup_obj_PinkFlamingo	Decoração básica para qualquer jardim.
buildtoolbar_popup_obj_BowtieBandit	Um companheiro majestoso.
buildtoolbar_popup_obj_Shepherd	QUEM É A MENINA ESPERTA!?
buildtoolbar_popup_obj_DumpObject	Descarte objetos na sua prisão.
buildtoolbar_popup_staff_farmer	Cuida das plantações e gerencia todos os trabalhos relacionados aos lotes de legumes e verduras, pomares e campos de cultivo.
contraband_Ingredient	Entorpecentes produzidos
contraband_Kicker	Agente de bebida
contraband_StashLocation	Local do contrabando
d11_crop_types_caption	Tipo de plantação
d11_farm_search_freq_option_3days	A cada 3 dias
d11_farm_search_freq_option_5days	A cada 5 dias
d11_farm_search_target_option_crops	Somente colheitas
d11_farm_search_target_option_labourers	Trabalhadores detentos
Ingredients_UsageCaption	Proporção
researchtooltip_farming	Desbloqueia técnicas e equipamentos agrícolas avançados, além de plantações mais caras.
objective_target_ExportPower1	Meta de energia limpa 3
objective_target_ExportPower1_description	O limite de exportação de energia foi aumentado em 1000 unidades.
objective_target_ExportPower1_task	Exporte 1000 unidades de energia.
objective_target_ExportPower1_reward	Meta de energia limpa 3 batida.
objective_target_ExportPower1_reward_text	Limite de exportação de energia aumentado em 1000 unidades
objective_target_ExportPower2	Meta de energia limpa 4
objective_target_ExportPower2_description	O limite de exportação de energia foi aumentado em 2500 unidades.
objective_target_ExportPower2_task	Exporte 2500 unidades de energia.
objective_target_ExportPower2_reward	Meta de energia limpa 4 batida.
objective_target_ExportPower2_reward_text	Limite de exportação de energia aumentado em 2500 unidades
objective_target_ExportPower3	Meta de energia limpa 5
objective_target_ExportPower3_description	O limite de exportação de energia foi aumentado em 5000 unidades.
objective_target_ExportPower3_task	Exporte 5000 unidades de energia.
objective_target_ExportPower3_reward	Meta de energia limpa 5 batida.
objective_target_ExportPower3_reward_text	Limite de exportação de energia aumentado em 5000 unidades
interface_title_targets	Metas de energia limpa
objective_HelpBasicFarming_child_1	Espaços agrícolas
objective_HelpBasicFarming_child_1_Description	Há 4 novos espaços associados à agricultura: o lote de legumes e verduras, o campo de cultivo, o pomar e a despensa. \n\nOs 3 primeiros espaços são necessários para o cultivo de legumes e verduras, cereais e árvores frutíferas, respectivamente, enquanto a despensa funciona como local de armazenamento e refrigeração das colheitas. \n\nTodos os 3 principais espaços agrícolas devem ser criados em ambientes externos e precisarão de um galpão, que será usado como fonte de água para irrigação manual e como área de armazenamento de sementes e itens similares.
objective_HelpBasicFarming_child_2	Plantando colheitas
objective_HelpBasicFarming_child_2_Description	Para plantar colheitas, primeiro crie espaços agrícolas e contrate fazendeiros para administrar tarefas relacionadas às plantações. \n\nAs plantações só podem ser cultivadas em seus espaços específicos e nos seguintes tipos de terreno: "terra", "lama", "grama", "canto com grama" ou "campo florido". \n\nDepois do ciclo inicial de crescimento e colheita, é possível automatizar as plantações pela política "Plantação contínua". \n\nSe quiser substituir as plantações por um tipo diferente, mantenha essa política desativada.
objective_HelpBasicFarming_child_3	Características da plantação
objective_HelpBasicFarming_child_3_Description	Cada um dos 3 tipos de plantações tem características diferentes. Cereais, legumes e verduras só geram um ciclo por vez e devem ser plantados de novo a cada colheita, mas árvores frutíferas dão frutas continuamente. \n\nTodos os 3 tipos de plantações podem ser vendidos como exportações, mas apenas frutas, legumes e verduras podem ser usados em refeições.
objective_HelpBasicFarming_child_4	Benefícios da plantação
objective_HelpBasicFarming_child_5	Armazém de ingredientes
objective_HelpAdvancedFarming_child_1	Pesquisa de agricultura
objective_HelpAdvancedFarming_child_2	Distribuição de plantações
objective_HelpAdvancedFarming_child_2_Description	A nova opção de logística permite que os jogadores selecionem para onde os produtos são levados depois da colheita, além da proporção de distribuição. \n\nOs jogadores também podem escolher as ligações entre despensas e cozinhas, mas, sem essa ação, as ligações são criadas automaticamente com base na distância.
objective_HelpAdvancedFarming_child_3	Fertilizante
objective_HelpAdvancedFarming_child_3_Description	Há dois itens de fertilização: o fertilizante de compostagem e o fertilizante de alta qualidade. Ambos podem ser usados para aumentar a velocidade de crescimento das plantações e a chance de produção de sementes ao colher. \n\nO fertilizante de alta qualidade tem efeitos melhores que o de compostagem, mas é mais caro. O fertilizante de compostagem é mais barato e você pode produzir por conta própria com a composteira, encontrada entre os itens de descarte de plantas e alimentos.
objective_HelpAdvancedFarming_child_4	Agricultura automatizada
objective_HelpAdvancedFarming_child_4_Description	Há 3 trabalhos de agricultura que podem ser automatizados com itens. Eles são: irrigar as plantações, fazer a colheita e armazenar a colheita.
objective_HelpGreenEnergy_child_1	Tipos de energia limpa
objective_HelpGreenEnergy_child_2	Efeitos do clima
objective_HelpGreenEnergy_child_3	Transformadores e baterias
objective_HelpGreenEnergy_child_3_description	Devido às propriedades da energia limpa bruta, cada nova fonte de energia deve estar conectada a um transformador por cabos elétricos antes que seja possível usar a eletricidade em aparelhos. \n\nO transformador não só transforma a energia limpa bruta em uma forma de energia utilizável como também carrega baterias adjacentes. \n\nA energia armazenada nas baterias pode ser usada como emergência ou para exportação de energia através do medidor de exportação de energia.
objective_HelpGreenEnergy_child_4	Exportação de energia
objective_HelpGreenEnergy_child_5	Metas de energia limpa
objective_HelpGreenEnergy_child_5_description	Várias metas de geração de energia limpa podem ser encontradas no menu Subsídios. Conclua os objetivos para receber alguns benefícios, como: \n\n- Aumentar o limite diário de exportação de energia \n- Desbloquear fontes de energia adicionais \n- Aumentar o desempenho de fontes de energia limpa compradas.
objective_HelpNarcoticProduction_child_2	Produção de drogas
objective_HelpNarcoticProduction_child_2_description	A produção de drogas, por outro lado, só depende de um espaço: o campo de cultivo. Os detentos vão tentar alterar as plantações existentes para esconder drogas cultiváveis. \n\nAs plantas alteradas exalam um cheiro suspeito e podem, portanto, ser detectadas por cães policiais, mas nunca serão áreas de revista. Seria necessária uma busca manual nesse caso, mas cada busca tem uma chance de danificar as plantações. \n\nQuando as plantações forem colhidas, as drogas também são coletadas, caso o detento correto faça a colheita. \n\nGangues também podem assumir o comando de campos de cultivo para garantir o controle da produção de entorpecentes.
objectiveWindow_FilterButton_0_title	Tarefas
objectiveWindow_FilterButton_1_title	Na onda ecológica
objectiveWindow_FilterButton_0_tooltip	Tarefas em andamento
objectiveWindow_FilterButton_1_tooltip	Conjunto de informações descrevendo e explicando as características principais de Na onda ecológica
escapemode_info_board	Embarcar na balsa
reports_ingredients_usageTitle	Proporção de uso de ingredientes frescos / importados
objective_HelpEnvironmentallyFriendly	Ecologicamente correto
object_OxStatue	Estátua de boi
object_PaperDragonHead	Dragão (Cabeça)
object_PaperDragonBody	Dragão (Corpo)
object_PaperDragonTail	Dragão (Cauda)
object_PaperLantern	Lanterna de Papel
object_CoupletBanner	Estandarte Dístico
buildtoolbar_popup_obj_OxStatue	Uma estátua zodíaca que representa o poderoso boi
buildtoolbar_popup_obj_PaperDragonHead	Um corte de papel, na forma de cabeça de dragão
buildtoolbar_popup_obj_PaperDragonBody	Um corte de papel, na forma de corpo de dragão
buildtoolbar_popup_obj_PaperDragonTail	Um corte de papel, na forma de cauda de dragão
buildtoolbar_popup_obj_PaperLantern	Uma lanterna de papel decorativa que traz luz à tua prisão
buildtoolbar_popup_obj_CoupletBanner	Um estandarte decorativo com dísticos chineses inscritos nele
object_PinkFlamingo	Flamingo rosa
object_HayBale	Fardo de feno
object_FlowerPlanterWateringCan	Vaso de flor (regador)
object_FlowerPlanterWellies	Vaso de flor (galochas)
object_FlowerPlanterWheelbarrow	Vaso de flor (carrinho de mão)
object_SmallServingTable	Mesa de buffet (pequena)
object_TrayDispenser	Dispensador de bandejas
object_SolarWallLight	Luz de parede (solar)
buildtoolbar_popup_obj_HayBale	Não tem nada mais rural do que um fardo de feno.
buildtoolbar_popup_obj_FlowerPlanterWateringCan	Um recipiente adaptado usado para plantar flores.
buildtoolbar_popup_obj_FlowerPlanterWellies	Um par de galochas que agora é usado para plantar flores.
buildtoolbar_popup_obj_FlowerPlanterWheelbarrow	Uma adição colorida para as áreas externas.
buildtoolbar_popup_obj_SmallServingTable	Entregue comida para os prisioneiros.
buildtoolbar_popup_obj_TrayDispenser	Usado para armazenar bandejas extras. Capacidade máxima de 200.
buildtoolbar_popup_obj_SolarWallLight	Luz, que funciona a energia solar, que pode ser colocada em paredes e liga automaticamente durante a noite.
object_FoodTrayPack	Pacote(s) de bandeja
buildtoolbar_popup_obj_FoodTrayPack	Pacote de 40 bandejas. Clique duplo /Segure para comprar
d11_staffalert_summary_BasicFarming03	Diferentemente de outras plantações, árvores frutíferas rendem frutas constantemente, não precisando de um novo plantio a cada colheita.
d11_ingredients_crops_per_day_tooltip	Número de plantações compradas nas últimas 24 horas.
d11_hover_quantity	x *X
material_SellFlooring	Vender piso
object_AdvancedAutoGatherer	Coletor automático avançado
buildtoolbar_popup_uts_quickconnect	Conecte rapidamente sistemas de vigilância ou de automação ao item destinatário mais próximo.
d11_hover_alert_water	Exige Água
d11_hover_alert_electricity	Exige Eletricidade
interfacemode_objectType_filter_all	Tipo de objeto: todos os tipos
d11_powerstation_overloaded_two_stations	Sobrecarregado, as Centrais Elétricas não deve estar conectadas umas às outras
d11_farm_search_freq_option_never	Nunca
d11_farm_search_target_option_everything	Tudo
objective_HelpGreenEnergy_child_1_description	Há novas fontes de energia limpa que podem ser usadas para substituir a estação de energia. \n\nTurbinas eólicas \nPainéis solares \nTurbinas eólicas com painéis solares \nApenas painéis solares estarão disponíveis inicialmente. \n\nCada fonte de energia limpa tem propriedades ligeiramente diferentes, incluindo a energia gerada, mas, diferentemente da estação de energia, elas podem ser conectadas entre si em uma configuração de até 50 itens.
objective_HelpNarcoticProduction_child_1	Produção de álcool
objective_HelpNarcoticProduction_child_1_description	Os prisioneiros que atenderem a certos critérios conseguirão produzir seu próprio álcool. \n\nPrimeiro, eles coletarão os ingredientes para o álcool em espaços agrícolas, áreas de cozinha ou qualquer máquina de vendas a que tiverem acesso. \n\nEm seguida, eles prepararão os ingredientes à noite na cela antes de guardar o álcool por alguns dias para fermentar.
codex_options_staffalertscaption	Alertas dos Funcionários
reports_farmingpolicytitle	Políticas de agricultura
report_policy_categoryTooltip_PrisonerTransfer	LENDÁRIA
buildtoolbar_popup_mat_grasscornerfloor	Um canto com grama e sujeira. Útil para percursos angulares.
buildtoolbar_popup_mat_grasscornerfloor1	Um canto com grama e sujeira. Útil para percursos angulares.
buildtoolbar_popup_mat_grasscornerfloor2	Um canto com grama e sujeira. Útil para percursos angulares.
buildtoolbar_popup_mat_grasscornerfloor3	Um canto com grama e sujeira. Útil para percursos angulares.
roomgrading_has_pa_system	[*X] Possui sistema de amplificação em bloco de celas
buildtoolbar_popup_mat_Water	Crie riachos, rios e outras áreas de água intransitáveis.
interfacecallout_AirSoldiers	Soldados aéreos
buildtoolbar_Logistics_CropDistribution	Controle para quais salas as colheitas serão direcionadas. Você também pode alterar os percentuais de distribuição na janela Gerenciar Distribuição.
object_walkwaystairs	Escada da Passarela (em andamento)
buildtoolbar_popup_obj_walkwaystairs	Coloque ao lado de uma Passarela elevada (Passarela de muro) para que os guardas possam acessar as passarelas e patrulhar de cima.
buildtoolbar_popup_mat_PerimeterWall	os encanamentos não podem ser construídos no subterrâneo.
interfacemode_objectPack_filter_caption	Filtra o número de objetos exibidos, de acordo com o pacote de expansão associado.
interfacemode_objectType_filter_caption	Filtra o número de objetos exibidos, de acordo com o tipo desses objetos.
buildtoolbar_deployment_PrioritizeFarmer	Use esta opção para que os Fazendeiros priorizem a execução de seus trabalhos em áreas específicas, antes de outros profissionais em sua prisão. Se você estiver com uma equipe pequena, os Fazendeiros vão tentar dar conta de suas áreas prioritárias primeiro. Atribua 1, 2 ou 3 Fazendeiros para priorizar uma área.
interfacetopbar_tooltip_totalFarmers	*X fazendeiros ao todo
interfacetopbar_tooltip_farmer	Quantia de fazendeiros que você tem disponível para trabalhar em sua prisão.
d11_farm_search_freq_caption	Frequência de busca na fazenda
d11_farm_search_target_caption	Alvo de busca na fazenda
d11_continuous_fertilizer_caption	Fertilizante contínuo
Ingredients_UsageCaption_tooltip	Controle a proporção entre os produtos cultivados na prisão e os ingredientes entregues utilizados para as refeições; os ingredientes serão encomendados Se a quantidade armazenada não for suficiente.
interface_action_searchRoom	Sala de Revista
report_target_rewards	[Recompensas]
report_target_progress	[Progresso]
grant_property_Active	Ativar
mutator_name_Noir	Noir
mutator_tooltip_Noir	Um filtro escuro e sujo que remove quase todas as cores de sua prisão.
mutator_name_RoofView	Visão dos Telhados
mutator_tooltip_RoofView	Aplica um efeito semelhante à neblina de guerra, mas que exibe o telhado de edificações em áreas com visibilidade baixa em vez da "neblina".
job_group_hovering_expand	Clique para expandir os tipos de trabalhos similares
job_group_hovering_collapse	Clique para recolher os tipos de trabalhos similares
reform_program_and	e
objective_intake_closedriot	não está disponível durante motim na prisão
objective_HelpBasicFarming_child_4_Description	A principal vantagem de usar ingredientes cultivados na prisão em vez de ingredientes comuns, geralmente importados, são os efeitos que têm ao serem consumidos. \n\nDetentos que comerem ingredientes frescos saciam a fome mais rapidamente, enquanto outras necessidades também ganham bônus pequenos. \n\nOs detentos que comerem uma porção que tenha apenas ingredientes frescos também terão a chance de ganhar o novo status "saudável", que tem um efeito similar a completar as sessões de terapia para álcool e drogas.
objective_HelpBasicFarming_child_5_Description	Diferentemente de ingredientes comuns, plantações produzidas na prisão não têm conservantes para evitar que estraguem. \n\nAssim sendo, depois da colheita, os itens devem ser levados a um local refrigerado ou para a despensa, que é sempre refrigerada. \n\nSe isso não ocorrer, eles estragam em 3 dias. Os efeitos que eles tinham e o preço de exportação deles cairão.
objective_HelpGreenEnergy_child_2_description	Cada fonte de energia pode ser afetada positiva ou negativamente com o clima. \n\nEsses efeitos serão indicados com um sinal +/- e com uma dica ao passar o cursor por cima das fontes de energia. \n\nPor exemplo, o painel solar é afetado positivamente pelo tempo aberto e pela onda de calor, \nmas é afetado negativamente pelos climas nublado, chuvoso, chuva torrencial e geada.
objective_HelpGreenEnergy_child_4_description	O medidor de exportação de energia pode ser conectado a um transformador com fios. Se o transformador tiver baterias acopladas, qualquer energia armazenada pode ser vendida como exportação todos os dias, porém com um limite. \n\nO limite de exportação pode ser aumentado depois que determinadas metas de energia limpa forem batidas.
objective_HelpAdvancedFarming_child_1_Description	Nem todos itens relacionados à agricultura estarão disponíveis desde o início de um jogo novo. \nA tarefa de pesquisa de burocracia "Agricultura" deve ser concluída para se ter acesso a:\n-Mais plantações\n-Opção de logística de distribuição de plantações\n-Fertilizante de compostagem, fertilizante de alta qualidade e composteira \n-Trabalho prisional \n-Item de irrigação, colheita e armazenamento automático
warden_wardenfarmer_desc_short	- Dobra o preço de exportação de todos itens agrícolas produzidos na prisão.
warden_wardengreenpower_desc_short	- Com vasta experiência trabalhando com energia limpa, o Ecologista pode ter um efeito muito positivo nessas fontes de energia. Aumenta a energia gerada por todas fontes de energia limpa e dobra o valor da energia exportada e de reciclagens.
reputation_swimmer_high	Nadador
uniform_color_1	Cinza
uniform_color_2	Laranja
uniform_color_3	Vermelho
uniform_color_4	Amarelo
uniform_color_5	Castanho
uniform_color_6	Preto
uniform_color_7	Branco
uniform_color_9	Cor-de-rosa
uniform_color_10	Marrom
uniform_color_11	Verde
uniform_color_12	Azul
uniform_color_13	Azul celeste
uniform_color_14	Salmão
uniform_color_15	Veludo
uniform_color_16	Roxo
uniform_color_17	Verde-limão
uniform_color_18	Rosa Choque
uniform_color_19	Azul-Piscina
uniform_color_20	Metal de Arma
uniform_color_21	Areia
uniform_color_22	Vinho
uniform_color_23	Lama
uniform_color_24	Ácido
uniform_color_25	Tempestade
uniform_color_26	Violeta
uniform_color_27	Sujeira
uniform_color_28	Aço
uniform_color_29	Lilás
uniform_color_30	Casca de Ovo
uniform_color_31	Oceano
object_TherapyAnimal	Animal Terapêutico
object_TherapyAnimalContainer	Transporte p/ Animal Terapêutico
object_AnimalTherapist	Terapeuta de Animais
object_RestaurantCustomer	Cliente Civil
object_DisplayCounter	Balcão de Exposição
object_RehabilitatedPrisoner	Prisioneiro Reintegrado
object_Oven	Forno
object_DoughMixer	Batedor de Massa
object_Dough	Massa
object_BreadLoaf	Pão de Forma
object_BreadBun	Brioche
object_Cake	Bolo
object_Cupcake	Cupcake
object_Baguette	Baguete
object_CivilianChild	Delinquentes
object_RestaurantMeal	Refeição em Restaurante
object_RestaurantIngredientsCooking	Refeição em Restaurante (culinária)
object_RestaurantPlateDirty	Prato (sujo)
object_CakeStand	Bailarina
object_GrassBridge	Ponte Rodoviária com Grama
object_DiningTableLarge	Mesa de Jantar (grande)
object_DiningTableSmall	Mesa de Jantar (pequena)
object_DinerBooth	Cabine de Jantar
object_DiningChair	Cadeira de Jantar
object_SaloonDoor	Portas de Saloon (duplas)
object_OrnateLantern	Lanterna Enfeitada
object_Chandelier	Candelabro
object_WallPanel	Painel de parede (vermelho)
object_WallPanelWood	Painel de parede (madeira)
object_WallPanelStone	Painel de parede (pedra)
object_WallPanelCorner_A	Cantoneira p/ painel de parede tipo A (vermelho)
object_WallPanelWoodCorner_A	Cantoneira p/ painel de parede tipo A (madeira)
object_WallPanelStoneCorner_A	Cantoneira p/ painel de parede tipo A (pedra)
object_WallPanelCorner_B	Cantoneira p/ painel de parede tipo B (vermelho)
object_WallPanelWoodCorner_B	Cantoneira p/ painel de parede tipo B (madeira)
object_WallPanelStoneCorner_B	Cantoneira p/ painel de parede tipo B (pedra)
object_ShopCounter	Balcão de Loja
object_NoEntrySign	Placa (Entrada Proibida)
object_GymSign	Placa (ginásio)
object_PhoneSign	Placa (telefone)
object_RestaurantSign	Placa (Restaurante)
object_BakerySign	Placa (padaria)
object_VisitationSign	Placa (Visitas)
object_BakeryRawProduct	Produtos de Panificação (cru)
object_BakeryCookedProduct	Produtos de Panificação (assado)
object_Flour	Farinha
buildtoolbar_popup_obj_DisplayCounter	Uma unidade de servir, usada para armazenar produtos de panificação.
buildtoolbar_popup_obj_Oven	Uma unidade de cozimento especializada, usada para cozinhar produtos de panificação.
buildtoolbar_popup_obj_DoughMixer	Transforma farinha (e outros ingredientes escondidos) em massa para produtos de panificação.
buildtoolbar_popup_obj_CakeStand	Um estande de exibição para mostrar guloseimas deliciosas
buildtoolbar_popup_obj_GrassBridge	Uma ponte coberta de grama que permite a passagem segura pelas estradas.
buildtoolbar_popup_obj_DiningTableLarge	Uma mesa de alta qualidade que trará um grau mais alto de classe a qualquer refeição.
buildtoolbar_popup_obj_DiningTableSmall	Uma mesa de alta qualidade que trará um grau mais alto de classe a qualquer refeição.
buildtoolbar_popup_obj_DinerBooth	Um banquinho no estilo dos clássicos restaurantes estilo "diner" americanos.
buildtoolbar_popup_obj_DiningChair	Uma cadeira de alta qualidade que trará um grau mais alto de classe a qualquer refeição.
buildtoolbar_popup_obj_SaloonDoor	Portas duplas de madeira no estilo de um antigo saloon.
buildtoolbar_popup_obj_OrnateLantern	Uma lanterna de parede de alta qualidade que trará um maior grau de classe a qualquer área.
buildtoolbar_popup_obj_Chandelier	Uma luz de teto de alta qualidade que trará um maior grau de classe a qualquer área.
buildtoolbar_popup_obj_NoEntrySign	Uma placa de parede com um símbolo "Entrada Proibida" sobre ela.
buildtoolbar_popup_obj_GymSign	Uma placa de parede com um símbolo "Academia" sobre ela.
buildtoolbar_popup_obj_PhoneSign	Uma placa de parede com um símbolo "Telefone" sobre ela.
buildtoolbar_popup_obj_RestaurantSign	Uma placa de parede com um símbolo "Restaurante" sobre ela.
buildtoolbar_popup_obj_BakerySign	Uma placa de parede com um símbolo de padaria sobre ela.
buildtoolbar_popup_obj_VisitationSign	Uma placa de parede com um símbolo "Visitas" sobre ela.
buildtoolbar_popup_obj_WallPanel	Painéis de parede individuais curtos, usados para criar áreas separadas sem necessidade de limpar os azulejos da sala.
buildtoolbar_popup_obj_WallPanelWood	Painéis de parede individuais curtos, usados para criar áreas separadas sem necessidade de limpar os azulejos da sala.
buildtoolbar_popup_obj_WallPanelStone	Painéis de parede individuais curtos, usados para criar áreas separadas sem necessidade de limpar os azulejos da sala.
buildtoolbar_popup_obj_WallPanelCorner_A	Cantoneiras individuais para painéis de parede, usadas para criar áreas separadas sem necessidade de limpar os azulejos da sala.
buildtoolbar_popup_obj_WallPanelWoodCorner_A	Cantoneiras individuais para painéis de parede, usadas para criar áreas separadas sem necessidade de limpar os azulejos da sala.
buildtoolbar_popup_obj_WallPanelStoneCorner_A	Cantoneiras individuais para painéis de parede, usadas para criar áreas separadas sem necessidade de limpar os azulejos da sala.
buildtoolbar_popup_obj_WallPanelCorner_B	Cantoneiras individuais para painéis de parede, usadas para criar áreas separadas sem necessidade de limpar os azulejos da sala.
buildtoolbar_popup_obj_WallPanelWoodCorner_B	Cantoneiras individuais para painéis de parede, usadas para criar áreas separadas sem necessidade de limpar os azulejos da sala.
buildtoolbar_popup_obj_WallPanelStoneCorner_B	Cantoneiras individuais para painéis de parede, usadas para criar áreas separadas sem necessidade de limpar os azulejos da sala.
buildtoolbar_popup_obj_ShopCounter	Um balcão para transações comerciais, que não requer a colocação de um muro.
room_Restaurant	Restaurante
room_Bakery	Padaria
room_TherapyRoom	Sala de Reuniões
d11_restaurant_work	Restaurante
d11_restaurant_work_desc	Designar prisioneiros para trabalhar dentro de um de nossos restaurantes para cozinhar e atender clientes civis. No entanto, devem ter experiência de trabalho em culinária ou no atendimento ao cliente.
d11_bakery_work	Padaria
d11_bakery_work_desc	Designe prisioneiros para trabalhar dentro de uma de nossas padarias para produzir produtos de panificação para clientes civis. No entanto, devem ter experiência de trabalho em culinária ou no atendimento ao cliente.
buildtoolbar_popup_room_TherapyRoom	Um "espaço seguro" para a realização de sessões de Terapia com Animais e discussões com ex-presidiários.
buildtoolbar_popup_room_Restaurant	Prisioneiros com experiência em culinária ou atendimento ao cliente podem preparar e servir alimentos para clientes civis.
buildtoolbar_popup_room_Bakery	Prisioneiros com experiência em culinária ou atendimento ao cliente podem assar pães e bolos para vender a clientes civis.
quickbuild_Therapy	Sala de Reuniões
quickbuild_Restaurant	Restaurante
quickbuild_Bakery	Padaria
quickbuild_Reception	Recepção
reformprogram_AnimalTherapy	Terapia com Animais
reformprogram_AnimalTherapy_text	Os presidiários podem frequentemente ter dificuldades para controlar o temperamento ou outros pensamentos negativos. Através destas sessões e dos laços formados nelas, espera-se que os detentos aprendam a manter a calma e a contornar qualquer situação em que se encontrem antes que ela se torne violenta.
reformProgram_ConflictResolution	Resolução de Conflitos
reformProgram_ReformedPrisonerConsultation	Consulta de Presidiário Reintegrado
reformProgram_ReformedPrisonerConsultation_text	A ideia deste programa é mudar a mentalidade das pessoas encarceradas no momento, tendo um ex-presidiário que agora se reintegrou para falar de suas experiências e de sua nova vida.
reformProgram_juvenilecorrection	Programa "3 Advertências"
reformProgram_juvenilecorrection_text	Permitir que detentos e "delinquentes" civis interajam deve ter um efeito positivo em ambos, desde que os presidiários tenham sido treinados ou tenham o nível correto de experiência no atendimento ao cliente para interagir com esses "delinquentes".
reformProgram_socialtraining	Treinamento "3 Advertências"
reformProgram_socialtraining_text	Permitir que os detentos interajam com civis que não têm nenhuma relação com eles pode ser uma preocupação para muitos, pois este programa ensina quais ações podem e não podem ser tomada; ao mesmo tempo, aumenta a experiência de atendimento ao cliente de um presidiário.
reformProgram_RehabilitatedPrisoner_text	Este ex-presidiário se transformou em um cidadão modelo e, com sua ocupação atual, agora se encarrega de usar o tempo para ajudar outros que estão lutando para se reintegrar, como consultor penitenciário.
reformProgram_Occupation	Local de Trabalho:
report_Sentences	Ajustes de Sentença
sentences_tooltip_onOff	Alternar esta opção para ativar ou desativar os ajustes da sentença NÃO/SIM.
sentences_tooltip_resetCriteria	Redefinir de volta os critérios de ajuste aos valores propostos para a prisão.
sentences_tooltip_extensionValue	Selecione o tempo pelo qual a sentença de um presidiário será aumentada, uma vez que cumpra os critérios exigidos.
sentences_tooltip_reductionValue	Selecione o tempo pelo qual a sentença de um presidiário será reduzida, uma vez que cumpra os critérios exigidos.
sentences_description	Defina os critérios para ajustar a sentença de um prisioneiro, seja ela reduzida por bom ou aumentada por mau comportamento.\nAumentos e reduções de sentença podem acontecer na mesma semana, mas ambos os tipos de ajuste têm um tempo de espera de 7 dias.
sentences_unavailable	N/A
reduction_caption	Valor de Redução
extension_caption	Valor do Aumento
adjustment_criteria	Critérios de ajuste
goodBehaviour_DaysInLabour	Dias no Trabalho
goodBehaviour_LoweredRate	Taxa de Reincidência Reduzida
sentences_resetCriteria	Redefinir Critérios
misconduct_tooltip_InjuredStaff	Os prisioneiros se qualificarão para ter aumento de pena se tiverem agredido outros detentos na quantidade especificada de vezes.
misconduct_tooltip_InjuredPrisoner	Os prisioneiros se qualificarão para ter aumento de pena se tiverem agredido outros detentos na quantidade especificada de vezes.
misconduct_tooltip_SeriousInjury	Os prisioneiros se qualificarão para ter aumento de pena se tiverem causado lesões graves na quantidade especificada de vezes.
misconduct_tooltip_Murder	Os prisioneiros se qualificarão para ter aumento de pena se tiverem cometido assassinato dentro da prisão na quantidade especificada de vezes.
misconduct_tooltip_EscapeAttempt	Os prisioneiros se qualificarão para ter aumento de pena se tiverem tentado escapar da prisão a quantidade especificada de vezes.
goodBehaviour_tooltip_NoIncident	Os prisioneiros se qualificarão para reduções de sentença se não tiverem tido incidentes relatados pela quantidade especificada de dias.
goodBehaviour_tooltip_ProgramsPassed	Os prisioneiros se qualificarão para reduções de sentença se tiverem sido aprovados em uma quantidade especificada de programas.
goodBehaviour_tooltip_DaysInLabour	Os prisioneiros se qualificarão para reduções de pena se tiverem participado consecutivamente do trabalho prisional durante a quantidade especificada de dias.
goodBehaviour_tooltip_LoweredRate	Os prisioneiros se qualificarão para reduções de sentença se a taxa de reincidência tiver sido reduzida pelo valor especificado.
sentences_tooltip_criteriaMet	Ajuste este valor para decidir quantos critérios um prisioneiro deve cumprir para que sua sentença seja ajustada.
work_and_education	Trabalho & Treinamento
d11_work_experience	Experiência de Trabalho
experience_WorkCook	Experiência em Culinária
experience_WorkCleaner	Experiência em Limpeza
experience_WorkCraftsman	Experiência Artesanal
experience_WorkLabourer	Experiência em Trabalhos Manuais
experience_WorkRCS	Experiência em Atendimento ao Cliente
experience_WorkReform	A conclusão deste programa aumentará a experiência de trabalho do prisioneiro em 50% para o campo *X.
experience_WorkCook_desc	Os prisioneiros que têm 50% de experiência neste campo podem trabalhar diretamente em cozinhas, restaurantes ou padarias. Uma experiência maior também aumenta a eficiência em trabalhos relacionados.
experience_WorkCleaner_desc	Os prisioneiros que ganham experiência neste campo aumentarão a eficiência em trabalhos relacionados à limpeza.
experience_WorkCraftsman_desc	Os prisioneiros que têm 50% de experiência neste campo podem trabalhar diretamente na oficina, e maior experiência também aumenta a eficiência.
