# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Все изменения
buildtoolbar_popup_obj_SellObject	Способ вручную продать экспортные товары, пищевые продукты и любые неиспользуемые или демонтированные объекты за 85% от стоимости их покупки.
buildtoolbar_popup_obj_SellMaterial	Продать любые кучи стройматериалов, например, кабелей и кирпича, за 85% от стоимости их покупки.
buildtoolbar_popup_obj_SellFlooring	Продать любые ненужные напольные покрытия за 85% от стоимости их покупки.
d11_meal_quantity_description	Установите число продуктов, потребляемых каждым заключенным при приеме пищи (от 1 до 3). Чем больше разных продуктов употребляют заключенные, тем лучше они наедаются. При этом также повышается количество поставляемых в тюрьму продуктов.
d11_meal_variety_description	Этот параметр регулирует число типов продуктов, поставляемых в тюрьму при распределении продовольствия. При изменении этого параметра меняется не их количество, а то воздействие, которое они оказывают на заключенных.
d11_meal_system_description	Продовольственная система тюрьмы учитывает 4 фактора: вариант питания (разнообразие и количество), текущее число заключенных, число ежедневных приемов пищи и текущий запас продовольствия. В отличие от закупаемых продуктов, которые полны консервантов, выращенное на территории тюрьмы продовольствие лучше насыщает и дает заключенным статус «Отменное здоровье».
d11_IngredientRatio_hint	Отображает текущее количество обоих типов продуктов на складе
d11_meal_ingredients_count_per_meal_hint	Количество продуктов, необходимое для того, чтобы один раз обеспечить всех заключенных выбранным обедом.
d11_meal_ingredients_count_per_day_hint	Общее количество продуктов, необходимое для того, чтобы обеспечивать всех заключенных выбранным питанием целый день.
d11_crops_per_day_hint	Количество растений, закупленных за последние сутки.
d11_imported_ingredients_cost_hint	Общая стоимость всех закупленных продуктов и
delivered	за последние сутки
d11_crop_cost_hint	Общая стоимость растений, закупленных за последние сутки
d11_meal_cost_per_meal_hint	Средняя стоимость обеспечения пищей одного заключенного с поправкой на выбранный вариант питания и привилегии
d11_meal_cost_total_hint	Общая стоимость каждого приема пищи для каждого заключенного с поправкой на выбранные варианты питания и текущее население тюрьмы
d11_meal_estimated_price_hint	Примерная общая стоимость обеспечения пищей каждого заключенного. Из-за обилия факторов это значение может быть только примерным:
including	шанс получения семян, скорость роста урожая, различия в урожае.
d11_GreenPower_Locked	Чтобы разблокировать этот источник энергии, нужно выполнить задачу в области чистой энергии в меню грантов.
d11_powerstation_overloaded_Raw_power	Перегрузка; чистую энергию нельзя подключать к потребителям напрямую
D11_PowerExport_Error	Для продажи энергии необходимо подключиться к трансформатору при помощи электропроводки.
d11_powerexportmeter_powertosell	Доступно для экспорта: *X $
d11_PowerExport_PowerCap	Предел экспорта: [*X]
buildtoolbar_popup_uts_Transformer	Позволяет получать электричество из источников чистой энергии и передавать его в направлении, указанном стрелками. Расположенные вплотную батареи будут заряжаться при наличии лишней энергии от электростанций и источников чистой энергии, однако к одному трансформатору можно подключать устройства в пределах 5000 единиц мощности.
buildtoolbar_popup_uts_PowerExportMeter	Объект, позволяющий возвращать излишки накопленной энергии обратно в сеть и получать за это компенсацию. Требует подключения к трансформатору с батареями через провода.
d11_continuous_fertilizer_tooltip	Выберите, хотите вы покупать удобрения автоматически или нет, а также качество этих удобрений.
d11_crop_types_tooltip	Выберите, будут покупаемые вами растения натуральными или генетически модифицированными. Трансгенные растения созревают на 50% быстрее, но цена их сбыта ниже на то же значение. Также они не оказывают положительного эффекта на удовлетворение нужд заключённых, которые ими питаются.
d11_farm_search_freq_tooltip	Так как стандартные проверки не распространяются на фермерские помещения, используйте этот параметр, чтобы установить, будут проводиться обыски в этих фермерских помещениях или нет.
d11_farm_search_target_tooltip	Так как стандартные проверки не распространяются на фермерские помещения, используйте этот параметр, чтобы установить, что будет обыскиваться при активации параметра «Частота обыска».
d11_continuous_planting_tooltip	Эта функция позволяет автоматизировать повторное высаживание растений после сбора урожая так же, как это работает с лесным хозяйством.
d11_researchhint_l_farming	Это исследование открывает доступ к новым возможностям в области фермерства: предметы для автоматизации фермерства, более дорогие возделываемые культуры, контейнер для компоста, удобрения, кладовая, высокий холодильник, новые работы для заключенных и возможность распределять урожай.
object_quickconnect	Быстрое соединение
objective_GoingGreenInfo_child_1	Основные особенности использования чистой энергии указаны ниже. Чтобы посмотреть их, наведите курсор на каждый подзаголовок, и вы увидите соответствующее описание.
d11_cropDistributionHint	Щелкнуть правой кнопкой мыши: управление распределением
dlc_name_seaAirLand	Остров изоляции
dlc_name_greenMachine	Экотюрьма
interfacemode_objectType_filter_requiresWater	Сантехника
interfacemode_objectType_filter_requiresElectricity	Электроника
interfacemode_objectType_filter_entertainment	Развлечение
interfacemode_objectType_filter_rest	Отдыхает
interfacemode_objectType_filter_exercise	Занимается
interfacemode_objectType_filter_decoration	Украшения
interfacemode_objectType_filter_foliage	Растения
interfacemode_objectType_filter_signs	Указатели
interfacemode_objectType_filter_security	Охрана
interfacemode_objectType_filter_catering	Снабжение
interfacemode_objectType_filter_misc	Разное
material_SellFlooring	Продать напольное покрытие
object_AdvancedAutoGatherer	Улучшенный автосборщик
object_farmer	Фермер
object_OrganicWaste	Органические отходы
object_CompostBin	Контейнер для компоста
object_DumpObject	Избавиться от объекта
room_flowergarden	Цветочный сад
buildtoolbar_popup_room_Pantry	Помещение для хранения спелых фруктов и овощей. Низкая температура сохраняет свежесть собранного тюремного урожая.
buildtoolbar_popup_obj_Shed	Здесь хранят семена, инструменты и другие фермерские принадлежности, также здесь есть водопроводный кран для полива.
buildtoolbar_popup_obj_CompostBin	Помогает перерабатывать пищевые и органические отходы в полезное удобрение.
buildtoolbar_popup_obj_PinkFlamingo	Классическое садовое украшение.
buildtoolbar_popup_obj_BowtieBandit	Нарядный парень.
buildtoolbar_popup_obj_Shepherd	Кто у нас хорошая девочка?
buildtoolbar_popup_obj_DumpObject	Избавиться от объектов в вашей тюрьме.
buildtoolbar_popup_staff_farmer	Следит за ростом возделываемых культур и выполнением всех работ в помещениях «Огород», «Фруктовый сад» и «Фермерское поле».
buildtoolbar_popup_uts_quickconnect	Быстро подключает любые системы наблюдения или автоматизации к ближайшему принимающему устройству.
contraband_Ingredient	Ингредиент для выпивки
contraband_Kicker	Сырье для браги
contraband_StashLocation	Место тайника
Ingredients_UsageCaption	Соотношение
researchtooltip_farming	Открывает доступ к улучшенным фермерским методам и инструментам, а также более дорогим возделываемым культурам.
interface_title_targets	Задачи в области чистой энергии
objective_GoingGreenInfo	Борьба за экологию!
objectiveWindow_FilterButton_0_title	Задачи
objectiveWindow_FilterButton_1_title	Экотюрьма
objectiveWindow_FilterButton_0_tooltip	Текущие задачи
objectiveWindow_FilterButton_1_tooltip	Сведения об основных особенностях борьбы за экологию
escapemode_info_board	Взойти на паром
reports_ingredients_usageTitle	Соотношение между свежими и закупаемыми продуктами
objective_HelpEnvironmentallyFriendly	Экологичность
object_OxStatue	Статуя быка
object_PaperDragonHead	Дракон (голова)
object_PaperDragonBody	Дракон (тело)
object_PaperDragonTail	Дракон (хвост)
object_PaperLantern	Бумажный фонарик
object_CoupletBanner	Новогодние китайские двустишия
buildtoolbar_popup_obj_OxStatue	Зодиакальная статуя могучего Быка
buildtoolbar_popup_obj_PaperDragonHead	Oрнамент в виде головы дракона
buildtoolbar_popup_obj_PaperDragonBody	Oрнамент в виде тела дракона
buildtoolbar_popup_obj_PaperDragonTail	Oрнамент в виде хвоста дракона
buildtoolbar_popup_obj_PaperLantern	Красный бумажный фонарик для декоративного освещения тюрьмы
buildtoolbar_popup_obj_CoupletBanner	Декоративный баннер с надписями из китайских двустиший
object_PinkFlamingo	Розовый фламинго
object_HayBale	Стог сена
object_FlowerPlanterWateringCan	Цветочная кадка (лейка)
object_FlowerPlanterWellies	Цветочная кадка (резиновые сапоги)
object_FlowerPlanterWheelbarrow	Цветочная кадка (тачка)
object_SmallServingTable	Раздаточный стол (маленький)
object_TrayDispenser	Емкость с подносами
object_SolarWallLight	Настенный светильник (солнечный)
buildtoolbar_popup_obj_HayBale	Настоящий фермерский шик.
buildtoolbar_popup_obj_FlowerPlanterWateringCan	Теперь в этой лейке выращивают цветы.
buildtoolbar_popup_obj_FlowerPlanterWellies	Теперь в этих резиновых сапогах выращивают цветы.
buildtoolbar_popup_obj_FlowerPlanterWheelbarrow	Отлично украсит двор вашей тюрьмы.
buildtoolbar_popup_obj_SmallServingTable	С него заключенные забирают свои тарелки.
buildtoolbar_popup_obj_TrayDispenser	Здесь хранятся ненужные подносы, но не более 200 штук.
buildtoolbar_popup_obj_SolarWallLight	Настенный светильник на солнечных батареях, который автоматически включается по ночам.
object_FoodTrayPack	Комплект подносов
buildtoolbar_popup_obj_FoodTrayPack	Набор из 40 подносов. Двойной щелчок/удерживать кнопку для покупки
d11_staffalert_summary_BasicFarming03	В отличие от других растений, фруктовые деревья плодоносят постоянно, поэтому их не нужно заменять после каждого сбора урожая.
d11_ingredients_crops_per_day_tooltip	Количество растений, закупленных за последние сутки.
buildtoolbar_popup_mat_grasscornerfloor	Поросшая травой грунтовая тропинка с поворотом.
buildtoolbar_popup_mat_grasscornerfloor1	Поросшая травой грунтовая тропинка с поворотом.
buildtoolbar_popup_mat_grasscornerfloor2	Поросшая травой грунтовая тропинка с поворотом.
buildtoolbar_popup_mat_grasscornerfloor3	Поросшая травой грунтовая тропинка с поворотом.
buildtoolbar_Logistics_CropDistribution	Определяет, в каком помещении будет складироваться урожай. Кроме того, вы можете управлять распределением урожая в процентах в окне «Управление распределением».
d11_hover_alert_water	Нужна вода
d11_hover_alert_electricity	Нужно электричество
interfacemode_objectPack_filter_caption	Фильтр отображаемых объектов по дополнению.
interfacemode_objectType_filter_caption	Фильтр отображаемых объектов по их типу.
d11_powerstation_overloaded_two_stations	— Перегрузка; электростанции нельзя подключать друг к другу
buildtoolbar_deployment_PrioritizeFarmer	Используйте этот инструмент, чтобы повысить приоритет отдельных секторов вашей тюрьмы для фермеров. При недостатке кадров фермеры сначала будут посещать приоритетные сектора. Приоритет зависит от количества назначенных фермеров: 1, 2 или 3.
interfacetopbar_tooltip_totalFarmers	Всего фермеров: *X
interfacetopbar_tooltip_farmer	Доступное количество фермеров в этой тюрьме.
d11_farm_search_target_option_everything	Все
interface_action_searchRoom	Обыскать комнату
mutator_name_Noir	Нуар
mutator_tooltip_Noir	Мрачный фильтр, который заберет все краски жизни из мира вашей тюрьмы.
mutator_name_RoofView	Вид на крыши
mutator_tooltip_RoofView	Применяет эффект, похожий на «туман войны», только вместо тумана в зонах низкой видимости будут отображаться крыши зданий.
job_group_hovering_expand	Щелкните мышью, чтобы развернуть список подобных работ
job_group_hovering_collapse	Щелкните мышью, чтобы свернуть список подобных работ
d11_hover_quantity	x *X
dlc_name_psychWard	Психиатрическое Отделение
interfacemode_objectType_filter_all	Тип объектов: все типы
d11_farm_search_freq_option_never	Никогда
codex_options_staffalertscaption	Оповещения персонала
report_policy_categoryTooltip_PrisonerTransfer	ЛЕГЕНДА
roomgrading_has_pa_system	[*X]: громкая связь в камере
buildtoolbar_popup_mat_Water	Создавайте каналы, реки и другие непроходимые водные преграды.
interfacecallout_AirSoldiers	Десантники
object_walkwaystairs	Ступеньки для дорожки (в работе)
buildtoolbar_popup_obj_walkwaystairs	Размещайте рядом с поднятыми пешеходными дорогами (например, на стене), чтобы охранники могли перемещаться по ним и патрулировать территорию.
buildtoolbar_popup_mat_PerimeterWall	Водопроводные трубы нужно прокладывать выше.
dlc_name_prisonWing	Перевод разрешен
d11_farm_search_target_caption	Цель обыска фермы
Ingredients_UsageCaption_tooltip	Определите, в каком соотношении для приготовления пищи будут использоваться закупаемые и выращиваемые в тюрьме продукты. Недостающие продукты будут закупаться на стороне.
report_target_rewards	[Награды]
report_target_progress	[Прогресс]
grant_property_Active	Включить
reform_program_and	и
objective_intake_closedriot	Набор невозможен во время мятежа
reputation_swimmer_high	Пловец
uniform_color_1	Серый
uniform_color_2	Оранжевый
uniform_color_3	Красный
uniform_color_4	Желтый
uniform_color_5	Каштановый
uniform_color_6	Черный
uniform_color_7	Белый
uniform_color_9	Розовый
uniform_color_10	Коричневый
uniform_color_11	Зеленый
uniform_color_12	Синий
uniform_color_13	Голубой
uniform_color_14	Оранжево-розовый
uniform_color_15	Бархатный
uniform_color_16	Фиолетовый
uniform_color_17	Лаймовый
uniform_color_18	Ярко-розовый
uniform_color_19	Аквамариновый
uniform_color_20	Темно-серый
uniform_color_21	Песочный
uniform_color_22	Бургундский
uniform_color_23	Грязно-зеленый
uniform_color_24	Кислотный
uniform_color_25	Голубино-синий
uniform_color_26	Фиолетовый
uniform_color_27	грязь
uniform_color_28	Стали
uniform_color_29	Сирень
uniform_color_30	Светло-бежевый
uniform_color_31	Океан
object_TherapyAnimal	Животное для зоотерапии
object_TherapyAnimalContainer	Клетка животного для зоотерапии
object_AnimalTherapist	Зоотерапевт
object_RestaurantCustomer	Гражданское лицо — клиент
object_DisplayCounter	Прилавок-витрина
object_RehabilitatedPrisoner	Исправившийся заключенный
object_Oven	Печь
object_DoughMixer	Тестомесильная машина
object_Dough	Тесто
object_BreadLoaf	Буханка хлеба
object_BreadBun	Булка
object_Cake	Торт
object_Cupcake	Пирожное
object_Baguette	Багет
object_CivilianChild	Преступник
object_RestaurantMeal	Ресторанная еда
object_RestaurantIngredientsCooking	Ресторанная еда (готовится)
object_RestaurantPlateDirty	Грязная тарелка
object_CakeStand	Прилавок для тортов
object_GrassBridge	Мост с газоном
object_DiningTableLarge	Обеденный стол (большой)
object_DiningTableSmall	Обеденный стол (маленький)
object_DinerBooth	Ресторанный диван
object_DiningChair	Ресторанный стул
object_SaloonDoor	Салунная дверь (двойная)
object_OrnateLantern	Украшенный светильник
object_Chandelier	Люстра
object_WallPanel	Стенная панель (красная)
object_WallPanelWood	Стенная панель (дерево)
object_WallPanelStone	Стенная панель (камень)
object_WallPanelCorner_A	Стенная панель угловая типа А (красная)
object_WallPanelWoodCorner_A	Стенная панель угловая типа А (дерево)
object_WallPanelStoneCorner_A	Стенная панель угловая типа А (камень)
object_WallPanelCorner_B	Стенная панель угловая типа Б (красная)
object_WallPanelWoodCorner_B	Стенная панель угловая типа Б (дерево)
object_WallPanelStoneCorner_B	Стенная панель угловая типа Б (камень)
object_ShopCounter	Торговый прилавок
object_NoEntrySign	Указатель (хода нет)
object_GymSign	Указатель (спортзал)
object_PhoneSign	Указатель (телефон)
object_RestaurantSign	Указатель (ресторан)
object_BakerySign	Указатель (пекарня)
object_VisitationSign	Указатель (комната для свиданий)
object_BakeryRawProduct	Сырье для пекарни
object_BakeryCookedProduct	Готовая продукция пекарни
object_Flour	Мука
buildtoolbar_popup_obj_DisplayCounter	Приспособление для хранения хлебобулочных изделий.
buildtoolbar_popup_obj_Oven	Специальное кухонное приспособление для выпечки изделий из теста.
buildtoolbar_popup_obj_DoughMixer	Превращает муку (и другие ингредиенты) в тесто для выпечки.
buildtoolbar_popup_obj_CakeStand	Прилавок для разных сладостей.
buildtoolbar_popup_obj_GrassBridge	Мостик с газоном для перехода через дорогу.
buildtoolbar_popup_obj_DiningTableLarge	На столе высокого качества любой обед будет выглядеть стильно и дорого.
buildtoolbar_popup_obj_DiningTableSmall	На столе высокого качества любой обед будет выглядеть стильно и дорого.
buildtoolbar_popup_obj_DinerBooth	Сиденье в стиле классической американской закусочной.
buildtoolbar_popup_obj_DiningChair	Когда сидишь на удобном стуле, любая еда кажется вкуснее.
buildtoolbar_popup_obj_SaloonDoor	Двойная деревянная дверь в стиле салуна.
buildtoolbar_popup_obj_OrnateLantern	Настенный светильник высокого качества любое помещение сделает стильным и уютным.
buildtoolbar_popup_obj_Chandelier	Светильник высокого качества любое помещение сделает стильным и уютным.
buildtoolbar_popup_obj_NoEntrySign	Настенный указатель со значком «Входа нет».
buildtoolbar_popup_obj_GymSign	Настенный указатель со значком «Спортзал».
buildtoolbar_popup_obj_PhoneSign	Настенный указатель со значком «Телефон».
buildtoolbar_popup_obj_RestaurantSign	Настенный указатель со значком «Ресторан».
buildtoolbar_popup_obj_BakerySign	Настенный указатель со значком «Пекарня».
buildtoolbar_popup_obj_VisitationSign	Настенный указатель со значком «Комната для свиданий».
buildtoolbar_popup_obj_WallPanel	Короткие стенные панели для организации пространства без перепланировки помещений.
buildtoolbar_popup_obj_WallPanelWood	Короткие стенные панели для организации пространства без перепланировки помещений.
buildtoolbar_popup_obj_WallPanelStone	Короткие стенные панели для организации пространства без перепланировки помещений.
buildtoolbar_popup_obj_WallPanelCorner_A	Угловые элементы стенных панелей для организации пространства без перепланировки помещений.
buildtoolbar_popup_obj_WallPanelWoodCorner_A	Угловые элементы стенных панелей для организации пространства без перепланировки помещений.
buildtoolbar_popup_obj_WallPanelStoneCorner_A	Угловые элементы стенных панелей для организации пространства без перепланировки помещений.
buildtoolbar_popup_obj_WallPanelCorner_B	Угловые элементы стенных панелей для организации пространства без перепланировки помещений.
buildtoolbar_popup_obj_WallPanelWoodCorner_B	Угловые элементы стенных панелей для организации пространства без перепланировки помещений.
buildtoolbar_popup_obj_WallPanelStoneCorner_B	Угловые элементы стенных панелей для организации пространства без перепланировки помещений.
buildtoolbar_popup_obj_ShopCounter	Торговый прилавок, который не обязательно устанавливать у стены.
room_Restaurant	Ресторан
room_Bakery	Пекарня
room_TherapyRoom	Комната для встреч
d11_restaurant_work	Ресторан
d11_restaurant_work_desc	Отправить заключенных на работу в один из ресторанов для приготовления и подачи еды гражданским лицам. Требуется опыт работы на кухне или в сфере обслуживания.
d11_bakery_work	Пекарня
d11_bakery_work_desc	Отправить заключенных на работу в одну из пекарен для выпечки хлебобулочных изделий на продажу гражданским лицам. Требуется опыт работы на кухне или в сфере обслуживания.
buildtoolbar_popup_room_TherapyRoom	«Безопасная зона» для сеансов зоотерапии и бесед с бывшими заключенными.
buildtoolbar_popup_room_Restaurant	Заключенные с опытом работы на кухне или в сфере услуг могут готовить и подавать еду гражданским лицам.
buildtoolbar_popup_room_Bakery	Заключенные с опытом работы на кухне или в сфере услуг могут печь хлеб и торты для продажи гражданским лицам.
quickbuild_Therapy	Комната для встреч
quickbuild_Restaurant	Ресторан
quickbuild_Bakery	Пекарня
quickbuild_Reception	Приемная
reformprogram_AnimalTherapy	Зоотерапия
reformprogram_AnimalTherapy_text	Многие заключенные пытаются бороться со своей агрессивностью и отрицательными эмоциями. Эти сеансы помогают им научиться сохранять спокойствие и избегать насилия в потенциально конфликтных ситуациях.
reformProgram_ConflictResolution	Устранение конфликтов
reformProgram_ReformedPrisonerConsultation	Общение с бывшими заключенными
reformProgram_ReformedPrisonerConsultation_text	Идея данной программы состоит в том, чтобы изменить менталитет заключенных с помощью бывших преступников, вставших на путь исправления. Они расскажут о своем опыте и новой жизни.
reformProgram_juvenilecorrection	Программа «трех предупреждений»
reformProgram_juvenilecorrection_text	Общение между заключенными и гражданскими «преступниками» полезно для обеих групп, поскольку заключенные уже прошли обучение или имеют опыт работы в сфере услуг для нормального общения с этими «преступниками».
reformProgram_socialtraining	Тренинг «трех предупреждений»
reformProgram_socialtraining_text	Общение заключенных с посторонними гражданскими лицами многим внушает тревогу, но эта программа помогает заключенным понять, что такое хорошо и что такое плохо, а также повышает их опыт работы в сфере услуг.
reformProgram_RehabilitatedPrisoner_text	Этот бывший заключенный стал образцовым гражданином и теперь в свободное от работы время помогает преступникам, вставшим на путь исправления, в качестве тюремного консультанта.
reformProgram_Occupation	Рабочее место:
report_Sentences	Пересмотр приговоров
sentences_tooltip_onOff	Эта настройка позволяет включить или отключить возможность пересмотра и коррекции приговоров.
sentences_tooltip_resetCriteria	Сбросить критерии к настройкам тюрьмы по умолчанию.
sentences_tooltip_extensionValue	Здесь можно выбрать срок, на который будет продлен приговор при выполнении указанных условий.
sentences_tooltip_reductionValue	Здесь можно выбрать срок, на который будет сокращен приговор при выполнении указанных условий.
sentences_description	Здесь можно установить критерии пересмотра срока заключения: в меньшую сторону при хорошем поведении, в большую — при плохом.\nВ течение одной недели можно как удлинить, так и сократить срок заключения, но между пересмотрами одного типа должно пройти не менее 7 дней.
sentences_unavailable	Н/Д
reduction_caption	Сокращение
extension_caption	Продление
adjustment_criteria	Критерии пересмотра
goodBehaviour_DaysInLabour	Отработанные дни
goodBehaviour_LoweredRate	Снижение процента рецидивов
sentences_resetCriteria	Сбросить критерии
misconduct_tooltip_InjuredStaff	Заключенным грозит продление срока за определенное количество нападений на персонал.
misconduct_tooltip_InjuredPrisoner	Заключенным грозит продление срока за определенное количество нападений на других заключенных.
misconduct_tooltip_SeriousInjury	Заключенным грозит продление срока за определенное количество драк с нанесением тяжелых увечий.
misconduct_tooltip_Murder	Заключенным грозит продление срока за определенное количество совершенных убийств на территории тюрьмы.
misconduct_tooltip_EscapeAttempt	Заключенным грозит продление срока за определенное количество попыток побега.
goodBehaviour_tooltip_NoIncident	Заключенные могут рассчитывать на сокращение срока при условии отсутствия происшествий в течение определенного количества дней.
goodBehaviour_tooltip_ProgramsPassed	Заключенные могут рассчитывать на сокращение срока при условии прохождения определенного числа программ.
goodBehaviour_tooltip_DaysInLabour	Заключенные могут рассчитывать на сокращение срока при условии непрерывного участия в тюремных работах в течение определенного количества дней.
goodBehaviour_tooltip_LoweredRate	Заключенные могут рассчитывать на сокращение срока при условии определенного снижения процента рецидивов.
sentences_tooltip_criteriaMet	Здесь можно указать, каким критериям должен соответствовать заключенный для пересмотра приговора.
work_and_education	Работа и обучение
d11_work_experience	Опыт работы
experience_WorkCook	Опыт работы на кухне
experience_WorkCleaner	Опыт в уборке
experience_WorkCraftsman	Опыт квалифицированной работы
experience_WorkLabourer	Опыт неквалифицированной работы
experience_WorkRCS	Опыт в сфере обслуживания
experience_WorkReform	Прохождение данной программы на 50% повысит опыт работы заключенного в сфере: *X.
experience_WorkCook_desc	Заключенные, имеющие 50% опыта в данной области, могут работать на кухне, в ресторане и пекарне. При более высоких значениях их эффективность в этих видах работ повышается.
experience_WorkCleaner_desc	Заключенные с опытом в этой области более эффективны в выполнении работ, связанных с уборкой.
experience_WorkCraftsman_desc	Заключенные, имеющие 50% опыта в данной области, могут работать в мастерской. При более высоких значениях эффективность их работы повышается.
experience_WorkLabourer_desc	Заключенные с опытом в этой области более эффективны в выполнении работ, связанных с физическим трудом.
experience_WorkRCS_desc	Заключенные, имеющие 50% опыта в данной области, могут принять участие в программе «трех предупреждений» и работать в сфере услуг. При более высоких значениях их эффективность в этих видах работ повышается.
d11_cleaner	Уборщик
d11_craftsman	Ремесленник
d11_labourer	Рабочий
d11_RACS	Обслуживание клиентов
experiencefactor_FactorWorkExperience	Опыт работы во всех сферах: *X%
d11_reform_average_reoffending_rate_x_days	Средний процент рецидивов (-*X д.)
d11_reform_average_punishment_grade	Средняя оценка наказания
d11_reform_average_health_grade	Средняя оценка состояния здоровья
d11_reform_average_security_grade	Средняя оценка режима
d11_reform_average_exp_grade	Средняя оценка опыта работы
d11_reform_average_reform_grade	Средняя оценка исправившихся
d11_reform_progrom_live	Действующие программы перевоспитания
d11_reform_program_places	Места в программах перевоспитания
d11_reform_program_attendance	Посещение программ перевоспитания
d11_reform_program_pass_rate	Процент участия в программах перевоспитания
d11_reform_released_prisoners_design_info	После освобождения заключенного из тюрьмы вас будут информировать о его дальнейших действиях. В зависимости от того, совершит ли он новое преступление или исправится и найдет работу, ваше учреждение будет оштрафовано или вознаграждено.
d11_reform_prisoners_action_reformed	ИСПРАВИЛСЯ!
d11_reform_prisoners_action_reoffended	РЕЦИДИВ!
d11_reform_prisoners_action_reoffended_returned	*X возвращается в вашу тюрьму.
d11_reform_prisoners_outcome_reformed	Нашли работу в городе: *X.
d11_reform_prisoners_outcome_reoffended	Арестованы и будут возвращены в тюрьму.
d11_reform_prisoners_outcome_reoffended_returned	Внимание! При продлении срока заключенные становятся опаснее.
d11_reform_reformed_prisoner_rewards	Награда за исправившихся заключенных (вчера)
d11_reform_reformed_reoffending_prisoner_fines	Штраф за рецидивы (вчера)
d11_reform_reoffending_stats_title	Статистика процента рецидивов
d11_reform_initial_reoffending_chance	Начальный процент рецидивов
d11_reform_current_reoffending_chance	Текущий процент рецидивов
d11_reform_reoffending_chance_delta	Изменение процента рецидивов:
d11_reform_job_outcome_cook	Ресторан
d11_reform_job_outcome_cleaner	Агентство по уборке
d11_reform_job_outcome_craftsman	Фабрика
d11_reform_job_outcome_labourer	Строительная компания
d11_reform_job_outcome_RAC	Торговая сеть
d11_reform_job_outcome_default	Почтовое отделение
d11_reform_required_reoffending_rate_title	Допустимый уровень УДО (%):
d11_reform_no_prisoners_found	Заключенных не обнаружено!
d11_all_prisoner_wages	Зарплата всех заключенных
d11_report_policy_wage_hint	Высокие зарплаты стимулируют заключенных работать внутри тюрьмы и участвовать в трудовых программах.
d11_wage	Зарплата
d11_adjust_wage_description	За участие в работах на территории тюрьмы заключенные получают зарплату. Зарплату можно назначать в индивидуальном или массовом порядке для каждого вида работ. Разные виды работ требуют разной подготовки, и за более квалифицированную работу заключенным полагается более высокая ставка.
d11_intake_arrival_caption	Прибытие пополнения
d11_intake_arrival_tooltip	Обычное время прибытия новых заключенных в тюрьму — 08:00. Здесь можно подстроить этот параметр под потребности вашего учреждения.
d11_intake_restrictions_caption	Удалить ограничения пополнения
d11_intake_restrictions_tooltip	Из-за чрезвычайных ситуаций (бунт заключенных, забастовка персонала и т. д.) прибытие пополнения обычно переносится на следующий день. Эта настройка позволяет принимать новых заключенных в любых условиях, если доступна зона доставки.
rapsheet_stint	Срок
reform_reward	Награда за перевоспитание
help_warning_prisonerreleased	Программы перевоспитания — основной инструмент возвращения заключенных к нормальной жизни. Одни преступники готовы начать новую жизнь, другие возьмутся за старое. За исправившихся преступников вы получите денежное вознаграждение, а рецидивисты вернутся в тюрьму. За неудачу в их перевоспитании на вас будут наложены штрафы, к тому же за время, проведенное на свободе, преступники могут приобрести еще больше дурных привычек.
finances_category_reformed	Исправившиеся заключенные
finances_category_reoffended	Штрафы за рецидивы
finances_category_prisonerbonus	Бонусный грант для заключенных
d11_labour_management	Организация труда
d11_LabourManagementDescription	В этом меню можно назначать заключенных на работу, управлять расписанием работ, а в случае необходимости — срочно вызвать охрану.
