# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Registro completo de cambios
d11_continuous_fertilizer_tooltip	Elige si quieres comprar fertilizante automáticamente o no, así como su calidad.
d11_crop_types_tooltip	Elige si los cultivos que compres automáticamente serán naturales o transgénicos. Los transgénicos crecen en la mitad de tiempo, pero también tienen un precio de exportación más reducido con la misma cantidad y no tiene efectos en las necesidades de los presos cuando los comen.
d11_farm_search_freq_tooltip	Ya que las salas de cultivo no están incluidas en los registros, usa esta opción para decidir si quieres hacer registros regulares en estas salas de cultivo o no.
d11_farm_search_target_tooltip	Ya que las salas de cultivo no están incluidas en los registros, usa esta opción para decidir qué objetos o entidades registrar a través de la opción Frecuencia de registro.
d11_continuous_planting_tooltip	Con esta opción, se replantarán cultivos del mismo tipo automáticamente tras cada cosecha, similar al procedimiento llevado a cabo en silvicultura.
d11_researchhint_l_farming	Esta investigación desbloquea varias características relacionadas con la agricultura, tales como: objetos de agricultura automatizada, cultivos más caros, el contenedor de abono y los abonos, la bodega y un frigorífico alto, junto a trabajos penitenciarios y un método para controlar la distribución del cultivo.
object_quickconnect	Conexión rápida
objective_GoingGreenInfo_child_1	Lo más relevante de Renovémonos está aquí abajo, si pasas el cursor por cada uno de los subtítulos verás una descripción y una explicación de cada una de las funciones.
d11_cropDistributionHint	Clic derecho: Controlar la distribución
d11_manageCropsInstructions	Puedes hacer clic en un porcentaje para bloquearlo y evitar que otras salas cambien la cantidad. En caso contrario, usa las flechas para cambiar los porcentajes con la cantidad general por cultivo limitado al 100 % en todas las salas conectadas.
dlc_name_seaAirLand	Isla Prisión
dlc_name_greenMachine	Renovémonos
interfacemode_objectType_filter_requiresWater	Tuberías
interfacemode_objectType_filter_requiresElectricity	Electrónicos
interfacemode_objectType_filter_entertainment	De entretenimiento
interfacemode_objectType_filter_rest	Descansando
interfacemode_objectType_filter_exercise	Ejercicio
interfacemode_objectType_filter_decoration	Decorativos
interfacemode_objectType_filter_foliage	Vegetación
interfacemode_objectType_filter_signs	Carteles
interfacemode_objectType_filter_security	Seguridad
interfacemode_objectType_filter_catering	Comidas
interfacemode_objectType_filter_misc	Otros
material_SellFlooring	Vender suelo
object_AdvancedAutoGatherer	Recolector automático avanzado
object_farmer	Agricultor
object_OrganicWaste	Residuos orgánicos
object_CompostBin	Contenedor de abono
object_DumpObject	Tirar objeto
room_flowergarden	Jardín floral
buildtoolbar_popup_room_Pantry	Una sala para almacenar todas tus frutas y verduras frescas. La habitación permanecerá fría para preservar los ingredientes cultivados en la prisión.
buildtoolbar_popup_obj_Shed	Un área para almacenar todas tus semillas, herramientas y demás objetos para el cultivo. También tiene grifos de agua para una irrigación básica.
buildtoolbar_popup_obj_AdvancedAutoGatherer	Se activa cada 6 horas para reunir y almacenar todos los ingredientes en un área de 10x10.
buildtoolbar_popup_obj_CompostBin	Se usa para reconvertir la comida y los residuos orgánicos en un abono útil.
buildtoolbar_popup_obj_PinkFlamingo	Un clásico jardín alegre.
buildtoolbar_popup_obj_BowtieBandit	Un tipo muy elegante.
buildtoolbar_popup_obj_Shepherd	¡¿QUIÉN ES UNA CHICA LISTA?!
buildtoolbar_popup_obj_DumpObject	Tirar objetos en tu prisión.
buildtoolbar_popup_staff_farmer	Se ocupa del crecimiento de los cultivos y gestiona todos los trabajos relacionados con el huerto de verduras, el huerto de árboles frutales y los campos de cultivo.
buildtoolbar_popup_uts_quickconnect	Conecta rápidamente cualquier sistema de vigilancia o automatización al objeto receptor más cercano.
contraband_Ingredient	Ingredientes para bebidas alcohólicas
contraband_Kicker	Licor casero
contraband_StashLocation	Ubicación del material
d11_crop_types_caption	Tipo de cultivo
Ingredients_UsageCaption	Relación
researchtooltip_farming	Desbloquea técnicas y equipamiento de agricultura avanzada, a la vez que cultivos más caros.
quickbuild_grove	Arboleda
quickbuild_flowerGarden	Jardín floral
quickbuild_yard	Patio
quickbuild_hedgeMaze	Laberinto
buildtoolbar_quickbuild_flowerGarden	Una zona de descanso tranquila para nuestros presos.
buildtoolbar_quickbuild_grove	Un conjunto de árboles para darle más vida a nuestro terreno.
buildtoolbar_quickbuild_hedgeMaze	Un laberinto básico con setos para que lo exploren nuestros presos.
buildtoolbar_quickbuild_yard	Un patio convencional con todo lo que nuestros presos podrían necesitar.
objective_target_ExportPower1	Objetivo de energías renovables 3
objective_target_ExportPower1_description	Se ha aumentado el límite de exportación de energía hasta 1000 unidades.
objective_target_ExportPower1_task	Exporta 1000 unidades de energía.
objective_target_ExportPower1_reward	Objetivo de energías renovables 3 completado.
objective_target_ExportPower1_reward_text	Se ha aumentado el límite de exportación de energía hasta 1000 unidades.
objective_target_ExportPower2	Objetivo de energías renovables 4
objective_target_ExportPower2_description	Se ha aumentado el límite de exportación de energía hasta 2500 unidades.
objective_target_ExportPower2_task	Exporta 2500 unidades de energía.
objective_target_ExportPower2_reward	Objetivo de energías renovables 4 completado.
objective_target_ExportPower2_reward_text	Se ha aumentado el límite de exportación de energía hasta 2500 unidades.
objective_target_ExportPower3	Objetivo de energías renovables 5
objective_target_ExportPower3_description	Se ha aumentado el límite de exportación de energía hasta 5000 unidades.
objective_target_ExportPower3_task	Exporta 5000 unidades de energía.
objective_target_ExportPower3_reward	Objetivo de energías renovables 5 completado.
objective_target_ExportPower3_reward_text	Se ha aumentado el límite de exportación de energía hasta 5000 unidades.
interface_title_targets	Objetivos de energías renovables
GrantHeaderButton_1	Objetivos de energías renovables
objective_HelpGreenEnergy_child_3_description	Debido a las propiedades de la energía renovable en bruto, hay que conectar cada tipo nuevo de fuente de energía a un transformador a través de cables eléctricos antes de poder usar dicha energía para aplicaciones eléctricas. \n\nEl transformador en sí mismo no solo transforma la energía renovable en bruto en una forma útil de energía, sino que también carga las baterías que tenga cerca. \n\nLa energía almacenada en una batería se puede usar en caso de emergencia, además de como exportación nueva a través del contador de la energía exportada.
objective_HelpGreenEnergy_child_5_description	Podrás encontrar una gran cantidad de objetivos de energías renovables en el menú de subvenciones. Al completar estos objetivos ganarás recompensas como: \n\n- Un aumento del límite diario de exportación de energía\n- Desbloquear fuentes de energía adicionales\n - Aumentar el rendimiento de cualquier fuente de energía que hayas adquirido.
objective_HelpNarcoticProduction_child_2_description	Por otro lado, la producción de drogas solo se hará en una única sala, el campo de cultivo. Los presos intentarán manipular los cultivos existentes para esconder drogas cultivables.\n\nEstas plantas manipuladas tendrán olores característicos, por lo que los perros guardianes las podrán detectar. Pero estas áreas nunca contarán durante los registros, por lo que habrá que emitir una orden de registro manual, aunque durante cada registro habrá una probabilidad de dañar los cultivos.\n\nAl cosechar estos cultivos, también conseguirás narcóticos si el preso correcto es el que hace la cosecha.\n\nLas pandillas también pueden controlar los campos de cultivo para garantizar que tienen el control de la producción de narcóticos.
objectiveWindow_FilterButton_0_title	Tareas
objectiveWindow_FilterButton_1_title	Renovémonos
objectiveWindow_FilterButton_0_tooltip	Tareas en curso
objectiveWindow_FilterButton_1_tooltip	Una recopilación de información que describe y explica las características clave de la "Renovémonos"
finances_other	Otras transacciones
interfacetopbar_budget_othermoneyin	Otros ingresos: *M $ / día
interfacetopbar_budget_othermoneyout	Otros gastos: *M $ / día
escapemode_info_board	Transbordador
reports_ingredients_usageTitle	Relación de uso de ingredientes frescos / importados
objective_HelpEnvironmentallyFriendly	Responsable con el medio ambiente
object_OxStatue	Estatua de buey
object_PaperDragonHead	Dragón (cabeza)
object_PaperDragonBody	Dragón (cuerpo)
object_PaperDragonTail	Dragón (cola)
object_PaperLantern	Linterna de papel
object_CoupletBanner	Estandarte con pareado
buildtoolbar_popup_obj_OxStatue	Una estatua del poderoso buey del zodíaco
buildtoolbar_popup_obj_PaperDragonHead	Una cabeza de dragón hecha de papel
buildtoolbar_popup_obj_PaperDragonBody	Un cuerpo de dragón hecho en papel
buildtoolbar_popup_obj_PaperDragonTail	Una cola de dragón hecha de papel
buildtoolbar_popup_obj_PaperLantern	Una linterna roja decorativa para iluminar la prisión
buildtoolbar_popup_obj_CoupletBanner	Un estandarte decorativo con un pareado chino
object_PinkFlamingo	Flamenco rosa
object_HayBale	Bala de heno
object_FlowerPlanterWateringCan	Jardinera (regadera)
object_FlowerPlanterWellies	Jardinera (botas de agua)
object_FlowerPlanterWheelbarrow	Jardinera (carretilla)
object_SmallServingTable	Mesa de servicio (pequeña)
object_TrayDispenser	Dispensador de bandejas
object_SolarWallLight	Luz de pared (Solar)
buildtoolbar_popup_obj_HayBale	Nada más característico de una GRANJA que una gran bala de heno.
buildtoolbar_popup_obj_FlowerPlanterWateringCan	Un simple contenedor reutilizado que ahora contiene flores.
buildtoolbar_popup_obj_FlowerPlanterWellies	Un par de botas de agua reutilizadas que ahora contienen flores.
buildtoolbar_popup_obj_FlowerPlanterWheelbarrow	Una adición colorida a las zonas exteriores.
buildtoolbar_popup_obj_SmallServingTable	Sirve comida a tus prisioneros.
buildtoolbar_popup_obj_TrayDispenser	Se utiliza para almacenar bandejas de comida de repuesto, su capacidad máxima es de 200.
buildtoolbar_popup_obj_SolarWallLight	Una luz solar que puede ser colocada en las paredes y se enciende automáticamente por la noche.
object_FoodTrayPack	Paquete(s) de bandejas de comida
buildtoolbar_popup_obj_FoodTrayPack	Un paquete de 40 bandejas de comida - Haz doble clic/Mantén presionado para comprar mercancía de contrabando.
d11_staffalert_summary_BasicFarming03	A diferencia de otros cultivos, los árboles frutales producirán fruta continuamente, por lo que no es necesario reemplazarlos tras la cosecha.

d11_ingredients_crops_per_day_tooltip	La cantidad de cultivos comprados en las últimas 24 horas.
buildtoolbar_popup_mat_grasscornerfloor	Una esquina de césped con tierra. Útiles para caminos angulares.
buildtoolbar_popup_mat_grasscornerfloor1	Una esquina de césped con tierra. Útiles para caminos angulares.
buildtoolbar_popup_mat_grasscornerfloor2	Una esquina de césped con tierra. Útiles para caminos angulares.
buildtoolbar_popup_mat_grasscornerfloor3	Una esquina de césped con tierra. Útiles para caminos angulares.
buildtoolbar_Logistics_CropDistribution	Controla a qué sala se mueven los cultivos cosechados. También puedes cambiar los porcentajes de distribución a través de la ventana Controlar la distribución.
d11_hover_alert_water	Se necesita agua
d11_hover_alert_electricity	Se necesita electricidad
interfacemode_objectPack_filter_caption	Filtra el número de objetos mostrados en base al paquete de expansión asociado.
interfacemode_objectType_filter_caption	Filtra el número de objetos mostrados en base al tipo de dichos objetos.
d11_powerstation_overloaded_two_stations	Sobrecarga, no debes conectar las centrales eléctricas entre sí
buildtoolbar_deployment_PrioritizeFarmer	Usa esta opción para priorizar el que los agricultores realicen su trabajo en zonas concretas. Si te falta personal, los agricultores intentarán cubrir primero las zonas prioritarias. Asigna 1, 2 o 3 agricultores para priorizar una zona.
interfacetopbar_tooltip_totalFarmers	*X agricultores en total
interfacetopbar_tooltip_farmer	Los agricultores que hay disponibles para trabajar en tu prisión.
d11_farm_search_target_option_everything	Todo
interface_action_searchRoom	Registrar sala
mutator_name_Noir	Negro
mutator_tooltip_Noir	Un filtro oscuro y sucio que elimina casi todo el color de tu prisión.
mutator_name_RoofView	Vista del tejado
mutator_tooltip_RoofView	Tiene un efecto parecido a la niebla de guerra, pero mostrando el tejado de los edificios en áreas de baja visibilidad en vez de niebla.
job_group_hovering_expand	Toca para expandir tipos de trabajo similares
job_group_hovering_collapse	Toca para minimizar tipos de trabajo similares
d11_hover_quantity	x *X
dlc_name_psychWard	Pabellón psiquiátrico
interfacemode_objectType_filter_all	Tipo de objeto: todos
d11_farm_search_freq_option_never	Nunca
objective_HelpGreenEnergy_child_1_description	Hay tres tipos de fuentes de energía renovables nuevas que se pueden usar para sustituir la central eléctrica.\n\nAerogeneradores\nPaneles solares\nAerogeneradores propulsados con energía solar\nAl principio solo tendrás disponibles los paneles solares.\n\nCada fuente de energía renovable tiene propiedades ligeramente distintas, como su potencia, pero al contrario que las centrales eléctricas, se pueden conectar entre sí en un sistema de hasta 50 elementos.
objective_HelpNarcoticProduction_child_1_description	Los presos que cumplan ciertas condiciones podrán producir su propio alcohol. \n\nPrimero obtendrán los ingredientes para el alcohol de las salas de cultivo, las zonas de cocina o de cualquier máquina expendedora a la que tengan acceso. \n\nA continuación, prepararán estos ingredientes por la noche en sus celdas antes de almacenar la elaboración durante un número de días para que fermente.
codex_options_staffalertscaption	Alertas del personal
reports_farmingpolicytitle	Políticas de agricultura
report_policy_categoryTooltip_PrisonerTransfer	LEGENDARIO
roomgrading_has_pa_system	[*X] Sistema de megafonía en bloque de celdas
buildtoolbar_popup_mat_Water	Crea arroyos, ríos y otras zonas de agua infranqueable.
interfacecallout_AirSoldiers	Tropas aerotransportadas
object_walkwaystairs	Escaleras de pasarela (Provisional)
buildtoolbar_popup_obj_walkwaystairs	Colócalo junto a una pasarela elevada (pasarela de pared) para que los guardias accedan a las pasarelas y patrullen desde arriba.
buildtoolbar_popup_mat_PerimeterWall	no puedes colocar tuberías de agua debajo.
dlc_name_prisonWing	Traslado autorizado
d11_farm_search_freq_caption	Frecuencia de registro de la granja
d11_farm_search_target_caption	Objetivo de registro de la granja
d11_continuous_fertilizer_caption	Abono continuo
Ingredients_UsageCaption_tooltip	Controla la relación de productos cultivados en la prisión y productos traídos de fuera para las comidas. Se encargarán más productos si no basta la cantidad almacenada.
report_target_rewards	[Recompensas]
report_target_progress	[Progreso]
grant_property_Active	Habilitar
reform_program_and	y
objective_intake_closedriot	Consumo no disponible durante los motines
interfacetopbar_tension_activeeliteops	+ *X elitstyrka finns på anläggningen
buildtoolbar_popup_help_farmer_1	Los agricultores se encargarán de la mayoría de trabajos relacionados con las salas de agricultura, es decir, desde plantar y cosechar los cultivos hasta almacenar los objetos que lo necesiten en los cobertizos adecuados.\n\n
buildtoolbar_popup_help_farmer_2	^Consejos
buildtoolbar_popup_help_farmer_3	- La mayoría de las tareas que realicen los agricultores también las pueden realizar los presos trabajadores, excepto las que requieran salir de la prisión.
buildtoolbar_popup_help_farmer_4	- Algunas tareas se pueden automatizar usando los objetos nuevos, como el riego y la cosecha de los cultivos.
reputation_swimmer_high	Nadador
uniform_color_1	Gris
uniform_color_2	Naranja
uniform_color_3	Rojo
uniform_color_4	Amarillo
uniform_color_5	Bermellón
uniform_color_6	Negro
uniform_color_7	Blanco
uniform_color_9	Rosa
uniform_color_10	Marrón
uniform_color_11	Verde
uniform_color_12	Azul
uniform_color_13	Azul celeste
uniform_color_14	Salmón
uniform_color_15	Terciopelo
uniform_color_16	Morado
uniform_color_17	Lima
uniform_color_18	Fucsia
uniform_color_19	Aguamarina
uniform_color_20	Plomizo
uniform_color_21	Arena
uniform_color_22	Burdeos
uniform_color_23	Alcantarilla
uniform_color_24	Ácido
uniform_color_25	Tormenta
uniform_color_26	Violeta
uniform_color_27	Suciedad
uniform_color_28	Acero
uniform_color_29	Lila
uniform_color_30	Blanco roto
uniform_color_31	Oceano
object_TherapyAnimal	Animal de terapia
object_TherapyAnimalContainer	Contenedor del animal de terapia
object_AnimalTherapist	Terapeuta con animales
object_RestaurantCustomer	Cliente civil
object_DisplayCounter	Exhibidor
object_RehabilitatedPrisoner	Recluso reformado
object_Oven	Horno
object_DoughMixer	Amasadora
object_Dough	Masa
object_BreadLoaf	Barra de pan
object_BreadBun	Bollo
object_Cake	Tarta
object_Cupcake	Magdalena
object_Baguette	Baguette
object_CivilianChild	Delincuente
object_RestaurantMeal	Comida de restaurante
object_RestaurantIngredientsCooking	Comida de restaurante (en cocción)
object_RestaurantPlateDirty	Plato (sucio)
object_CakeStand	Soporte para tartas
object_GrassBridge	Puente de césped
object_DiningTableLarge	Mesa de comedor (grande)
object_DiningTableSmall	Mesa de comedor (pequeña)
object_DinerBooth	Cabina de cafetería
object_DiningChair	Silla de comedor
object_SaloonDoor	Puertas de taberna (dobles)
object_OrnateLantern	Farol decorado
object_Chandelier	Candelabro
object_WallPanel	Panel de pared (rojo)
object_WallPanelWood	Panel de pared (madera)
object_WallPanelStone	Panel de pared (piedra)
object_WallPanelCorner_A	Panel angular de pared tipo A (rojo)
object_WallPanelWoodCorner_A	Panel angular de pared tipo A (madera)
object_WallPanelStoneCorner_A	Panel angular de pared tipo A (piedra)
object_WallPanelCorner_B	Panel angular de pared tipo B (rojo)
object_WallPanelWoodCorner_B	Panel angular de pared tipo B (madera)
object_WallPanelStoneCorner_B	Panel angular de pared tipo B (piedra)
object_ShopCounter	Mostrador
object_NoEntrySign	Cartel (no pasar)
object_GymSign	Cartel (gimnasio)
object_PhoneSign	Cartel (teléfono)
object_RestaurantSign	Cartel (restaurante)
object_BakerySign	Cartel (pastelería)
object_VisitationSign	Cartel (sala de visitas)
object_BakeryRawProduct	Producto de pastelería crudo
object_BakeryCookedProduct	Producto de pastelería horneado
object_Flour	Harina
buildtoolbar_popup_obj_DisplayCounter	Una bandeja que se usa para almacenar productos horneados.
buildtoolbar_popup_obj_Oven	Una unidad de cocción que se usa para cocinar productos horneados.
buildtoolbar_popup_obj_DoughMixer	Transforma la harina (y otros ingredientes ocultos) en masa para productos horneados.
buildtoolbar_popup_obj_CakeStand	Un puesto para mostrar unos dulces deliciosos
buildtoolbar_popup_obj_GrassBridge	Un puente cubierto de hierba que permite el paso seguro sobre carreteras.
buildtoolbar_popup_obj_DiningTableLarge	Una mesa de alta calidad que le dará un toque de clase a cualquier comida.
buildtoolbar_popup_obj_DiningTableSmall	Una mesa de alta calidad que le dará un toque de clase a cualquier comida.
buildtoolbar_popup_obj_DinerBooth	Una caseta del estilo de las clásicas cafeterías americanas.
buildtoolbar_popup_obj_DiningChair	Una silla de alta calidad que le dará un toque de clase a cualquier comida.
buildtoolbar_popup_obj_SaloonDoor	Puertas dobles de madera con el estilo de una taberna antigua
buildtoolbar_popup_obj_OrnateLantern	Un farol de pared de alta calidad que le dará un toque de clase a cualquier área.
buildtoolbar_popup_obj_Chandelier	Una luz de techo de alta calidad que le dará un toque de clase a cualquier área.
buildtoolbar_popup_obj_NoEntrySign	Un cartel de pared para indicar que está prohibida la entrada.
buildtoolbar_popup_obj_GymSign	Un cartel de pared para indicar el gimnasio.
buildtoolbar_popup_obj_PhoneSign	Un cartel de pared para indicar el teléfono.
buildtoolbar_popup_obj_RestaurantSign	Un cartel de pared para indicar el restaurante.
buildtoolbar_popup_obj_BakerySign	Un cartel de pared para indicar la pastelería.
buildtoolbar_popup_obj_VisitationSign	Un cartel de pared para indicar la sala de visitas.
buildtoolbar_popup_obj_WallPanel	Paneles de pared cortos e individuales que se usan para crear áreas separadas sin tener que quitar los azulejos.
buildtoolbar_popup_obj_WallPanelWood	Paneles de pared cortos e individuales que se usan para crear áreas separadas sin tener que quitar los azulejos.
buildtoolbar_popup_obj_WallPanelStone	Paneles de pared cortos e individuales que se usan para crear áreas separadas sin tener que quitar los azulejos.
buildtoolbar_popup_obj_WallPanelCorner_A	Piezas angulares individuales para paneles de pared que se usan para crear áreas separadas sin tener que quitar los azulejos.
buildtoolbar_popup_obj_WallPanelWoodCorner_A	Piezas angulares individuales para paneles de pared que se usan para crear áreas separadas sin tener que quitar los azulejos.
buildtoolbar_popup_obj_WallPanelStoneCorner_A	Piezas angulares individuales para paneles de pared que se usan para crear áreas separadas sin tener que quitar los azulejos.
buildtoolbar_popup_obj_WallPanelCorner_B	Piezas angulares individuales para paneles de pared que se usan para crear áreas separadas sin tener que quitar los azulejos.
buildtoolbar_popup_obj_WallPanelWoodCorner_B	Piezas angulares individuales para paneles de pared que se usan para crear áreas separadas sin tener que quitar los azulejos.
buildtoolbar_popup_obj_WallPanelStoneCorner_B	Piezas angulares individuales para paneles de pared que se usan para crear áreas separadas sin tener que quitar los azulejos.
buildtoolbar_popup_obj_ShopCounter	Un mostrador para transacciones comerciales que no requiere de una pared para colocarlo.
room_Restaurant	Restaurante
room_Bakery	Pastelería
room_TherapyRoom	Sala de reuniones
d11_restaurant_work	Restaurante
d11_restaurant_work_desc	Asigna reclusos a trabajar en uno de nuestros restaurantes para cocinar y servir a clientes civiles. Ten en cuenta que deben tener experiencia en la cocina o en atención al cliente.
d11_bakery_work	Pastelería
d11_bakery_work_desc	Asigna reclusos a trabajar en una de nuestras pastelerías para hornear productos para clientes civiles. Ten en cuenta que deben tener experiencia en la cocina o en atención al cliente.
buildtoolbar_popup_room_TherapyRoom	Un "espacio seguro" para sesiones de terapia con animales y debates con exreclusos.
buildtoolbar_popup_room_Restaurant	Los reclusos con experiencia en la cocina o en atención al cliente pueden preparar y servir comida a los clientes civiles.
buildtoolbar_popup_room_Bakery	Los reclusos con experiencia en la cocina o en atención al cliente pueden hornear pan y tartas para vendérselos a los clientes civiles.
quickbuild_Therapy	Sala de reuniones
quickbuild_Restaurant	Restaurante
quickbuild_Bakery	Pastelería
quickbuild_Reception	Recepción
reformprogram_AnimalTherapy	Terapia con animales
reformprogram_AnimalTherapy_text	Los reclusos a menudo tienen problemas para controlar su ira u otros pensamientos negativos. A través de estas sesiones y de los vínculos que forman en ellas, se espera que los reclusos aprendan a mantener la calma y desescalar en cualquier situación antes de que se torne violenta.
reformProgram_ConflictResolution	Resolución de conflictos
reformProgram_ReformedPrisonerConsultation	Consulta de presos rehabilitados
reformProgram_ReformedPrisonerConsultation_text	El objetivo de este programa es modificar la mentalidad de los presos actuales al escuchar a un exconvicto reformado hablar de sus experiencias y su nueva vida.
reformProgram_juvenilecorrection	Programa de tres faltas
reformProgram_juvenilecorrection_text	Permitir que los reclusos y los "delincuentes civiles" interactúen entre sí debería tener un efecto positivo en ambos, siempre y cuando los reclusos hayan pasado por una formación o tengan el nivel adecuado de experiencia en atención al cliente para interactuar con estos delincuentes.
reformProgram_socialtraining	Formación de tres faltas
reformProgram_socialtraining_text	Permitir que los reclusos interactúen con civiles con los que no tienen ninguna relación puede resultar preocupante para muchos. Este programa sirve para enseñar qué acciones están bien y cuáles no, mientras aumenta la experiencia en atención al cliente de los reclusos.
reformProgram_RehabilitatedPrisoner_text	Tras su reforma, esta persona es ahora un ciudadano modelo y, más allá de su carrera profesional, se ha prometido a sí mismo emplear el tiempo que pueda en ayudar a otros pasando por ese proceso de reforma, como consultor de prisión.
reformProgram_Occupation	Lugar de trabajo:
report_Sentences	Ajustes de condena
sentences_tooltip_onOff	Marca esta opción para DES/ACTIVAR los ajustes de condena.
sentences_tooltip_resetCriteria	Reinicia los criterios de ajuste a los originalmente propuestos por la prisión.
sentences_tooltip_extensionValue	Elige la cantidad de tiempo en que se extenderá la sentencia de un recluso una vez este cumpla los requisitos para ello.
sentences_tooltip_reductionValue	Elige la cantidad de tiempo en que se reducirá la sentencia de un recluso una vez este cumpla los requisitos para ello.
sentences_description	Establece los criterios para ajustar la condena de un recluso, ya sea reducción por buen comportamiento o extensión por mal comportamiento.\nPuede llevarse a cabo una reducción y una extensión de condena en una misma semana, pero ambas conllevan un período de espera de 7 días.
sentences_unavailable	N/A
reduction_caption	Valor de reducción
extension_caption	Valor de extensión
adjustment_criteria	Criterios de ajuste
goodBehaviour_DaysInLabour	Días de trabajo
goodBehaviour_LoweredRate	Índice de reincidencia disminuido
sentences_resetCriteria	Reiniciar criterios
misconduct_tooltip_InjuredStaff	Los reclusos podrán optar a extensiones en la sentencia si han atacado a cualquier miembro del personal el número especificado de veces.
misconduct_tooltip_InjuredPrisoner	Los reclusos podrán optar a extensiones en la sentencia si han atacado a otros reclusos el número especificado de veces.
misconduct_tooltip_SeriousInjury	Los reclusos podrán optar a extensiones en la sentencia si han provocado lesiones graves el número especificado de veces.
misconduct_tooltip_Murder	Los reclusos podrán optar a extensiones en la sentencia si han cometido asesinatos dentro de la prisión el número especificado de veces.
misconduct_tooltip_EscapeAttempt	Los reclusos podrán optar a extensiones en la sentencia si han intentado escapar de la prisión el número especificado de veces.
goodBehaviour_tooltip_NoIncident	Los reclusos podrán optar a reducciones en la sentencia si no se ha informado de incidentes en los que estén implicados durante el número de días especificado.
goodBehaviour_tooltip_ProgramsPassed	Los reclusos podrán optar a reducciones en la sentencia si han aprobado un número específico de programas.
goodBehaviour_tooltip_DaysInLabour	Los reclusos podrán optar a reducciones en la sentencia si han participado consecutivamente en trabajos de la prisión durante el número de días especificado.
goodBehaviour_tooltip_LoweredRate	Los reclusos podrán optar a reducciones en la sentencia si su índice de reincidencia ha disminuido por debajo del valor especificado.
sentences_tooltip_criteriaMet	Ajusta este valor para decidir cuántos criterios debe cumplir un preso para optar a un ajuste de sentencia.
work_and_education	Trabajo y formación
d11_work_experience	Experiencia de trabajo
experience_WorkCook	Experiencia de cocina
experience_WorkCleaner	Experiencia de limpieza
experience_WorkCraftsman	Experiencia de artesano
experience_WorkLabourer	Experiencia de trabajo
experience_WorkRCS	Experiencia en atención al cliente
experience_WorkReform	Completar este programa aumentará en un 50 % la experiencia de trabajo del recluso en el campo *X.
experience_WorkCook_desc	Los reclusos que tengan un 50 % de experiencia en este campo pueden trabajar directamente en cocinas, restaurantes o pastelerías. Una experiencia más alta también aumenta su eficacia en trabajos relacionados.
experience_WorkCleaner_desc	Los prisioneros que ganen experiencia en este campo aumentarán su eficacia en trabajos relacionados con la limpieza.
experience_WorkCraftsman_desc	Los reclusos que tengan un 50 % de experiencia en este campo pueden trabajar directamente en el taller. Una mayor experiencia también aumenta su eficacia.
experience_WorkLabourer_desc	Los prisioneros que ganen experiencia en este campo aumentarán su eficacia en trabajos manuales.
experience_WorkRCS_desc	Los reclusos que tengan un 50 % de experiencia en este campo pueden participar directamente en el programa de tres faltas y en servicios. Una mayor experiencia también aumenta su eficacia en trabajos relacionados con la atención al cliente.
d11_cleaner	Limpiador
d11_craftsman	Artesano
d11_labourer	Trabajador
d11_RACS	Atención al cliente
experiencefactor_FactorWorkExperience	Tiene un *X % de experiencia entre todas las habilidades
d11_reform_average_reoffending_rate_x_days	% (-*X Días) de reincidencia medio
d11_reform_average_punishment_grade	Grado de castigo medio
d11_reform_average_health_grade	Grado de salud medio
d11_reform_average_security_grade	Grado de seguridad medio
d11_reform_average_exp_grade	Grado de experiencia de trabajo medio
d11_reform_average_reform_grade	Grado de reforma medio
d11_reform_progrom_live	Programas de reforma en vivo
d11_reform_program_places	Plazas del programa de reforma
d11_reform_program_attendance	Asistencia al programa de reforma
d11_reform_program_pass_rate	Tasa de aprobados del programa de reforma
d11_reform_released_prisoners_design_info	Cuando un recluso es liberado de tu prisión, se te notificará de sus acciones posteriores, dependiendo de si reinciden o si han sido reformados y encontrado un trabajo. Se multará o recompensará a tu prisión respectivamente.
d11_reform_prisoners_action_reformed	¡REFORMADO!
d11_reform_prisoners_action_reoffended	¡REINCIDENTE!
d11_reform_prisoners_action_reoffended_returned	*X ha vuelto a tu prisión.
d11_reform_prisoners_outcome_reformed	Trabajo encontrado en el pueblo: *X.
d11_reform_prisoners_outcome_reoffended	Han sido arrestados y volverán a la prisión.
d11_reform_prisoners_outcome_reoffended_returned	Ten cuidado, ya que los reclusos se vuelven más peligrosos con periodos más largos.
d11_reform_reformed_prisoner_rewards	Recompensas por reclusos reformados (ayer)
d11_reform_reformed_reoffending_prisoner_fines	Multas por reclusos reincidentes (ayer)
d11_reform_reoffending_stats_title	Estadísticas % de reincidencia
d11_reform_initial_reoffending_chance	% inicial de reincidencia:
d11_reform_current_reoffending_chance	% de reincidencia actual:
d11_reform_reoffending_chance_delta	Cambio de % de reincidencia:
d11_reform_job_outcome_cook	Restaurante
d11_reform_job_outcome_cleaner	Agencia de limpieza
d11_reform_job_outcome_craftsman	Fábrica
d11_reform_job_outcome_labourer	Empresa de construcción
d11_reform_job_outcome_RAC	Centro comercial
d11_reform_job_outcome_default	Oficina de correos
d11_reform_required_reoffending_rate_title	% de límite de libertad condicional:
d11_reform_no_prisoners_found	¡No se han encontrado reclusos!
d11_all_prisoner_wages	Todos los sueldos de los presos
d11_report_policy_wage_hint	Los salarios más altos motivan a los presos a participar en el trabajo de la prisión y en programas relacionados con el mismo.
d11_wage	Salario
