# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	전체 변경 로그

Achievement18_description	일반 난이도의 Prison Architect 모드에서 기본 게임의 업무결재시스템 아이템을 모두 잠금 해제
Achievement20_description	일반 난이도의 Prison Architect 모드에서 하나의 교도소에서 이용할 수 있는 기본 게임의 모든 보조금을 완료

warden_wardenfarmer_name	식물학자
warden_wardenfarmer_desc	농산업에서 방대한 경험을 쌓은 사람으로서, 식물학자는 교도소 농업에 굉장히 긍정적인 영향을 줍니다. 각 작물의 출하가격 및 작물에서 종자가 나올 확률, 그리고 재배 중인 작물이 시들 때까지 걸리는 시간, 수확한 요리재료가 상할 때까지 걸리는 시간을 증가시킵니다.
warden_wardenfarmer_desc_short	모든 교도소 재배 농산물의 출하가격이 두 배로 증가합니다.

warden_wardengreenpower_name	생태학자
warden_wardengreenpower_desc	친환경 에너지 산업에서 방대한 경험을 쌓은 사람으로서, 생태학자는 친환경 동력원에 굉장히 긍정적인 영향을 줍니다. 모든 친환경 동력원의 전력 출력을 증가시키고, 출하하는 전력 및 재활용의 가격을 두 배로 증가시킵니다.
warden_wardengreenpower_desc_short	모든 친환경 동력원의 전력 출력이 3분의 1 증가합니다.





buildtoolbar_popup_help_farmer_1	농부들은 작물을 심고 수확하는 것부터 필요한 물건을 적절한 헛간에 저장하는 것까지, 농장과 관련된 대부분의 작업을 다룰 것입니다.\n\n
buildtoolbar_popup_help_farmer_2	^팁
buildtoolbar_popup_help_farmer_3	- 농부가 처리하는 대부분의 작업은 교도소 밖으로 나가야 하는 작업을 제외하면 재소자도 처리할 수 있습니다.
buildtoolbar_popup_help_farmer_4	- 작물에 물 주기 및 수확하기 등, 일부 작업은 새로운 물품을 이용해 자동화할 수 있습니다.

finances_other	기타 거래

interfacetopbar_tension_activeeliteops	+ *X명의 엘리트 요원 현장 배치
interfacetopbar_budget_othermoneyin	기타 수입: $*M / 하루
interfacetopbar_budget_othermoneyout	기타 지출: $*M / 하루



d11_manageCropsInstructions	비율을 클릭하여 잠그고 다른 방에서 양을 변경하는 것을 막을 수 있습니다. 그렇지 않으면 화살표 버튼을 사용하여 연결된 모든 방에서 작물당 전체 양을 100%로 제한한 비율을 변경합니다.

objective_HelpEnvironmentallyFriendly_child_1	재활용
objective_HelpEnvironmentallyFriendly_child_1_description	재활용 시스템을 통해 쓰레기를 치우는 새로운 환경친화적인 방법이 도입되었습니다. 재활용 쓰레기통을 구매하고 업무결재시스템에서 "재활용 장려" 업무를 연구하면, 모든 쓰레기가 그냥 버려지는 대신 재활용되어 가방 하나당 $10의 보상을 받을 수 있습니다.
d11_tooltip_HelpEnvironmentallyFriendly_child_1_SectionTitle	'선택' 시 강조 표시된 주제에 관한 연관 정보가 표시됩니다.
objective_HelpEnvironmentallyFriendly_child_2	원예
objective_HelpEnvironmentallyFriendly_child_2_description	업무결재시스템에서 "정원관리" 업무를 연구하면, 재소자들이 새로운 화원 방에서 식물을 돌볼 수 있습니다. 꽃은 작물처럼 수확하거나 출하할 수 없지만, 교도소의 미관을 개선할 뿐 아니라 꽃을 돌보는 재소자가 진정할 수 있도록 도와줍니다.
d11_tooltip_HelpEnvironmentallyFriendly_child_2_SectionTitle	'선택' 시 강조 표시된 주제에 관한 연관 정보가 표시됩니다.
equipment_WateringCan	물뿌리개
d11_Crop_Placement_Error_01	작물은 각 특성에 따라 정해진 농장에서만 기를 수 있습니다.
d11_Crop_Placement_Error_02	작물은 오직 흙, 진흙, 잔디, 잔디 모서리, 꽃 바닥에서만 기를 수 있습니다.
interfacemode_objectPack_filter_all	모든 팩
d11_staffalert_summary_BasicFarming01	농장은 채소, 과일나무, 곡식을 각각 심을 수 있게 해줍니다. 이러한 작물은 출하품으로 판매하거나 재소자 식사에 사용할 수 있습니다.
d11_staffalert_summary_BasicFarming02	농부는 농업과 관련된 모든 작업을 다룹니다. 또한, 재소자들에게 이러한 작업을 어떻게 수행하는지 가르치는 데도 필요합니다.
oobjective_HelpEnvironmentallyFriendly	다른 작물과는 다르게 과일나무는 계속해서 과일을 생산합니다. 이런 이유로 과일나무는 수확이 끝날 때마다 다시 심을 필요가 없습니다.
d11_staffalert_summary_AdvancedFarming01	채소와 곡식 작물은 기본적으로 수확이 끝날 때마다 자동으로 다시 구매되고 심어집니다.
d11_staffalert_summary_AdvancedFarming02	작물 분배를 통해 수확이 끝난 교도소 재배 작물을 어느 곳으로 옮길지 조정할 수 있습니다.
d11_staffalert_summary_AdvancedFarming03	비료는 농장의 모든 구역에 사용할 수 있으며 작물 성장에 도움을 줍니다.
d11_staffalert_summary_GreenEnergy01	모든 친환경 동력원은 에너지를 사용하려면 사용 전에 변압기에 연결해야 합니다.
d11_staffalert_summary_GreenEnergy02	친환경 에너지를 사용하고 배터리를 충전하려면 변압기가 필요합니다.
d11_staffalert_summary_GreenEnergy03	전력 출하 계량기는 재정적인 보상을 대가로 미사용한 전력을 지역 전력망으로 보낼 때 사용됩니다.
d11_staffalert_title_BasicFarming01	농업 시스템
d11_staffalert_title_BasicFarming02	농부
d11_staffalert_title_BasicFarming03	과일나무
d11_staffalert_title_AdvancedFarming01	자동 작물 심기
d11_staffalert_title_AdvancedFarming02	작물 분배
d11_staffalert_title_AdvancedFarming03	비료 시스템
d11_staffalert_title_GreenEnergy01	친환경 에너지 생산
d11_staffalert_title_GreenEnergy02	친환경 에너지 전환
d11_staffalert_title_GreenEnergy03	저장 전력 출하
d11_staffalert_details_BasicFarming01	각 농장은 실외에 설치되어야 하며 농장 안에 반드시 헛간이 있어야 합니다.
d11_staffalert_details_BasicFarming02	농부는 농업 훈련 프로그램에서 재소자를 가르치는 선생님으로 일합니다.
d11_staffalert_details_BasicFarming03	과일나무는 가격이 비싸고 성장 시간이 오래 걸리지만, 다른 종류의 작물보다 수확량이 많습니다.
d11_staffalert_details_AdvancedFarming01	자동 심기 옵션은 정책 메뉴에서 켜거나 끌 수 있습니다.
d11_staffalert_details_AdvancedFarming02	해당 옵션은 잠금 해제한 후 물류 메뉴에서 찾을 수 있습니다.
d11_staffalert_details_AdvancedFarming03	농업을 연구하면 퇴비 통과 두 종류의 퇴비가 잠금 해제됩니다.
d11_staffalert_details_GreenEnergy01	친환경 에너지는 반드시 변압기 양쪽에 표시되는 화살표 방향에 맞춰 흘러야 합니다.
d11_staffalert_details_GreenEnergy02	축전기와 발전기처럼, 배터리도 오직 변압기 근처에만 설치할 수 있습니다.
d11_staffalert_details_GreenEnergy03	전력 출하 계량기는 반드시 배터리가 달린 변압기에 연결되어야만 정상적으로 작동됩니다.
d11_staffalert_hint_BasicFarming01	채소와 과일과는 다르게, 곡식은 오직 출하품으로 판매만 가능합니다.
d11_staffalert_hint_BasicFarming02	농부들은 자신들의 농업 구역 내에 있는 모든 원예 작업도 수행합니다.
d11_staffalert_hint_BasicFarming03	과일나무는 대량으로 재배했을 때 가장 효율적인 식량 공급을 자랑합니다.
d11_staffalert_hint_AdvancedFarming01	해당 행동은 조림지와 일치합니다.
d11_staffalert_hint_AdvancedFarming02	식량 재배, 활용 및 저장과 관련된 방은 각자 서로 연결하여 요리재료 분배를 세세하게 관리할 수 있습니다.
d11_staffalert_hint_AdvancedFarming03	퇴비 통은 무료로 음식 및 식물 폐기물을 다른 물질과 함께 퇴비 비료로 만듭니다.
d11_staffalert_hint_GreenEnergy01	만약 변압기를 거치지 않은 친환경 에너지가 가전제품이 직접 연결되면 정전이 발생합니다.
d11_staffalert_hint_GreenEnergy02	배터리는 비상 상황 혹은 전력 출하를 위해 사용하지 않은 전력을 저장합니다.
d11_staffalert_hint_GreenEnergy03	변압기와 연결되었다면 발전기를 포함한 모든 동력원으로 배터리를 충전할 수 있습니다.
d11_staffalert_tooltip_BasicFarming01	[[*X]] 열기
d11_staffalert_tooltip_BasicFarming02	[[*X]] 직원 고용 열기
d11_staffalert_tooltip_BasicFarming03	[[*X]] 물품 열기
d11_staffalert_tooltip_AdvancedFarming01	[[*X]] 정책 열기
d11_staffalert_tooltip_AdvancedFarming02	[[*X]] 물류 열기
d11_staffalert_tooltip_AdvancedFarming03	[[*X]] 물품 열기
d11_staffalert_tooltip_GreenEnergy01	[[*X]] 공공시설/전기 열기
d11_staffalert_tooltip_GreenEnergy02	[[*X]] 공공시설/전기 열기
d11_staffalert_tooltip_GreenEnergy03	[[*X]] 배선 열기
d11_construction_hints_HayBailWall	키가 크지만 약한 건초 더미. 강력한 보안 능력보다는 세밀한 느낌을 더해줍니다.
d11_construction_hints_WoodenFence	수제 나무 울타리. 좀 더 자연스러운 느낌을 줍니다.
d11_construction_hints_GardenWall	교도소 경계선에 약간의 생기와 색깔을 더해줍니다.
buildtoolbar_popup_obj_TopiaryBushBall	공 모양의 장식용 덤불.
buildtoolbar_popup_obj_SellUtility_01	설치된 전기 케이블을 구매가의 85% 가격으로 판매하는 수동 판매 방식.
buildtoolbar_popup_obj_SellUtility_02	설치된 배수관을 구매가의 85% 가격으로 판매하는 수동 판매 방식.
buildtoolbar_popup_obj_SellObject	출하품, 식료품, 미사용 및 철거된 물품을 구매가의 85% 가격으로 판매하는 수동 판매 방식.
buildtoolbar_popup_obj_SellMaterial	케이블 및 벽돌과 같은 여분의 건축 자재를 구매가의 85% 가격에 판매합니다.
buildtoolbar_popup_obj_SellFlooring	더 이상 필요하지 않은 바닥재를 구매가의 85% 가격에 판매합니다.
d11_meal_quantity_description	1부터 3까지 각 재소자의 식사에 소비하는 요리재료의 개수를 조정합니다. 사용하는 요리재료의 개수가 많을수록 재소자의 음식 욕구가 많이 채워집니다. 또한, 현재의 음식 공급 상황에 기반하여 배달되는 요리재료의 개수 또한 증가합니다.
d11_meal_variety_description	"이 옵션은 식자재 배달 시 교도소로 보내는 요리재료의 가짓수를 조절합니다. 이 옵션을 조절해도 주문하는 요리재료의 개수에는 영향을 주지 않으며, 오직 재소자에게 식사가 미치는 효과에만 영향을 줍니다.	"
d11_meal_system_description	교도소의 식량 시스템은 식사 옵션(다양성과 배식량), 현재 재소자 인원수, 하루당 끼니 수, 그리고 요리재료 저장량이라는 4가지 요인에 기반을 두고 있습니다. 배달 요리재료와 비교했을 때 교도소에서 직접 기른 작물 섭취 시 추가적인 욕구 부스트를 얻고, 재소자가 "건강" 상태가 되기도 합니다.
d11_IngredientRatio_hint	창고에 있는 요리재료 두 종류의 현재 개수를 표시합니다.
d11_meal_ingredients_count_per_meal_hint	재소자 현재 인원에게 제공하기 위해 식사 한 끼에 필요한 요리재료의 개수. (선택한 식사 옵션에 따름)
d11_meal_ingredients_count_per_day_hint	재소자 현재 인원에게 제공하기 위해 오늘 필요한 요리재료의 개수 총합. (선택한 식사 옵션에 따름)
d11_crops_per_day_hint	지난 24시간 이내 구매한 작물의 수.
d11_imported_ingredients_cost_hint	지난 24시간 이내 구매 및 배달받은 모든 요리
delivered	재료의 총금액
d11_crop_cost_hint	지난 24시간 이내 구매한 작물의 총금액
d11_meal_cost_per_meal_hint	재소자 한 명당 소요되는 평균 식사 비용. 선택한 식사 옵션과 특혜를 참조합니다.
d11_meal_cost_total_hint	모든 재소자에게 음식을 제공하는 데 소요되는 총비용. 식사 옵션과 현재 재소자 인구수를 참조합니다.
d11_meal_estimated_price_hint	모든 재소자에게 음식을 제공하는 데 소요되는 총 예상 금액. 이 수치는 종자 획득, 작물 성장 시간, 변화하는 작물 수확량 등의 외부
including	요소로 인해 예상 금액만 산정할 수 있습니다.
d11_GreenPower_Locked	해당 동력원은 보조금 메뉴의 친환경 에너지 목표를 통해 잠금 해제됩니다.
d11_powerstation_overloaded_Raw_power	과부하. 변압기를 거치치 않은 친환경 에너지는 가전제품에 직접 연결할 수 없습니다.
D11_PowerExport_Error	여분의 전력을 출하하려면 배선을 통해 변압기에 연결합니다.
d11_powerexportmeter_powertosell	출하 가능: $*X
d11_PowerExport_PowerCap	출하 제한: [*X]
buildtoolbar_popup_uts_Transformer	친환경 동력원에서 생산된 전력을 화살표 방향에 따라 흐르게 해 가전제품에 사용할 수 있도록 변환합니다. 변압기와 연결된 친환경 동력원 및 발전기에서 생산되는 여분의 전력으로 인접한 배터리를 충전할 수 있지만, 변압기의 입력 한계는 5000유닛입니다.
buildtoolbar_popup_uts_PowerExportMeter	저장한 에너지를 전력망으로 내보내 재정적인 수입을 얻을 수 있게 해줍니다. 반드시 배선을 통해 배터리가 있는 변압기에 연결해야 정상적으로 작동합니다.
d11_continuous_fertilizer_tooltip	비료 자동 구매 여부와 비료의 품질을 선택하세요.
d11_crop_types_tooltip	자동으로 구매하는 작물의 유형이 천연인지 유전자 변형인지 선택하세요. GM 작물은 성장 시간이 50% 짧지만, 같은 양 판매 대비 출하가격이 낮아지고 재소자가 먹었을 때 욕구 부스트를 받지 못합니다.
d11_farm_search_freq_tooltip	농장은 전면수색에 포함되지 않으므로 이 옵션을 이용하여 농장을 정기적으로 수색할지 여부를 결정하세요.
d11_farm_search_target_tooltip	농장은 전면수색에 포함되지 않으므로 이 옵션을 이용하여 수색 빈도 옵션을 통해 수색될 아이템과 독립 개체를 결정하세요.
d11_continuous_planting_tooltip	조림지에서 사용되는 것과 비슷하게, 해당 옵션은 수확 후 같은 작물을 다시 심는 작업을 자동화합니다.
d11_researchhint_l_farming	이 연구는 여러 가지 농업 기능을 잠금 해제합니다. 잠금 해제되는 기능에는 교도소 노역 작업과 작물 분배를 비롯하여 자동화 농업 아이템, 더 비싼 작물, 퇴비 통 및 비료 아이템, 식품 저장실과 키 큰 냉장고 등이 포함됩니다.
object_quickconnect	빠른 연결
objective_GoingGreenInfo_child_1	‘Going Green(고잉 그린)’의 주요 특징은 아래와 같습니다. 제목 위에 커서를 가져가면 각 기능의 설명이 표시됩니다.
d11_cropDistributionHint	오른쪽 버튼 클릭: 분배 관리
d11_manageCropsInstructions	비율을 클릭하여 잠그고 다른 방에서 양을 변경하는 것을 막을 수 있습니다. 그렇지 않으면 화살표 버튼을 사용하여 연결된 모든 방에서 작물당 전체 양을 100%로 제한한 비율을 변경합니다.
dlc_name_seaAirLand	섬에 갇혀
dlc_name_greenMachine	Going Green(고잉 그린)
interfacemode_objectType_filter_requiresWater	배관 작업
interfacemode_objectType_filter_requiresElectricity	전자 장치
interfacemode_objectType_filter_entertainment	재미
interfacemode_objectType_filter_rest	휴식
interfacemode_objectType_filter_exercise	운동
interfacemode_objectType_filter_decoration	장식
interfacemode_objectType_filter_foliage	나뭇잎
interfacemode_objectType_filter_signs	표지판
interfacemode_objectType_filter_security	보안
interfacemode_objectType_filter_catering	출장 요리
interfacemode_objectType_filter_misc	기타
material_SellFlooring	바닥 판매
object_AdvancedAutoGatherer	고급 자동 수집기
object_farmer	농부
object_OrganicWaste	유기성 폐기물
object_CompostBin	퇴비 통
object_DumpObject	물품 버리기
room_flowergarden	화원
buildtoolbar_popup_room_Pantry	직접 기른 신선한 과일과 채소를 모두 저장할 수 있는 방입니다. 교도소에서 기른 요리재료를 보관할 수 있도록 온도를 낮게 유지하고 있습니다.
buildtoolbar_popup_obj_Shed	종자, 도구, 그 외 농업용 물건을 모두 보관할 수 있는 공간입니다. 기본적인 관개가 가능하도록 수도꼭지가 함께 있습니다.
buildtoolbar_popup_obj_AdvancedAutoGatherer	6시간마다 가동되어 10x10 구역 내의 모든 요리재료를 모아 저장합니다.
buildtoolbar_popup_obj_CompostBin	음식과 유기 폐기물이 유용한 비료로 재탄생합니다.
buildtoolbar_popup_obj_PinkFlamingo	발랄하고 고전적인 정원용 장식.
buildtoolbar_popup_obj_BowtieBandit	아주 말쑥한 친구입니다.
buildtoolbar_popup_obj_Shepherd	어쩌면 이렇게 똑똑하지?!
buildtoolbar_popup_obj_DumpObject	교도소 내의 물건을 버립니다.
buildtoolbar_popup_uts_quickconnect	감시 또는 자동화 시스템을 가장 가까운 수취인 물품에 연결하세요.
contraband_Ingredient	술 재료
contraband_Kicker	술 키커
contraband_StashLocation	숨기는 위치
d11_crop_types_caption	작물 유형
d11_farm_search_freq_option_3days	3일마다
d11_farm_search_freq_option_5days	5일마다
d11_farm_search_target_option_crops	작물만
d11_farm_search_target_option_labourers	재소자 노역수
d11_crop_type_option_natural	천연 작물
d11_crop_type_option_GMO	GM 작물
Ingredients_UsageCaption	비율
researchtooltip_farming	고급 농업 기술 및 장비, 비싼 작물 등을 잠금 해제합니다.
buildtoolbar_quickbuild_flowerGarden	재소자를 위한 평화로운 휴식 공간입니다.
buildtoolbar_quickbuild_grove	대지에 생기를 불어 넣기 위해 심은 여러 그루의 나무입니다.
buildtoolbar_quickbuild_hedgeMaze	재소자가 탐험할 수 있도록 산울타리를 이용해 만든 기본적인 미로입니다.
buildtoolbar_quickbuild_yard	재소자가 필요한 모든 것이 있는 표준 운동장입니다.
objective_target_ExportPower1	친환경 에너지 목표 3
objective_target_ExportPower1_description	전력 출하 제한이 1000유닛으로 증가합니다.
objective_target_ExportPower1_task	전력 1000유닛 출하하기.
objective_target_ExportPower1_reward	친환경 에너지 목표 3 완료.
objective_target_ExportPower1_reward_text	전력 출하 제한 1000유닛으로 증가됨
objective_target_ExportPower2	친환경 에너지 목표 4
objective_target_ExportPower2_description	전력 출하 제한이 2500유닛으로 증가합니다.
objective_target_ExportPower2_task	전력 2500유닛 출하하기.
objective_target_ExportPower2_reward	친환경 에너지 목표 4 완료.
objective_target_ExportPower2_reward_text	전력 출하 제한 2500유닛으로 증가됨
objective_target_ExportPower3	친환경 에너지 목표 5
objective_target_ExportPower3_description	전력 출하 제한이 5000유닛으로 증가합니다.
objective_target_ExportPower3_task	전력 5000유닛 출하하기.
objective_target_ExportPower3_reward	친환경 에너지 목표 5 완료.
objective_target_ExportPower3_reward_text	전력 출하 제한 5000유닛으로 증가됨
interface_title_targets	친환경 에너지 목표
GrantHeaderButton_0	보조금
GrantHeaderButton_0_description	교도소와 관련된 보조금을 수락하고 완료해 재정적 보상금을 받으세요.
GrantHeaderButton_1	친환경 에너지 목표
GrantHeaderButton_1_description	친환경 에너지와 관련된 특정 목표를 완료해 다양한 보상을 받으세요.
objective_HelpGreenEnergy_child_3_description	처리되지 않은 친환경 에너지의 특성 때문에 각 새로운 동력원은 전자제품에 사용하기 전에 반드시 전기 케이블을 통해 변압기와 연결되어야 합니다. \n\n변압기는 처리되지 않은 친환경 에너지를 사용 가능한 형태의 에너지로 바꿔줄 뿐만 아니라, 인접한 배터리를 충전하기도 합니다. \n\n배터리에 저장된 에너지는 비상 전력으로 사용하거나 전력 출하 계량기를 통해 출하할 수 있습니다.
objective_HelpGreenEnergy_child_5_description	보조금 메뉴에서 다수의 친환경 에너지 목표를 찾을 수 있습니다. 이 목표들은 완료하면 다음과 같은 보상을 얻을 수 있습니다. \n\n- 전력 출하 일일 제한량 증가 \n- 추가 동력원 잠금 해제 \n- 구매한 친환경 동력원의 성능 향상.
objective_HelpNarcoticProduction_child_2_description	반면, 마약 생산은 농경지 한 곳에서만 가능합니다. 재소자들은 심어져 있는 작물에 재배할 수 있는 마약을 숨겨 위장을 시도할 것입니다. \n\n이 위장된 식물은 냄새 특성이 있기 때문에 경비견이 탐지할 수 있지만, 이 구역은 전면수색 구역에 포함되지 않으므로 수동 수색 명령을 내려야 합니다. 수색 시에는 작물이 피해를 입을 확률이 있습니다. \n\n알맞은 재소자가 위장된 작물을 수확하면 마약 또한 함께 회수될 것입니다. \n\n갱단 또한 마약 생산을 확실히 자신들의 통제 하에 두기 위해 농경지를 점령할 수도 있습니다.
objectiveWindow_FilterButton_0_title	작업들
objectiveWindow_FilterButton_1_title	Going Green(고잉 그린)
objectiveWindow_FilterButton_0_tooltip	진행 중인 작업들
objectiveWindow_FilterButton_1_tooltip	Going Green(고잉 그린)의 주요 특성을 설명하는 정보 모음
escapemode_info_board	연락선 승선
reports_ingredients_usageTitle	신선 / 배달 요리재료 사용 비율
objective_HelpEnvironmentallyFriendly	환경친화


##----------Staff Alerts------------------
d11_staffalert_title_MONEY01	교도소의 자금이 바닥나고 있습니다.
d11_staffalert_title_PRISONERS02	교도관이 수적으로 열세입니다.
d11_staffalert_title_CONTRABAND03	상당한 양의 밀반입품이 발견되었습니다.
d11_staffalert_title_CONTRABAND02	교도소 내 약물 공급량이 위험한 수준입니다.
d11_staffalert_title_CONTRABAND01	교도소 내 도구 및 무기 공급량이 위험한 수준입니다.
d11_staffalert_title_NEEDS04	너무 많은 재소자가 굶주림을 호소합니다.
d11_staffalert_title_NEEDS03	너무 많은 재소자가 수면 부족을 호소합니다.
d11_staffalert_title_NEEDS01	너무 많은 재소자가 화장실 부족을 호소합니다.
d11_staffalert_title_NEEDS02	너무 많은 재소자가 화장실 부족을 호소합니다.
d11_staffalert_title_NEEDS08	재소자들이 청결하지 않습니다.
d11_staffalert_title_OBJECTS04	교도소에 문 통제시스템이 없습니다.
d11_staffalert_title_ROOMS01	교도소의 방이 필요한 조건을 충족하지 못합니다.
d11_staffalert_title_INFORMANTS01	정보원이 심각한 위험에 처해 있습니다.
d11_staffalert_title_HOLDINGCELL01	너무 많은 재소자가 유치장에 수감되어 있습니다.
d11_staffalert_title_NEEDS06	교도소 청소가 매우 시급합니다.
d11_staffalert_title_NEEDS14	재소자들은 깨끗한 옷이 필요합니다.
d11_staffalert_title_NEEDS13	재소자들은 마음을 진정시킬 자유시간이 필요합니다.
d11_staffalert_title_NEEDS09	재소자들은 운동이 필요합니다.
d11_staffalert_title_NEEDS10	재소자들이 너무 지루해 미칠 지경입니다.
d11_staffalert_title_NEEDS11	재소자들은 자유 시간에 앉을 곳이 필요합니다.
d11_staffalert_title_POWER01	교도소에 전기가 들어오지 않습니다.
d11_staffalert_title_WATER01	교도소에 수돗물이 나오지 않습니다.
d11_staffalert_title_CELLS01	교도소가 수용 능력의 최대치로 운영되고 있지 않습니다.
d11_staffalert_title_OBJECTS03	교도소에 통합 CCTV 시스템이 없습니다.
d11_staffalert_title_OBJECTS01	교도소 내 화재를 진압할 준비가 되어 있지 않습니다.
d11_staffalert_title_POWER02	발전기 중 하나가 과부하 됐습니다.
d11_staffalert_title_DEATHROW01	사형수 시설 추가를 고려해 보세요.
d11_staffalert_title_STAFF01	다수의 직원이 탈진했습니다.
d11_staffalert_title_NEEDS12	재소자들이 사생활을 원합니다.
d11_staffalert_title_NEEDS19	재소자들이 기초적인 읽고 쓰는 능력이 부족합니다.
d11_staffalert_title_NEEDS05	가족을 그리워하는 재소자의 수가 상당히 위험한 수준입니다.
d11_staffalert_title_NEEDS07	재소자들이 이곳에서 안전하다고 느끼지 않습니다.
d11_staffalert_title_NEEDS15	교도소 내 마약 중독 수준을 통제하세요.
d11_staffalert_title_NEEDS16	교도소 내 알콜 중독 수준을 통제하세요.
d11_staffalert_title_NEEDS18	정신 수양은 재소자를 진정시키는 효과가 있습니다.
d11_staffalert_title_PRISONERS03	감방 등급이 너무 낮습니다.
d11_staffalert_title_DOCTOR01	의무실에 일하는 사람이 없습니다.
d11_staffalert_title_OBJECTS02	폐기물을 효율적으로 처리하지 못하고 있습니다.
d11_staffalert_details_MONEY01	은행에 *A만 남았습니다.
d11_staffalert_details_PRISONERS02	재소자들이 교도관보다 수적으로 우세합니다 *A:*B.
d11_staffalert_details_CONTRABAND03	지난 7일간 밀반입품 *A개가 발견됐습니다.
d11_staffalert_details_CONTRABAND02	약물 공급량은 *A입니다.
d11_staffalert_details_CONTRABAND01a	무기 공급량은 *A입니다.
d11_staffalert_details_CONTRABAND01b	도구 공급량은 *A입니다.
d11_staffalert_details_NEEDS04a	*A명의 재소자가 심각하게 굶주렸습니다.
d11_staffalert_details_NEEDS04b	주방을 더 건설하세요.
d11_staffalert_details_NEEDS04c	요리사를 더 고용하세요.
d11_staffalert_details_NEEDS04d	시간표에 '식사 시간'을 더 추가하세요.
d11_staffalert_details_NEEDS03	*A명의 재소자가 극심한 수면 부족입니다.
d11_staffalert_details_NEEDS01	*A명의 재소자가 긴급히 화장실이 필요합니다.
d11_staffalert_details_NEEDS02	*A명의 재소자가 긴급히 화장실이 필요합니다.
d11_staffalert_details_NEEDS08	*A명의 재소자가 청결에 신경 써야 합니다.
d11_staffalert_details_OBJECTS04	문 통제시스템과 문 개폐기가 필요합니다.
d11_staffalert_details_ROOMS01	빨간색 느낌표 아이콘이 반짝이는 방을 확인해 필요한 조건을 전부 갖췄는지 확인하세요.
d11_staffalert_details_INFORMANTS01	재소자들이 *A이(가) 정보원이라고 강력하게 의심합니다.
d11_staffalert_details_HOLDINGCELL01	*A명의 재소자가 현재 배정된 감방이 없습니다.
d11_staffalert_details_NEEDS06a	청소부를 더 고용하세요.
d11_staffalert_details_NEEDS06b	청소도구실을 더 만드세요.
d11_staffalert_details_NEEDS06c	재소자들을 청소도구실에 배정해 일하게 하세요.
d11_staffalert_details_NEEDS14a	*A명의 재소자가 깨끗한 옷이 필요합니다.
d11_staffalert_details_NEEDS14b	세탁실을 건설하세요.
d11_staffalert_details_NEEDS14c	세탁기를 설치하세요.
d11_staffalert_details_NEEDS14d	세탁물 바구니를 설치하세요.
d11_staffalert_details_NEEDS13	*A명의 재소자가 자유 시간을 더 원합니다.
d11_staffalert_details_NEEDS09	*A명의 재소자가 건강에 신경 써야 합니다.
d11_staffalert_details_NEEDS10	*A명의 재소자가 마음을 진정시키기 위해 오락 활동이 필요합니다.
d11_staffalert_details_NEEDS11	*A명의 재소자가 자유 시간에 앉을 곳이 부족하다고 불만을 제기합니다.
d11_staffalert_details_POWER01	번개 표시 아이콘이 반짝이는 모든 물품을 발전기에 연결하세요.
d11_staffalert_details_WATER01	물방울 아이콘이 반짝이는 모든 물품을 급수기에 연결하세요.
d11_staffalert_details_CELLS01a	저위험도 재소자를 *A명 더 수용할 수 있습니다.
d11_staffalert_details_CELLS01b	중위험도 재소자를 *A명 더 수용할 수 있습니다.
d11_staffalert_details_CELLS01c	고위험도 재소자를 *A명 더 수용할 수 있습니다.
d11_staffalert_details_CELLS01d	초고위험도 재소자를 *A명 더 수용할 수 있습니다.
d11_staffalert_details_CELLS01e	사형수를 *A명 더 수용할 수 있습니다.
d11_staffalert_details_CELLS01f	보호감호 재소자를 *A명 더 수용할 수 있습니다.
d11_staffalert_details_OBJECTS03	CCTV 카메라가 더 필요합니다.
d11_staffalert_details_OBJECTS01	교도소에 살수 소화장치가 설치되어 있지 않습니다.
d11_staffalert_details_POWER02	교도소 내 발전기의 출력이 *A입니다.
d11_staffalert_details_DEATHROW01	교도소에 사형수 시설을 추가하면 높은 가치의 사형수 재소자를 수용할 수 있습니다.
d11_staffalert_details_STAFF01	현재 *A명의 직원이 탈진했습니다.
d11_staffalert_details_NEEDS12	*A명의 재소자가 혼자 있을 수 있는 장소를 원합니다.
d11_staffalert_details_NEEDS19	*A명의 재소자가 기초적인 읽고 쓰는 능력이 부족합니다.
d11_staffalert_details_NEEDS05	*A명의 재소자가 가족과의 연락을 절박하게 원합니다.
d11_staffalert_details_NEEDS07	*A명의 재소자가 생명의 위협을 느낍니다.
d11_staffalert_details_NEEDS15	*A명의 재소자가 마약에 중독됐습니다.
d11_staffalert_details_NEEDS16	*A명의 재소자가 음주 문제가 있습니다.
d11_staffalert_details_NEEDS18	*A명의 재소자가 정신 수양을 원합니다.
d11_staffalert_details_PRISONERS03	현재 *A명의 재소자가 혜택 자격에 맞지 않는 등급의 감방에 살고 있습니다.
d11_staffalert_details_DOCTOR01	다친 재소자와 교도관을 치료하기 위해 의사를 고용해야 합니다.
d11_staffalert_details_OBJECTS02	쓰레기통이 더 필요합니다.
d11_staffalert_hint_MONEY01	교도소의 자금이 바닥나고 있습니다. 재소자를 더 많이 수용하는 것은 어떨까요? 그렇게 하면 일일 수입이 증가하거나 새 보조금의 필요조건을 충족하여 한 번에 큰 액수의 현금을 받을 수 있습니다.
