# June27th Update
# =============================================================================

# Codex
# =============================================================================

codex_viewchangelog	Pełny Dziennik Zmian
d11_greenmachine_upsell_3	Uzyskaj dostęp do rolnictwa.
d11_greenmachine_upsell_4	Nowe mapy.
d11_greenmachine_feature	Wymaga instalacji dodatku „Zielono mi”.
d11_wow_greenmachine_info	Aby pobrać to więzienie, kup dodatek Zielono mi.

# =============================================================================
# Miscellaneous strings
# =============================================================================

d11_interaction_boardFerry	Prom
report_grants_reset_tt	Dostępna za:
status_effect_healthy	Zdrowe
status_effect_StatusSmelly	Nieprzyjemny zapach

finance_cost_recycling	Recykling

job_SellUtility	Sprzedaż przedmiotów
d11_hover_AllSwitchOn	Wszystko wł. [[*X]]
d11_hover_AllSwitchOff	Wszystko wył. [[*X]]
d11_expireIn	Wygasa za *X dni
d11_todo_title_goinggreen	Więcej o Zielono mi
d11_button_infoToDoList	Lista zadań
d11_button_infoGoingGreen	Zielono mi

Ingredients_UsageCaption	Ratio
Ingredients_UsageCaption_tooltip	Wybierz współczynnik składników używanych w posiłkach dla więźniów, ustalając ilość składników dostarczanych do więzienia i produkowanych na miejscu.

#Mising strings
d11_info_cash_in	Dzienne przychody:
d11_info_cash_out	Dzienne wydatki: [
d11_info_other_cash_in	Inne dzienne zyski
d11_info_other_cash_out	Inne dzienne wydatki:

reports_farmingpolicytitle	Polityki związane z rolnictwem
d11_report_policy_farming_croppolicies	Polityki związane z roślinami
d11_report_policy_farming_searchpolicies	Zasady związane z przeszukiwaniem pomieszczeń rolniczych
d11_crop_types_caption	Typ rośliny
d11_continuous_fertilizer_caption	Automatyczne nawożenie

d11_farm_search_freq_caption	Częstotliwość przeszukiwania
d11_farm_search_target_caption	Wyszukaj cel

d11_farm_search_freq_option_daily	Codzienne
d11_farm_search_freq_option_3days	Co 3 dni
d11_farm_search_freq_option_5days	Co 5 dni
d11_farm_search_freq_option_weekly	Co tydzień
d11_farm_search_target_option_everything	Wszystko
d11_farm_search_target_option_crops	Tylko rośliny
d11_farm_search_target_option_labourers	Więźniowie pracownicy
d11_crop_type_option_natural	Naturalne rośliny
d11_crop_type_option_GMO	Rośliny modyfikowane genetycznie

d11_continuous_fertilizer_tooltip	Wybierz jakość, ilość i sposób automatycznego zakupu nawozu.
d11_farm_search_freq_tooltip	Ponieważ pomieszczenia rolnicze nie podlegają kontroli, użyj tej opcji, aby zdecydować, czy regularnie przeszukiwać te pomieszczenia.
d11_farm_search_target_tooltip	Ponieważ pomieszczenia rolnicze nie podlegają kontroli, użyj tej opcji, aby zdecydować, jakie przedmioty i elementy są przeszukiwane, korzystając z opcji Częstotliwość przeszukiwania.
d11_crop_types_tooltip	Wybierz, czy automatycznie kupowane rośliny są naturalne, czy też modyfikowane genetycznie. Rośliny modyfikowane genetycznie rosną o 50% szybciej, ale ich cena eksportowa jest o tyle samo niższa. Nie dają bonusu po spożyciu przez więźniów.


d11_carousel_filter_pack_GreenMachine	Paczka obiektów


d11_contraband_found_produced	Produkowane w więzieniu


warden_wardenfarmer_name	Botanik
warden_wardenfarmer_desc	Jako ktoś, kto posiada ogromne doświadczenie w branży rolniczej, botanik może mieć pozytywny wpływ na rolnictwo w więzieniu. Zwiększa cenę eksportową każdej rośliny, szansę na zdobycie nasion, a także wydłuża czas więdnięcia i psucia się roślin oraz zebranych składników.
warden_wardenfarmer_desc_short	Podwaja cenę eksportową wszystkich plonów wyhodowanych w więzieniu.

warden_wardengreenpower_name	Ekolog
warden_wardengreenpower_desc	Jako ktoś, kto posiada ogromne doświadczenie w branży rolniczej, ekolog może mieć pozytywny wpływ na źródła energii w więzieniu. Zwiększa produkcję ze wszystkich zielonych źródeł energii, podwaja wartość eksportową energii i recyklingu.
warden_wardengreenpower_desc_short	Zwiększa o jedną trzecią ilość energii z zielonych źródeł zasilania.




buildtoolbar_popup_help_farmer_1	Rolnicy zajmą się większością prac w pomieszczeniach rolniczych: od sadzenia i zbierania roślin do przechowywania odpowiednich przedmiotów w szopie.\n\n
buildtoolbar_popup_help_farmer_2	^Wskazówki
buildtoolbar_popup_help_farmer_3	- Większość prac rolników mogą wykonywać więźniowie, za wyjątkiem zajęć, które wiążą się z opuszczeniem więzienia.
buildtoolbar_popup_help_farmer_4	- Niektóre prace, np. podlewanie i zbieranie plonów, można zautomatyzować przy pomocy nowych obiektów.

finances_other	Inne transakcje

interfacetopbar_tension_activeeliteops	Na miejscu jest + *X elitarnych agentów
interfacetopbar_budget_othermoneyin	Inne zyski: *M $ / dziennie
interfacetopbar_budget_othermoneyout	Inne wydatki: *M $ / dziennie

objectiveWindow_FilterButton_1_title	Zielono mi

d11_manageCropsInstructions	Możesz kliknąć wartość procentową, aby ją zablokować i uniemożliwić zmianę wartości w innych pomieszczeniach. Możesz też użyć przycisków strzałek, aby zmienić wartości procentowe z ogólną ilością na plon ograniczoną do 100% we wszystkich połączonych pomieszczeniach.

objective_HelpEnvironmentallyFriendly_child_1	Recykling
objective_HelpEnvironmentallyFriendly_child_1_description	Nowa, ekologiczna metoda usuwania śmieci została wprowadzona wraz z systemem recyklingu. Kupując kosz do recyklingu i badając zadanie biurokratyczne „Program zachęcający do recyklingu”, możesz otrzymać 10 $ za każdy worek odpadów poddanych recyklingowi.
d11_tooltip_HelpEnvironmentallyFriendly_child_1_SectionTitle	Opcja Wybierz wyświetli istotne informacje związane z zaznaczonym tematem.
objective_HelpEnvironmentallyFriendly_child_2	Ogrodnictwo
objective_HelpEnvironmentallyFriendly_child_2_description	Gdy zbadasz zadanie biurokratyczne „Utrzymanie terenu”, więźniowie będą mogli zajmować się roślinami w ogrodzie kwiatowym. Kwiatów nie można zebrać ani przeznaczyć na eksport, ale upiększają więzienie, a także wyciszają więźniów, którzy się nimi zajmują.
d11_tooltip_HelpEnvironmentallyFriendly_child_2_SectionTitle	Opcja Wybierz wyświetli istotne informacje związane z zaznaczonym tematem.
equipment_WateringCan	Konewka
d11_Crop_Placement_Error_01	Plony można umieścić tylko w odpowiednich pomieszczeniach rolniczych.
d11_Crop_Placement_Error_02	Plony można umieścić tylko na glebie, błocie, trawie, trawiastym narożniku lub polu kwiatowym.
interfacemode_objectPack_filter_all	Wszystkie paczki
d11_staffalert_summary_BasicFarming01	Pomieszczenia rolnicze umożliwiają sadzenie warzyw, drzew owocowych i zbóż, które po zbiorach można sprzedać na eksport lub wykorzystać do przygotowania posiłków.
d11_staffalert_summary_BasicFarming02	Rolnik zajmie się wszystkimi zadaniami związanymi z rolnictwem i nauczy więźniów, jak wykonywać prace rolnicze.
oobjective_HelpEnvironmentallyFriendly	W przeciwieństwie do innych roślin, drzewa owocowe nieustannie owocują i dlatego nie trzeba ich ponownie sadzić.
d11_staffalert_summary_AdvancedFarming01	Warzywa i zboża zostaną automatycznie zakupione i ponownie zasadzone po każdych zbiorach.
d11_staffalert_summary_AdvancedFarming02	Dystrybucja plonów umożliwia kontrolę nad miejscem, do którego przenoszone są składniki po zbiorach.
d11_staffalert_summary_AdvancedFarming03	Nawóz można zastosować w dowolnym miejscu w pomieszczeniu rolniczym, co spowoduje zwiększenie tempa wzrostu roślin.
d11_staffalert_summary_GreenEnergy01	Wszystkie zielone źródła energii przed użyciem trzeba podłączyć do transformatora.
d11_staffalert_summary_GreenEnergy02	Transformatory są potrzebne zarówno do zielonych źródeł energii, jak i do ładowania akumulatorów.
d11_staffalert_summary_GreenEnergy03	Mierniki energii na eksport służą do przesyłania niewykorzystanej energii do sieci regionalnej w zamian za pieniądze.
d11_staffalert_title_BasicFarming01	System rolnictwa
d11_staffalert_title_BasicFarming02	Rolnicy
d11_staffalert_title_BasicFarming03	Drzewa owocowe
d11_staffalert_title_AdvancedFarming01	Automatyczne sadzenie roślin
d11_staffalert_title_AdvancedFarming02	Dystrybucja plonów
d11_staffalert_title_AdvancedFarming03	System nawożenia
d11_staffalert_title_GreenEnergy01	Produkcja zielonej energii
d11_staffalert_title_GreenEnergy02	Transformacja zielonej energii
d11_staffalert_title_GreenEnergy03	Eksportowanie przechowywanej energii
d11_staffalert_details_BasicFarming01	Każde pomieszczenie rolnicze musi znajdować się na zewnątrz i posiadać szopę.
d11_staffalert_details_BasicFarming02	Rolnicy będą uczyć więźniów w ramach programu szkoleniowego związanego z rolnictwem.
d11_staffalert_details_BasicFarming03	Mimo iż drzewa owocowe są drogie i długo rosną, dają dużo większe plony niż jakiekolwiek inne rośliny.
d11_staffalert_details_AdvancedFarming01	Opcję automatycznego sadzenia można włączyć lub wyłączyć w menu Polityka.
d11_staffalert_details_AdvancedFarming02	Po odblokowaniu opcję tę można znaleźć w menu Logistyka.
d11_staffalert_details_AdvancedFarming03	Zbadanie „Rolnictwa” odblokuje kompostownik i 2 typy nawozu.
d11_staffalert_details_GreenEnergy01	Zielona energia musi płynąć w kierunku, który oznaczono strzałkami po obu stronach transformatora.
d11_staffalert_details_GreenEnergy02	Podobnie jak kondensatory i stacje zasilania, akumulatory można umieszczać tylko obok transformatora.
d11_staffalert_details_GreenEnergy03	Mierniki energii na eksport trzeba podłączyć do transformatora z prawidłowo przyłączonymi akumulatorami.
d11_staffalert_hint_BasicFarming01	W przeciwieństwie do warzyw i owoców, zboża można tylko sprzedawać na eksport.
d11_staffalert_hint_BasicFarming02	Rolnicy przeprowadzają także prace ogrodnicze w swoich obszarach.
d11_staffalert_hint_BasicFarming03	Drzewa owocowe, gdy sadzone w dużych ilościach, zapewniają największą ilość plonów.
d11_staffalert_hint_AdvancedFarming01	Wygląda to podobne jak w przypadku plantacji drzew.
d11_staffalert_hint_AdvancedFarming02	Pomieszczenia związane z hodowlą, wykorzystaniem lub przechowywaniem żywności można ze sobą połączyć, zapewniając zarządzanie dystrybucją składników.
d11_staffalert_hint_AdvancedFarming03	Kompostownik przetwarza odpady żywnościowe i roślinne w kompost.
d11_staffalert_hint_GreenEnergy01	Jeśli zielona energia jest podłączona bezpośrednio do urządzenia, dojdzie do przerwy w zasilaniu.
d11_staffalert_hint_GreenEnergy02	Akumulatory przechowują niewykorzystaną energię, którą można sprzedać na eksport lub użyć w sytuacjach awaryjnych.
d11_staffalert_hint_GreenEnergy03	Akumulatory można ładować przez dowolne źródło zasilania podłączone do transformatora, nawet przez stację zasilania.
d11_staffalert_tooltip_BasicFarming01	Otwórz menu Pomieszczenie [[*X]]
d11_staffalert_tooltip_BasicFarming02	Otwórz menu Zatrudnienie [[*X]]
d11_staffalert_tooltip_BasicFarming03	Otwórz menu Obiekty [[*X]]
d11_staffalert_tooltip_AdvancedFarming01	Otwórz menu Polityka [[*X]]
d11_staffalert_tooltip_AdvancedFarming02	Otwórz menu Logistyka [[*X]]
d11_staffalert_tooltip_AdvancedFarming03	Otwórz menu Obiekty [[*X]]
d11_staffalert_tooltip_GreenEnergy01	Otwórz menu Obiekty użytkowe/elektryczne [[*X]]
d11_staffalert_tooltip_GreenEnergy02	Otwórz menu Obiekty użytkowe/elektryczne [[*X]]
d11_staffalert_tooltip_GreenEnergy03	Otwórz menu Instalacja elektryczna [[*X]]
buildtoolbar_popup_mat_HayBailWall	Wysokie, ale słabe bele siana. Stanowią raczej ozdobę niż zabezpieczają.
buildtoolbar_popup_mat_WoodenFence	Ręcznie wykonany drewniany płot o naturalnym wyglądzie.
buildtoolbar_popup_mat_GardenWall	Dodaje koloru ogrodzeniu więzienia.
buildtoolbar_popup_obj_TopiaryBushBall	Ozdobny krzew w kształcie kuli.
buildtoolbar_popup_obj_SellUtility_01	Ręczna metoda sprzedaży rozmieszczonych kabli elektrycznych za 85% ceny zakupu.
buildtoolbar_popup_obj_SellUtility_02	Ręczna metoda sprzedaży rozmieszczonych rur za 85% ceny zakupu.
buildtoolbar_popup_obj_SellObject	Ręczna metoda sprzedaży przedmiotów eksportowych, składników i nieużywanych lub rozmontowanych obiektów za 85% ceny zakupu.
buildtoolbar_popup_obj_SellMaterial	Sprzedaj stosy materiałów budowlanych, takich jak kable i cegły, za 85% ceny zakupu.
buildtoolbar_popup_obj_SellFlooring	Sprzedaj niepotrzebne płytki podłogowe za 85% ceny zakupu.
d11_meal_quantity_description	Dostosuj ilość składników, które każdy więzień będzie spożywał każdego dnia: od 1 do 3. Wyższa liczba składników wypełni potrzeby żywieniowe więźniów, zwiększając także liczbę dostarczanych składników w oparciu o bieżącą podaż.
d11_meal_variety_description	Opcja ta steruje liczbą typów składników, które są dostarczane do więzienia. Zmiana tej opcji nie ma wpływu na ilość zamówionych składników, a jedynie na ich wpływ na więźniów.
d11_meal_system_description	Więzienny system żywienia opiera się na 4 czynnikach: opcjach posiłków (różnorodność i ilość), bieżącej liczbie więźniów, liczbie posiłków każdego dnia oraz na ilości przechowywanych składników. W przeciwieństwie do importowanych składników, rośliny hodowane w więzieniu zapewniają dodatkowe korzyści i dają więźniom status „Zdrowy”.
d11_IngredientRatio_hint	Wyświetla bieżącą liczbę obu typów przechowywanych składników.
d11_meal_ingredients_count_per_meal_hint	Liczba składników potrzebnych do wyżywienia bieżącej liczby więźniów na jeden posiłek w oparciu o wybrane opcje posiłków.
d11_meal_ingredients_count_per_day_hint	Łączna liczba składników potrzebnych do wyżywienia bieżącej liczby więźniów dzisiaj w oparciu o wybrane opcje posiłków.
d11_crops_per_day_hint	Liczba roślin zakupionych w ciągu ostatnich 24 godzin.
d11_imported_ingredients_cost_hint	Łączny koszt wszystkich kupionych składników
delivered	w ciągu ostatnich 24 godzin
d11_crop_cost_hint	Łączna cena za zboża zakupione w ciągu ostatnich 24 godzin
d11_meal_cost_per_meal_hint	Średni koszt wyżywienia jednego więźnia z użyciem opcji posiłków oraz przywilejów wybranych jako punkt odniesienia
d11_meal_cost_total_hint	Łączny koszt posiłków na więźnia z użyciem opcji posiłków oraz bieżącej populacji więziennej jako punktu odniesienia.
d11_meal_estimated_price_hint	Szacunkowy łączny koszt wyżywienia każdego więźnia. Wartość tę można oszacować na podstawie wielu czynników, które mają na nią wpływ, takich jak
including	produkcja nasion, czas wzrostu roślin i zmienność plonów.
d11_GreenPower_Locked	To źródło zasilania można odblokować w ramach celu dla zielonej energii w menu Dotacje.
d11_powerstation_overloaded_Raw_power	Przeciążenie — zielonej energii nie można podłączać bezpośrednio do urządzeń elektrycznych.
D11_PowerExport_Error	Podłącz do transformatora przy pomocy przewodów, aby eksportować nadmiar energii.
d11_powerexportmeter_powertosell	Dostępny eksport: $*X
d11_PowerExport_PowerCap	Limit eksportowy: [*X]
buildtoolbar_popup_uts_Transformer	Przekształca energię elektryczną z zielonych źródeł energii na energię, którą można zasilać urządzenia, wykorzystując przepływ pokazany strzałkami. Dołączone akumulatory zostaną naładowane nadmierną energią z dowolnych podłączonych źródeł zielonej energii lub stacji zasilania, ale transformatory mają limit 5000 jednostek.
buildtoolbar_popup_uts_PowerExportMeter	Umożliwia przesyłanie przechowywanej energii do sieci elektrycznej w zamian za pieniądze. Musi być podłączony przewodami do transformatora, który ma podłączone akumulatory.
d11_continuous_fertilizer_tooltip	Wybierz jakość, ilość i sposób automatycznego zakupu nawozu.
d11_crop_types_tooltip	Wybierz, czy automatycznie kupowane rośliny są naturalne, czy też modyfikowane genetycznie. Rośliny modyfikowane genetycznie rosną o 50% szybciej, ale ich cena eksportowa jest o tyle samo niższa. Nie dają bonusu po spożyciu przez więźniów.
d11_farm_search_freq_tooltip	Ponieważ pomieszczenia rolnicze nie podlegają kontroli, użyj tej opcji, aby zdecydować, czy regularnie przeszukiwać te pomieszczenia.
d11_farm_search_target_tooltip	Ponieważ pomieszczenia rolnicze nie podlegają kontroli, użyj tej opcji, aby zdecydować, jakie przedmioty i elementy są przeszukiwane, korzystając z opcji Częstotliwość przeszukiwania.
d11_continuous_planting_tooltip	Opcja automatyzuje ponowne sadzenie rośliny po zbiorze. Działa podobnie jak w przypadku plantacji drzew.
d11_researchhint_l_farming	To badanie odblokowuje wiele funkcji związanych z rolnictwem, takich jak przedmioty związane z automatyzacją rolnictwa, droższe rośliny uprawne, kompostownik i nawóz, spiżarnię, wysoką lodówkę, jak również zadania związane z pracą więzienną i metodę kontroli rozmieszczenia plonów.
object_quickconnect	Szybkie podłączenie
objective_GoingGreenInfo_child_1	Poniżej wymieniono główne cechy „Zielono mi”: najeżdżając kursorem na nagłówek, wyświetlisz opis i wyjaśnienie danej funkcji.
d11_cropDistributionHint	Kliknij prawym przyciskiem myszy: zarządzaj dystrybucją
d11_manageCropsInstructions	Możesz kliknąć wartość procentową, aby ją zablokować i uniemożliwić zmianę wartości w innych pomieszczeniach. Możesz też użyć przycisków strzałek, aby zmienić wartości procentowe z ogólną ilością na plon ograniczoną do 100% we wszystkich połączonych pomieszczeniach.

dlc_name_seaAirLand	Wyspa
interfacemode_objectType_filter_signs	Znaki
material_SellFlooring	Sprzedaj posadzkę
room_flowergarden	Ogród kwiatowy
buildtoolbar_popup_obj_PinkFlamingo	Wesoły klasyk ogrodowy.
buildtoolbar_popup_uts_quickconnect	Szybko łączy wszystkie systemy monitoringu i automatyzacji z najbliższym obiektem odbiorczym.
contraband_Ingredient	Składnik alkoholu
contraband_StashLocation	Lokalizacja kontrabandy


##-----------Staff Alerts-------------------------
d11_staffalert_title_MONEY01	Więzieniu kończą się pieniądze.
d11_staffalert_title_PRISONERS02	Strażnicy są w mniejszości.
d11_staffalert_title_CONTRABAND03	Znaleziono dużą ilość kontrabandy.
d11_staffalert_title_CONTRABAND02	Dostępność narkotyków w więzieniu jest niebezpiecznie wysoka.
d11_staffalert_title_CONTRABAND01	Dostępność narzędzi i broni w więzieniu jest niebezpiecznie wysoka.
d11_staffalert_title_NEEDS04	Zbyt wielu więźniów narzeka na głód.
d11_staffalert_title_NEEDS03	Zbyt wielu więźniów narzeka na brak snu.
d11_staffalert_title_NEEDS01	Zbyt wielu więźniów narzeka na brak toalet.
d11_staffalert_title_NEEDS02	Zbyt wielu więźniów narzeka na brak toalet.
d11_staffalert_title_NEEDS08	Więźniowie nie są zbyt czyści.
d11_staffalert_title_OBJECTS04	W więzieniu nie ma systemu sterowania drzwiami.
d11_staffalert_title_ROOMS01	Pomieszczenie w twoim więzieniu nie spełnia wymaganych kryteriów.
d11_staffalert_title_INFORMANTS01	Życie informatora jest zagrożone.
d11_staffalert_title_HOLDINGCELL01	Zbyt wielu więźniów przebywa w pomieszczeniach tymczasowych.
d11_staffalert_title_NEEDS06	Więzienie powinno zostać pilnie wyczyszczone.
d11_staffalert_title_NEEDS14	Więźniowie potrzebują dostępu do czystych ubrań.
d11_staffalert_title_NEEDS13	Więźniowie potrzebują wolnego czasu, żeby zachować spokój.
d11_staffalert_title_NEEDS09	Więźniowie potrzebują ćwiczeń.
d11_staffalert_title_NEEDS10	Więźniowie są tak znudzeni, że zaczynają wariować.
d11_staffalert_title_NEEDS11	Więźniowie potrzebują miejsca do siedzenia w trakcie wolnego czasu.
d11_staffalert_title_POWER01	W więzieniu są obszary bez prądu.
d11_staffalert_title_WATER01	W więzieniu są obszary bez bieżącej wody.
d11_staffalert_title_CELLS01	Więzienie nie wykorzystuje swojej pojemności.
d11_staffalert_title_OBJECTS03	W więzieniu nie ma kompleksowego systemu monitoringu.
d11_staffalert_title_OBJECTS01	Nie jesteśmy przygotowani na pożar w więzieniu.
d11_staffalert_title_POWER02	Jedna ze stacji elektrycznych jest przeciążona.
d11_staffalert_title_DEATHROW01	Rozważ rozbudowę więzienia o obszar dla więźniów z wyrokiem śmierci.
d11_staffalert_title_STAFF01	Większość twojego personelu jest przemęczona.
d11_staffalert_title_NEEDS12	Więźniowie potrzebują prywatności.
d11_staffalert_title_NEEDS19	Więźniowie nie potrafią czytać i pisać.
d11_staffalert_title_NEEDS05	Liczba więźniów tęskniących za swoimi rodzinami jest na niebezpiecznym poziomie.
d11_staffalert_title_NEEDS07	Więźniowie nie czują się tu bezpiecznie.
d11_staffalert_title_NEEDS15	Opanuj poziom uzależnienia od narkotyków w więzieniu.
d11_staffalert_title_NEEDS16	Opanuj poziom uzależnienia od alkoholu w więzieniu.
d11_staffalert_title_NEEDS18	Wsparcie duchowe wpływa uspokajająco na więźniów.
d11_staffalert_title_PRISONERS03	Jakość cel jest zbyt niska.
d11_staffalert_title_DOCTOR01	Nikt nie pracuje w ambulatorium.
d11_staffalert_title_OBJECTS02	Więzienie nieefektywnie pozbywa się odpadów.
d11_staffalert_details_MONEY01	Więzienie ma w banku tylko *A.
d11_staffalert_details_PRISONERS02	Więźniowie przewyższają liczebnie strażników *A:*B.
d11_staffalert_details_CONTRABAND03	Liczba przedmiotów kontrabandy znaleziona w ciągu ostatnich 7 dni: *A
d11_staffalert_details_CONTRABAND02	Dostępność narkotyków wynosi: *A.
d11_staffalert_details_CONTRABAND01a	Dostępność broni wynosi: *A.
d11_staffalert_details_CONTRABAND01b	Dostępność narzędzi wynosi: *A.
d11_staffalert_details_NEEDS04a	Więźniowie (*A) są bardzo głodni.
d11_staffalert_details_NEEDS04b	Zbuduj więcej kuchni.
d11_staffalert_details_NEEDS04c	Zatrudnij więcej kucharzy.
d11_staffalert_details_NEEDS04d	Dodaj więcej pór posiłku do harmonogramu.
d11_staffalert_details_NEEDS03	Więźniowie (*A) pilnie potrzebują snu.
d11_staffalert_details_NEEDS01	Więźniowie (*A) pilnie potrzebują skorzystać z toalety.
d11_staffalert_details_NEEDS02	Więźniowie (*A) pilnie potrzebują skorzystać z toalety.
d11_staffalert_details_NEEDS08	Więźniowie (*A) muszą poprawić stan swojej czystości.
d11_staffalert_details_OBJECTS04	Wymagany system sterowania drzwiami i kontrolery drzwi.
d11_staffalert_details_ROOMS01	Dopilnuj, aby pomieszczenia oznaczone migającymi ikonami czerwonych wykrzykników spełniały wszystkie wymienione kryteria.
d11_staffalert_details_INFORMANTS01	Więźniowie są niemal pewni, że *A jest informatorem.
d11_staffalert_details_HOLDINGCELL01	Więźniowie (*A) nie mają obecnie swojej celi.
d11_staffalert_details_NEEDS06a	Zatrudnij więcej woźnych.
d11_staffalert_details_NEEDS06b	Zbuduj więcej schowków na produkty czyszczące.
d11_staffalert_details_NEEDS06c	Przydziel więźniów do schowka na produkty czyszczące.
d11_staffalert_details_NEEDS14a	Więźniowie (*A) potrzebują czystych ubrań.
d11_staffalert_details_NEEDS14b	Zbuduj pralnię.
d11_staffalert_details_NEEDS14c	Zbuduj pralkę.
d11_staffalert_details_NEEDS14d	Zbuduj kosz na pranie.
d11_staffalert_details_NEEDS13	Więźniowie (*A) chcą więcej wolnego czasu.
d11_staffalert_details_NEEDS09	Więźniowie (*A) muszą poprawić swoją kondycję.
d11_staffalert_details_NEEDS10	Więźniowie (*A) potrzebują zajęć rekreacyjnych, aby zachować spokój.
d11_staffalert_details_NEEDS11	Więźniowie (*A) narzekają na brak miejsc do siedzenia w trakcie wolnego czasu.
d11_staffalert_details_POWER01	Połącz wszystkie obiekty oznaczone migającymi ikonami błyskawic ze stacją elektryczną.
d11_staffalert_details_WATER01	Połącz wszystkie obiekty oznaczone migającymi ikonami kropli wody z przepompownią.
d11_staffalert_details_CELLS01a	Możemy pomieścić *A dodatkowych więźniów niskiego ryzyka.
d11_staffalert_details_CELLS01b	Możemy pomieścić *A dodatkowych więźniów średniego ryzyka.
d11_staffalert_details_CELLS01c	Możemy pomieścić *A dodatkowych więźniów wysokiego ryzyka.
d11_staffalert_details_CELLS01d	Możemy pomieścić *A dodatkowych więźniów najwyższego ryzyka.
d11_staffalert_details_CELLS01e	Możemy pomieścić *A dodatkowych więźniów z wyrokiem śmierci.
d11_staffalert_details_CELLS01f	Możemy pomieścić *A dodatkowych więźniów chronionych.
d11_staffalert_details_OBJECTS03	Potrzeba więcej kamer monitoringu.
d11_staffalert_details_OBJECTS01	Więzienie nie ma zainstalowanego systemu zraszaczy.
d11_staffalert_details_POWER02	Wydajność stacji elektrycznej w twoim więzieniu wynosi *A.
d11_staffalert_details_DEATHROW01	Rozbudowa więzienia o obszar dla więźniów z wyrokiem śmierci umożliwi przyjmowanie cennych więźniów z wyrokiem śmierci.
d11_staffalert_details_STAFF01	*A pracowników jest obecnie przemęczonych.
d11_staffalert_details_NEEDS12	*A więźniów chce miejsca odosobnienia.
d11_staffalert_details_NEEDS19	*A więźniów nie potrafi czytać i pisać.
d11_staffalert_details_NEEDS05	*A więźniów rozpaczliwie pragnie kontaktu z rodziną.
d11_staffalert_details_NEEDS07	*A więźniów boi się o swoje życie.
d11_staffalert_details_NEEDS15	*A więźniów jest uzależnionych od narkotyków.
d11_staffalert_details_NEEDS16	*A więźniów cierpi na alkoholizm.
d11_staffalert_details_NEEDS18	*A więźniów potrzebuje wsparcia duchowego.
d11_staffalert_details_PRISONERS03	*A więźniów przebywa w celach poniżej poziomu, który im przysługuje.
d11_staffalert_details_DOCTOR01	Musimy zatrudnić lekarzy, którzy będą się zajmować rannymi więźniami i strażnikami.
d11_staffalert_details_OBJECTS02	Potrzeba więcej koszy na śmieci.
d11_staffalert_hint_MONEY01	Więzieniu kończą się pieniądze. Sugeruję przyjęcie większej liczby więźniów, aby podnieść codzienne dochody, lub spełnienie wymagań dla nowych dotacji, aby otrzymać duży zastrzyk gotówki.
d11_staffalert_hint_PRISONERS02	Sytuacja, w której więźniowie w takim stopniu przewyższają liczebnie strażników jest niebezpieczna. Jeden strażnik może skutecznie pilnować około 5 więźniów.
d11_staffalert_hint_CONTRABAND03	Sprawdź złożony przeze mnie raport dotyczący kontrabandy, aby zlokalizować źródła kontrabandy z ostatnich 7 dni i wyznaczyć środki, które je odetną.
d11_staffalert_hint_CONTRABAND02	Więźniowie mają łatwy dostęp do narkotyków – to bardzo niebezpieczna sytuacja. Zatrudnij przewodników psów i wyznacz im patrole bloków więziennych lub zleć przeszukanie całego więzienia.
d11_staffalert_hint_CONTRABAND01	Więźniowie mają łatwy dostęp do narzędzi i broni – to bardzo niebezpieczna sytuacja. Rozmieść wykrywacze metalu niedaleko źródeł kontrabandy lub zleć przeszukanie całego więzienia.
d11_staffalert_hint_NEEDS04	Z czasem więźniowie zaczną odczuwać głód. Zapewnij im wystarczająco miejsca w stołówce i przydziel odpowiednią ilość czasu na spożywanie posiłków, aby wszyscy się najedli.
d11_staffalert_hint_NEEDS03	Więźniowie potrzebują snu, aby zachować poziom szczęścia. Będą spać w czasie przydzielonym na spanie lub w trakcie wolnego czasu.
d11_staffalert_hint_NEEDS01	Więźniowie potrzebują dostępu do toalet. Rozważ wstawienie większej liczby toalet do więzienia lub zwiększenie ilości wolnego czasu.
d11_staffalert_hint_NEEDS02	Więźniowie potrzebują dostępu do toalet. Rozważ wstawienie większej liczby toalet do więzienia lub zwiększenie ilości wolnego czasu.
d11_staffalert_hint_NEEDS08	Higiena jest istotna w codziennym życiu, a w więzieniu odgrywa kluczową rolę. Dopilnuj, żeby więźniowie mieli wystarczająco dużo czasu, aby wziąć prysznic.
d11_staffalert_hint_OBJECTS04	Obecnie strażnicy muszą spędzać większość czasu na otwieraniu i zamykaniu drzwi więzienia. Ich czas jest zbyt cenny, żeby go tak marnowali! Zainstaluj system sterowania drzwiami, aby jeden strażnik mógł zdalnie otwierać kilkoro drzwi.
d11_staffalert_hint_ROOMS01	Wszystkie pomieszczenia mają pewne wymagania, które należy spełnić. Zaznaczaj pomieszczenia z migającymi ikonami czerwonych wykrzykników, aby sprawdzić, których wymagań nie spełniasz.
d11_staffalert_hint_INFORMANTS01	Informator nie przeżyje tu zbyt długo bez naszej ochrony. Sugeruję zmianę jego poziomu bezpieczeństwa na „ochronę” i przeniesienie go z dala od ogółu więźniów.
d11_staffalert_hint_HOLDINGCELL01	Pozostawianie tylu więźniów w pomieszczeniach tymczasowych jest zbyt niebezpieczne. Musisz zbudować więcej cel, aby pomieścić więźniów albo grożą nam zamieszki!
