# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog									Full Changelog
objective_HelpBasicFarming_child_2			Planting Crops
objective_HelpBasicFarming_child_2_Description		To plant crops, farming rooms must first be created and Farmers must be hired to manage jobs related to these crops. \n\nCrops can only be grown in their specific rooms and can only grow on the following flooring types: “Dirt”, “Mud”, “Grass”, “Grass Corner”, or “Flowery Field”. \n\nAfter their initial cycle of growth and harvesting, replacing these crops can be automated via the "Continuous Planting" policy \n\nIf you wish to replace these crops with a different type please make sure that this policy has been disabled.
objective_HelpBasicFarming_child_3			Crop Traits
objective_HelpBasicFarming_child_3_Description		Each of the 3 main crop types have different traits, both Cereals and Vegetables only have a single yield and must be replanted after each harvest but fruit trees will continuously yield fruit \n\nAll 3 crop types can be sold as exports but only fruit and vegetables can be used for meals.
objective_HelpBasicFarming_child_4			Crop Benefits
objective_HelpBasicFarming_child_4_Description		The main benefit of using prison-grown ingredients instead of the standard ingredients, that are usually delivered, are the effects they have when consumed. \n\nInmates who eat fresh ingredients will receive a higher effect to their hunger need, whilst other needs  also gain minor boosts \n\nInmates eating an entire course of fresh ingredients will also have the chance of gaining the new "Healthy" status, which has a similar effect to inmates completing the alcohol and drug therapy sessions.
objective_HelpBasicFarming_child_5			Ingredient Storage
objective_HelpBasicFarming_child_5_Description	 	Unlike standard ingredients, crops grown within the prison do not have preservatives to prevent them from spoiling. \n\nAs such, after harvest, crops will need to be moved to either a refrigerated item or to the pantry room which is always refrigerated \n\nOtherwise over the course of 3 days, they will expire and both the effects they have when consumed and their export price will be lowered. 

objective_HelpAdvancedFarming				Advanced Farming
objective_HelpAdvancedFarming_child_1			Farming Research
objective_HelpAdvancedFarming_child_1_Description	Not all farming related items will be available from the start of a new game. \nThe bureaucracy research task "Farming" must first be completed to gain access to all:\n\n-More crops\n-The Crop distribution logistics option\n-Compost Fertilizer, High Quality fertilizer, & Compost Bin \n-Prisoner Labour \n-Automatic Watering, Harvesting, & Gathering Item
objective_HelpAdvancedFarming_child_2			Crop distribution
objective_HelpAdvancedFarming_child_2_Description	This new logistics option allows players to select where crops are moved to after harvest, and the ratio of that distribution. \n\nPlayers can also choose the links between pantries and kitchens, though without using this action links will automatically be created based on distance.

objective_HelpAdvancedFarming_child_3			Fertilizer
objective_HelpAdvancedFarming_child_3_Description	There are two fertilizer items, Compost Fertilizer and High Quality Fertilizer, that can both be used to improve your crop growth speed of crops and also the chance for seeds to be produced upon harvest. \n\nHigh Quality fertilzer has higher effects than the compost version, but is more expensive whereas the compost alternative is both cheaper and can be produced yourself by using the Compost Bin item; via plant and food waste items.

objective_HelpAdvancedFarming_child_4			Automated Farming
objective_HelpAdvancedFarming_child_4_Description	There are 3 farming jobs that can be automated using items, these jobs are watering crops, harvesting crops, and gathering these harvested crops.


objective_HelpGreenEnergy 				Green Energy

objective_HelpGreenEnergy_child_1 			Green energy types
objective_HelpGreenEnergy_child_1_description		There are three new green power sources, that can be used to replace the Power Station. \n\nWind Turbines \nSolar Panels \nSolar-powered Wind Turbines \nOnly solar panels will be available initially. \n\nEach green energy source have slightly different properties including their power output, but unlike Power Stations they can be connected to one another into a large array; though Transformers do have a limit on power input. 

objective_HelpGreenEnergy_child_2 			Weather effects
objective_HelpGreenEnergy_child_2_description		Each power source can have their power production be either negatively or positively effected by weather types. \n\nThese effects will be indicated by a +/- graphic and also a tooltip when cursoring over these energy sources. \n\nAs an example, the solar panel is positively affected by both the Clear and Heatwave weather types, \nbut negatively affected by the overcast, rain, torrential rain, and the frost weather types. 

objective_HelpGreenEnergy_child_3 			Transformers & Batteries
objective_HelpGreenEnergy_child_3_description		Due to the properties of raw green energy, each new energy source must be connected to a transformer item via electrical cables before their power can be used for electrical appliances. \n\nThe Transformer itself not only transforms raw green energy into a usable form of energy, but it can also charge any adjacent battery items. \n\nThe energy stored within Battery items can be used as emergency power as well as a new export via the Power Export Meter.

objective_HelpGreenEnergy_child_4 			Power Export
objective_HelpGreenEnergy_child_4_description		The Power Export Meter can be connected to a transformer through wiring, if this trasformer has batteries attached then any power stored within can be sold as a limitted export every day. \n\nThis export limit can be increased by completing a certain green energy goals.

objective_HelpGreenEnergy_child_5 			Green energy goals
objective_HelpGreenEnergy_child_5_description		A number of targets for green energy can be found within the Grant menu, by completing these objectives rewards will be gained including: \n\n- Raising the daily limit of power export \n- Unlocking additional energy sources \n- Increasing the performance of any purchased green energy sources.

objective_HelpNarcoticProduction 			Narcotic Production

objective_HelpNarcoticProduction_child_1 		Booze Production	
objective_HelpNarcoticProduction_child_1_description	Prisoners who meet certain conditions are able to brew their own booze. \n\nFirst they will retrieve ingredients for brewing from farming rooms, kitchen areas, or any vending machine they have access to. \n\nThey will then prepare these ingredients at night within their cells before stashing the brewing booze for a number of days to ferment.  

objective_HelpNarcoticProduction_child_2		Drug Production
objective_HelpNarcoticProduction_child_2_description 	Drug production on the other hand will only be based within a single room, the Farming Field - inmates will attempt to tamper with existing crops to hide growable drugs. \n\nThese tampered plants will have the smelly trait and as such can be detected by guard dogs, but these areas will never be counted within shakedowns and as such manual search order must be given - though each search will have a chance to damage crops. \n\nWhen these crops are harvested the narcotics will also be retrieved, if the correct inmate does the harvesting . \n\nGangs are also able to take control of Farming Field rooms to guarantee that they control the production of narcotics.

objective_GoingGreenInfo				Going Green!
objective_GoingGreenInfo_child_1			The main features of Going Green are listed below, by hovering your cursor over each sub heading a description and explanation for each feature will be displayed. 

objectiveWindow_FilterButton_0_title			Tasks
objectiveWindow_FilterButton_1_title			Going Green
objectiveWindow_FilterButton_0_tooltip			Ongoing Tasks
objectiveWindow_FilterButton_1_tooltip			A collection of information describing and explaining the key features of Going Green

# =============================================================================
# Mutators
# =============================================================================

mutator_name_Noir							Noir
mutator_tooltip_Noir						A dark and grimey filter that removes most colour from your prison.
mutator_name_RoofView						Roof View
mutator_tooltip_RoofView					Applies an effect similar to the fog of war, but showing the roof of buildings in areas with low visibility instead of the 'fog'.

# =============================================================================
# Miscellaneous
# =============================================================================

finances_other							Other Transactions
interfacetopbar_tension_activeeliteops				+ *X eilte operatives are on site
interfacetopbar_budget_othermoneyin				Other Income: $*M /day
interfacetopbar_budget_othermoneyout				Other Expenses: $*M /day
escapemode_info_board						Board Ferry

d11_expireIn								Expires In *X days

reformProgram_flowertherapy							Flower Therapy
reformProgram_flowertherapy_text					These sessions will be based around the idea of calming and relaxing prisoners by giving them something to care for and look after.

job_group_hovering_expand					Click to expand similar job types
job_group_hovering_collapse					Click to collapse similar job types

reports_ingredients_usageTitle			Fresh / Imported Ingredient Usage Ratio	


# =============================================================================
# Stings Missed from localisation 13/11/20  - Any strings added after this day, place here
# =============================================================================


objective_HelpEnvironmentallyFriendly						Environmentally Friendly

objective_HelpEnvironmentallyFriendly_child_1					Recycling
objective_HelpEnvironmentallyFriendly_child_1_description			A new eco friendly method to remove waste has been introduced by the recyling system. \n\nBy purchasing the Recycle Bin object and Reasearching the "Recycling Incentive" Bureaucracy task, all waste that is recycled instead of dumped as garbage will reward you with $10 for each bag.

objective_HelpEnvironmentallyFriendly_child_2					 Recreational Gardening
objective_HelpEnvironmentallyFriendly_child_2_description			By researching the "Grounds Keeping" Bureaucracy task, inmates will be able to tend plants within the new Flower Garden room. \n\nFlowers can't be harvested or exported like crops can, but they not only provide an improvement to the prison's aesthetics but they also help calm any prisoners tending to them.

equipment_WateringCan							Watering Can	


interfacemode_objectPack_filter_all					All Packs

# =============================================================================
# Stings Missed from localisation 02/12/20  - Any Green Machine strings added after this day, place here
# =============================================================================

codex_options_staffalertscaption						Staff Alerts

reform_program_and	and

# ==========================================================================================================
# Chinese New Year update
# ==========================================================================================================


# =============================================================================
# Objects (inc. descriptions)
# =============================================================================

object_OxStatue								Ox Statue
object_PaperDragonHead						Dragon (head)
object_PaperDragonBody						Dragon (body)
object_PaperDragonTail						Dragon (tail)
object_PaperLantern							Paper Lantern 
object_CoupletBanner						Couplet Banner
object_FoodTrayPack							Food Tray Pack

buildtoolbar_popup_obj_OxStatue				A zodiac statue representing the mighty Ox
buildtoolbar_popup_obj_PaperDragonHead		A paper cutting, in the form of a dragon's head
buildtoolbar_popup_obj_PaperDragonBody		A paper cutting, in the form of a dragon's body
buildtoolbar_popup_obj_PaperDragonTail		A paper cutting, in the form of a dragon's tail
buildtoolbar_popup_obj_PaperLantern			A decorative red paper lantern to bring light to your prison
buildtoolbar_popup_obj_CoupletBanner		A decorative banner with Chinese couplets written upon it
buildtoolbar_popup_obj_FoodTrayPack			A pack of 40 food trays

buildtoolbar_popup_help_farmer_1           Farmers will handle most jobs related to farming rooms, from planting and harvesting crops to storing any required items in the appropriate Shed objects.\n\n
buildtoolbar_popup_help_farmer_2           ^Tips
buildtoolbar_popup_help_farmer_3           - Most of the jobs performed by Farmers can also be performed by working prisoners, besides those that require exiting the prison.
buildtoolbar_popup_help_farmer_4           - Some jobs can also be automated by using new objects, such as watering and harvesting crops.


# =============================================================================
# Objectives
# =============================================================================

#PC only
objective_intake_closedriot				Intake unavailable during prison riot

#==========GM bugs 15/02======= 
reputation_swimmer_high						Swimmer

# =========================================================================================================================================================
# 																Shelby DLC
# =========================================================================================================================================================

# =============================================================================
# Materials (inc. descriptions)
# =============================================================================

# =============================================================================
# Objects (inc. descriptions)
# =============================================================================

object_TherapyAnimal							Therapy Animal 
object_TherapyAnimalContainer					Therapy Animal Container
object_AnimalTherapist							Animal Therapist
object_RestaurantCustomer               		Civilian Customer
object_DisplayCounter                   		Display Counter
object_RehabilitatedPrisoner					Reformed Prisoner
object_Oven                             		Oven
object_DoughMixer                       		Dough Mixer
object_Dough                            		Dough
object_BreadLoaf                        		Bread Loaf
object_BreadBun                         		Bread Bun
object_Cake                         			Cake
object_Cupcake                        			Cupcake
object_Baguette                        			Baguette
object_CivilianChild							Delinquent
object_RestaurantMeal                  		 	Restaurant Meal
object_RestaurantIngredientsCooking     		Restaurant Meal (Cooking)
object_RestaurantPlateDirty     		        Plate (Dirty)
object_CakeStand								Cake Stand
object_GrassBridge								Grass Road Bridge
object_DiningTableLarge							Dining Table (Large)
object_DiningTableSmall							Dining Table (Small)
object_DinerBooth								Diner Booth
object_DiningChair								Dining Chair
object_SaloonDoor								Saloon Doors (double)
object_OrnateLantern							Ornate Lantern
object_Chandelier								Chandelier
object_WallPanel								Wall Panel (Red)
object_WallPanelWood							Wall Panel (Wood)
object_WallPanelStone							Wall Panel (Stone)
object_WallPanelCorner_A						Wall Panel Corner Type A (Red)
object_WallPanelWoodCorner_A					Wall Panel Corner Type A (Wood)
object_WallPanelStoneCorner_A					Wall Panel Corner Type A (Stone)
object_WallPanelCorner_B						Wall Panel Corner Type B (Red)
object_WallPanelWoodCorner_B					Wall Panel Corner Type B (Wood)
object_WallPanelStoneCorner_B					Wall Panel Corner Type B (Stone)
object_ShopCounter								Shop Counter
object_NoEntrySign								Sign (no entry)
object_GymSign									Sign (gym)
object_PhoneSign								Sign (phone)
object_RestaurantSign							Sign (restaurant)
object_BakerySign								Sign (bakery)
object_VisitationSign							Sign (visitation)
object_BakeryRawProduct                			Raw Bakery Product
object_BakeryCookedProduct             			Baked Bakery Product
object_Flour                                    Flour

buildtoolbar_popup_obj_DisplayCounter			A serving unit, used to store baked goods. 
buildtoolbar_popup_obj_Oven						A specialised cooking unit used to cook baked goods.
buildtoolbar_popup_obj_DoughMixer				Transforms flour (and other hidden ingredients) into dough for baked goods.
buildtoolbar_popup_obj_CakeStand				A display stand to display deliciously sweet treats
buildtoolbar_popup_obj_GrassBridge				A grass covered bridge that allows safe passage over roads.
buildtoolbar_popup_obj_DiningTableLarge			A high quality table which will bring a higher degree of class to any meal.
buildtoolbar_popup_obj_DiningTableSmall			A high quality table which will bring a higher degree of class to any meal.
buildtoolbar_popup_obj_DinerBooth				A seated booth in the style of classic american diners.  
buildtoolbar_popup_obj_DiningChair				A high quality Chair which will bring a higher degree of class to any meal.
buildtoolbar_popup_obj_SaloonDoor				Double wooden doors in the style of an old Saloon
buildtoolbar_popup_obj_OrnateLantern			A high quality wall lantern which will bring a higher degree of class to any area.
buildtoolbar_popup_obj_Chandelier				A high quality ceiling light which will bring a higher degree of class to any area.
buildtoolbar_popup_obj_NoEntrySign				A wall sign with a No Entry symbol upon it.
buildtoolbar_popup_obj_GymSign					A wall sign with a Gym symbol upon it.
buildtoolbar_popup_obj_PhoneSign				A wall sign with a Phone symbol upon it.
buildtoolbar_popup_obj_RestaurantSign			A wall sign with a Restaurant symbol upon it.
buildtoolbar_popup_obj_BakerySign				A wall sign with a Bakery symbol upon it.
buildtoolbar_popup_obj_VisitationSign			A wall sign with a Visitation symbol upon it.
buildtoolbar_popup_obj_WallPanel				Short individual wall panels used to create separated areas without clearing room tiles.
buildtoolbar_popup_obj_WallPanelWood			Short individual wall panels used to create separated areas without clearing room tiles.
buildtoolbar_popup_obj_WallPanelStone			Short individual wall panels used to create separated areas without clearing room tiles.
buildtoolbar_popup_obj_WallPanelCorner_A		Individual corner pieces for wall panels, used to create separated areas without clearing room tiles.
buildtoolbar_popup_obj_WallPanelWoodCorner_A	Individual corner pieces for wall panels, used to create separated areas without clearing room tiles.
buildtoolbar_popup_obj_WallPanelStoneCorner_A	Individual corner pieces for wall panels, used to create separated areas without clearing room tiles.
buildtoolbar_popup_obj_WallPanelCorner_B		Individual corner pieces for wall panels, used to create separated areas without clearing room tiles.
buildtoolbar_popup_obj_WallPanelWoodCorner_B	Individual corner pieces for wall panels, used to create separated areas without clearing room tiles.
buildtoolbar_popup_obj_WallPanelStoneCorner_B	Individual corner pieces for wall panels, used to create separated areas without clearing room tiles.
buildtoolbar_popup_obj_ShopCounter				A counter for commercial transactions, which does not require a wall to be placed. 

# =============================================================================
# Rooms (inc. descriptions)
# =============================================================================
room_Restaurant                         Restaurant
room_Bakery                             Bakery
room_TherapyRoom                        Meeting Room


d11_restaurant_work                     Restaurant
d11_restaurant_work_desc                Assign prisoners to work within one of our Restaurants to cook for and serve civilian customers. Though they must have work experience in either cooking or customer service.
d11_bakery_work                         Bakery
d11_bakery_work_desc                    Assign prisoners to work within one of our Bakeries to cook baked goods for civilian customers. Though they must have work experience in cooking or customer service.

buildtoolbar_popup_room_TherapyRoom     A "safe space" for Animal Therapy sessions and discussions with former prisoners to take place.
buildtoolbar_popup_room_Restaurant		Prisoners with experience in cooking or customer service can prepare and serve food to civilian customers.
buildtoolbar_popup_room_Bakery  		Prisoners with experience in cooking or customer service can bake bread and cakes to sell to civilian customers.

# =============================================================================
# Quick Build Room
# =============================================================================
	
quickbuild_Therapy                        		Meeting Room
quickbuild_Restaurant                         		Restaurant
quickbuild_Bakery                         		Bakery

#Already translated
quickbuild_Reception					Reception 	
# =============================================================================
# Reform Programs (inc. descriptions)
# =============================================================================

reformprogram_AnimalTherapy             Animal Therapy
reformprogram_AnimalTherapy_text        Inmates can often struggle to control their temper or other negative thoughts. Through these sessions and the bonds that form through them, hopefully inmates will learn how to stay calm and de-escalate any situation they find themselves in before it becomes violent.

reformProgram_ConflictResolution		Conflict Resolution
reformProgram_ConflictResolution_text	An ex-inmate who has now reformed will come in to speak about the possible difficulties found upon release. Different problematic scenarios will be roleplayed for inmates to learn how to avoid resorting to violence.

reformProgram_ReformedPrisonerConsultation				Reformed Prisoner Consultation
reformProgram_ReformedPrisonerConsultation_text			The idea of this program is to change the mindset of the currently incarcerated, by having an ex-inmate who has now reformed to speak about their experiences and new life.

reformProgram_juvenilecorrection						Three Strikes Program
reformProgram_juvenilecorrection_text					Allowing inmates and civilian "delinquents" to interact should have a positive effect on both, as long as inmates have either been trained or have the correct level of customer service experience to interact with these "delinquents".

reformProgram_socialtraining							Three Strikes Training
reformProgram_socialtraining_text						Allowing inmates to interact with civilians that have no relation to them can be a worry for many, as such this program teaches which actions are and are not okay; whilst also increasing an inmate's customer service experience.

reformProgram_RehabilitatedPrisoner_text	This former prisoner has reformed into a model citizen and along with their current occupation they have taken it upon themselves to use their time to help others who are struggling to reform, as a prison consultant.
reformProgram_Occupation					Workplace:

# =============================================================================
# Sentence Reductions & Extensions (inc. descriptions)
# =============================================================================

report_Sentences						Sentence Adjustments

sentences_tooltip_onOff					Toggle this option to enable or disable sentence adjustments OFF/ON.
sentences_tooltip_resetCriteria			Reset the adjustment criteria back to the prison's proposed values.
sentences_tooltip_extensionValue		Select the amount of time that an inmate's sentence will be extended by, once they meet the required criteria.
sentences_tooltip_reductionValue		Select the amount of time that an inmate's sentence will be reduced by, once they meet the required criteria.

sentences_description					Set the criteria for adjusting a prisoner's sentence, whether it's reduced for good behaviour or extended for poor behaviour.\nSentence extensions and reductions can both happen in the same week, but both types of adjustment have a 7 day cool down.
sentences_unavailable					N/A

reduction_caption						Reduction Value
extension_caption						Extension Value

adjustment_criteria						Adjustment Criteria

goodBehaviour_DaysInLabour				Days In Labour
goodBehaviour_LoweredRate				Lowered Reoffending Rate

sentences_resetCriteria					Reset Criteria

misconduct_tooltip_InjuredStaff			Prisoners will qualify for sentence extensions if they have assaulted any staff member the specified number of times.
misconduct_tooltip_InjuredPrisoner		Prisoners will qualify for sentence extensions if they have assaulted other inmates the specified number of times.
misconduct_tooltip_SeriousInjury		Prisoners will qualify for sentence extensions if they have caused serious injury the specified number of times.
misconduct_tooltip_Murder				Prisoners will qualify for sentence extensions if they have committed murder within prison the specified number of times.
misconduct_tooltip_EscapeAttempt		Prisoners will qualify for sentence extensions if they have attempted to escape prison the specified number of times.

goodBehaviour_tooltip_NoIncident		Prisoners will qualify for sentence reductions if they have had no incidents reported for the specified number of days.
goodBehaviour_tooltip_ProgramsPassed	Prisoners will qualify for sentence reductions if they have passed a specified number of programs.
goodBehaviour_tooltip_DaysInLabour		Prisoners will qualify for sentence reductions if they have consecutively taken part in prison labour for the specified number of days.
goodBehaviour_tooltip_LoweredRate		Prisoners will qualify for sentence reductions if their re-offending rate has been lowered by the specified amount.

sentences_tooltip_criteriaMet			Adjust this value to decide how much criteria a prisoner must meet to have their sentence adjusted.

# =============================================================================
# Work stuffs
# =============================================================================

# Menu title for the menu that show a prisoner work and education information
work_and_education						Work & Training
d11_work_experience						Work Experience

# These are title for prisoner's experiences in certain work field
experience_WorkCook						Cooking Experience
experience_WorkCleaner					Cleaning Experience
experience_WorkCraftsman				Craftsmanship Experience
experience_WorkLabourer					Labouring Experience
experience_WorkRCS						Customer Service Experience

experience_WorkReform                   Completing this program will increase the prisoner's work experience by 50% for the *X field.

# These are tooltips for each specific experience type 

experience_WorkCook_desc				Prisoners who have 50% experience in this field can directly work in kitchens, restaurants, or bakeries. A higher experience also increases their efficiency in associated jobs.
experience_WorkCleaner_desc				Prisoners gaining experience in this field will increase their efficiency in cleaning related jobs.
experience_WorkCraftsman_desc			Prisoners who have 50% experience in this field can directly work in the workshop, further experience also increases their efficiency.
experience_WorkLabourer_desc			Prisoners gaining experience in this field will increase their efficiency in manual labour jobs.
experience_WorkRCS_desc					Prisoners who have 50% experience in this field can directly take part in the Three Strikes program and service work, further experience also increases their efficiency in jobs related to customer service.

# Name of prisoner's previous jobs before going to jail
d11_cleaner								Cleaner
d11_craftsman							Craftsman
d11_labourer							Labourer
d11_RACS								Customer Service

# Hover tip explain prisoner's total work experience percentage *X will be replaced by a number .e.g 50
experiencefactor_FactorWorkExperience	Has *X% work experiences across all expertise

# =============================================================================
# Reform Menu
# =============================================================================

# Reform Menu Misc. Hints
d11_reform_reformation								Reformation

# Reform Menu Statistic Subtitles
d11_reform_average_reoffending_rate_x_days			Average Reoffending % (-*X Days)
d11_reform_average_punishment_grade					Average Punishment Grade
d11_reform_average_health_grade						Average Health Grade
d11_reform_average_security_grade					Average Security Grade
d11_reform_average_exp_grade						Average Work Experience Grade
d11_reform_average_reform_grade						Average Reform Grade
d11_reform_progrom_live								Live Reform Programs
d11_reform_program_places							Reform Program Places
d11_reform_program_attendance						Reform Program Attendance
d11_reform_program_pass_rate						Reform Program Pass Rate

# Design Info
d11_reform_released_prisoners_design_info			Once an inmate has been released from your prison you will be notified of their subsequent actions, depending on whether they reoffended or reformed and successfully found work. Your prison will be fined or rewarded respectively.

# Released Prisoners Page
d11_reform_prisoners_action_reformed				REFORMED!
d11_reform_prisoners_action_reoffended				REOFFENDED!
d11_reform_prisoners_action_reoffended_returned		*X was sent back to your prison.
d11_reform_prisoners_outcome_reformed				They found work in the town's *X.
d11_reform_prisoners_outcome_reoffended				They were arrested and will return to prison.
d11_reform_prisoners_outcome_reoffended_returned	Be careful as prisoners become more dangerous with increased stints.
d11_reform_reformed_prisoner_rewards				Reformed Prisoner Rewards (Yesterday)
d11_reform_reformed_reoffending_prisoner_fines		Reoffending Prison Fines (Yesterday)

#PC only
d11_reform_reoffending_stats_title				Reoffending % Statistics

d11_reform_initial_reoffending_chance				Initial Reoffending %:
d11_reform_current_reoffending_chance				Current Reoffending %
d11_reform_reoffending_chance_delta					Reoffending % Change:

# Outcomes
d11_reform_job_outcome_cook							Restaurant
d11_reform_job_outcome_cleaner						Cleaning Agency
d11_reform_job_outcome_craftsman					Factory
d11_reform_job_outcome_labourer						Construction Company
d11_reform_job_outcome_RAC							Shopping Mall
d11_reform_job_outcome_default						Post Office

# Reform Menu Misc.
d11_reform_required_reoffending_rate_title			Parole Cutoff %: 
d11_reform_no_prisoners_found						No prisoners found!

# =============================================================================
# Wage rating
# =============================================================================

d11_all_prisoner_wages					All prisoner wages
d11_report_policy_wage_hint				Higher wages motivate inmates to take part in prison labour and work related programs.
d11_wage								Wage
d11_adjust_wage_description				Prisoners are paid a wage for their participation in jobs around the prison.  Wages can be adjusted individually or globally for each job type. Higher wages motivate inmates to take part in prison labour and work related programs.
# =============================================================================
# Custom Intake
# =============================================================================

d11_intake_arrival_caption				Intake Arrival
d11_intake_arrival_tooltip				The standard time that a new intake of prisoners will arrive at the prison is 8 AM, this option allows you to customise this time to suit your prison’s needs.

d11_intake_restrictions_caption			Remove Intake Restrictions
d11_intake_restrictions_tooltip			Troublesome events such as prisoner riots or a staff strike will normally block prisoner intake until the next available day. This option will allow prisoners to be sent to your prison under any circumstances as long as there's a delivery area available).

# =============================================================================
# Reoffending Prisoners
# =============================================================================

#Reoffendering Prisoners
rapsheet_stint							Stint
reform_reward 							Prisoner Reformed Reward
help_warning_prisonerreleased					Reform Programs are key to prisoners successfully reintegrating into society. Some offenders will start successful new lives whilst others fall back into old ones and reoffend. Reformed prisoners will bring an additional cash reward but some prisoners who reoffend could return to your prison. Not only will you incur a fine for their failed rehabilitation, but they may also have picked up additional bad habits whilst on the outside.
finances_category_reformed					Reformed Prisoners
finances_category_reoffended					Reoffending Fines
finances_category_prisonerbonus					Prisoner Grant Bonus

# =============================================================================
# Labour Management Menu
# =============================================================================

d11_labour_management					Labour Management
d11_LabourManagementDescription         This menu provides you with control over the inmates allowed to work here, the labour times, along with quick guard deployment options.
d11_HighestSecurityLevel				Highest Security Level

d11_LabourManagement_RegimeActivity_hint          Select the available regime slots that customers are able to arrive in, between Work, Freetime or both.
d11_LabourManagement_HighestSecurityLevel_hint    The maximum security level of prisoners allowed to work here, unable to override the room's security sector.
d11_LabourManagement_MealType_hint                Customers will pay more for high quality and also be more satisfied, but higher quality requires longer cooking times.
d11_LabourManagement_GuardDeployment_hint         A quick way to assign guards to the area while civilians are present.


# =============================================================================
# Miscellaneous
# =============================================================================

#quantity per hour
d11_dollar_per_hour						$*X/ Hour

d11_incomplete							Incomplete

d11_restaurant_payment_desc             Civilian Commerce
finances_category_civilian_commerce     Civilian Commerce

d11_mealquality                    		Meal Quality

policy_staff_keys						Allow Staff Keys
d11_report_policy_staffKeys_hint		If enabled, all hired staff members will carry keys. \nWhilst this option, if selected, will improve efficiency within the prison \nit also introduces an additional security risk with more keys being in circulation.  

# PC - Only 
codex_new_uniformColour                 Uniform Colour
codex_new_defaultColour					Default Colour: 

# =============================================================================
# Uniform Colours - PC - Non Console translations only. 
# =============================================================================
uniform_color_1								Grey
uniform_color_2								Orange
uniform_color_3								Red
uniform_color_4								Yellow
uniform_color_5								Maroon
uniform_color_6								Black
uniform_color_7								White
uniform_color_9								Pink
uniform_color_10							Brown
uniform_color_11							Green
uniform_color_12							Blue
uniform_color_13							Sky Blue
uniform_color_14							Salmon
uniform_color_15							Velvet
uniform_color_16							Purple
uniform_color_17							Lime
uniform_color_18							Hot Pink
uniform_color_19							Aqua
uniform_color_20							Gun Metal
uniform_color_21							Sand
uniform_color_22							Burgundy
uniform_color_23							Slop
uniform_color_24							Acid
uniform_color_25							Storm
uniform_color_26							Violet
uniform_color_27							Dirt
uniform_color_28							Steel
uniform_color_29							Lilac
uniform_color_30							Egg Shell
uniform_color_31							Ocean
uniform_color_32							Gruel

# =============================================================================
# In Game Messaging for Shelby
#
#	Localization notes:
#	- objective_.. (IE: objective_WorkCredentials) is the same as objective_WorkCredentials_x_SubTitle
#		- only exception to this is the NewRooms ones, which for PC is a concatenation of for example, "objective_NewRooms_1_SectionTitle" + " - " + "objective_NewRooms_1_Subtitle"
#	- objective_WorkCredentials_1_Description on console is identical to objective_WorkCredentials_child_1_Description and objective_WorkCredentials_2_Description is identical to objective_WorkCredentials_child_2_Description
#	- d11_tooltip_.. on console is not used on PC
#
# =============================================================================

# Same as d11_todo_title_shelby on Console
objectiveWindow_FilterButton_2_title				About Second Chances

objectiveWindow_FilterButton_2_toolTip				Help and information relating to the new Second Chances DLC.


# Work Experience

objective_WorkExperience							Work Experience

objective_WorkExperience_child_1					Introduction to Work Experience
objective_WorkExperience_child_1_Description		Prisoners will now have work experience recorded, this can help them in reforming into model citizens and can also aid them in prison. For example, after gaining experience in a specific field prisoners will perform jobs associated with that field of work more efficiently than they would previously. Prisoners with 50% in Cooking, Craftmanship, or Customer Service can work any related jobs without completing the associated training. Prisoners will also achieve points toward their reoffending rate when reaching 50% and 100% experience in any field of work.   

objective_WorkExperience_child_2					How to Gain Work Experience
objective_WorkExperience_child_2_Description		There are 3 ways in which inmates can gain work experience: \n\nPre-existing Work Credentials - Prisoners up to the Maximum security level can possess work experience due to their previous occupations. \n\nTraining Programs - Inmates who complete 1 of the 3 training programs (Workshop Safety, Kitchen safety or Three Strikes Training) will gain 50% of the experience required in their respective field (Cooking, Craftsman or Customer Service respectively). \n\nPrison Labour - Any inmate taking part in labour jobs will gain experience in the relevant field every hour.

# New Rooms

objective_NewRooms									New Rooms

objective_NewRooms_child_2							New Rooms - Compatible Inmates
objective_NewRooms_child_2_Description				Inmates that possess the required experience in Customer Service or cooking will be able to work inside either the Bakery or Restaurant. The required experience level for both fields is 50%, which can be achieved by prisoners completing the appropriate training program.

objective_NewRooms_child_3							New Rooms - Managing these rooms
objective_NewRooms_child_3_Description				Labour Management is a sub menu within the Prison Labour Logistics. \n\nUsing this sub menu allows players to set the work hours for the room, along with the security level of the inmates permitted to work on the premises, the quality and speed of production and the number of guards deployed to the room. With the potential to have a substantial number of prisoners and civilians present, there is a chance that prisoners could turn violent in certain situations.

objective_NewRooms_child_9							The Restaurant Room - Customer Satisfaction
objective_NewRooms_child_9_Description				The number of customers that arrive is based on the prior group's satisfaction. Customers who don't get served will have low satisfaction, low quality meals will give a medium level of satisfaction, and high quality meals will give customers high satisfaction.

# Juvenile Correction Program

objective_ScaredStraight							Three Strikes Program

objective_ScaredStraight_child_1					How the Program Works
