# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	変更履歴
d11_staffalert_hint_AdvancedFarming02	食品の栽培、利用、保管に関する部屋はそれぞれ繋げることができ、これにより食材の供給を細かく管理できる。
d11_staffalert_hint_AdvancedFarming03	堆肥容器は、食品や植物の廃棄物を他の物質と一緒に堆肥へと無料で変換する。
d11_staffalert_hint_GreenEnergy01	未調整のグリーン電力が電気器具に直接繋がれている場合、停電の原因となる。
d11_staffalert_hint_GreenEnergy02	電池は、緊急使用または電力の出力用に未使用の電力を保管する。
d11_staffalert_hint_GreenEnergy03	電池は、発電所をはじめ、変換器に接続されたあらゆる電源を用いて充電できる。
d11_staffalert_tooltip_BasicFarming01	部屋を開く [[*X]]
d11_staffalert_tooltip_BasicFarming02	職員の雇用を開く [[*X]]
d11_staffalert_tooltip_BasicFarming03	アイテムを開く [[*X]]
d11_staffalert_tooltip_AdvancedFarming01	ポリシーを開く [[*X]]
d11_staffalert_tooltip_AdvancedFarming02	施設管理を開く [[*X]]
d11_staffalert_tooltip_AdvancedFarming03	アイテムを開く [[*X]]
d11_staffalert_tooltip_GreenEnergy01	ユーティリティ/電気を開く [[*X]]
d11_staffalert_tooltip_GreenEnergy02	ユーティリティ/電気を開く [[*X]]
d11_staffalert_tooltip_GreenEnergy03	ケーブルを開く [[*X]]
buildtoolbar_popup_mat_HayBailWall	高く積み上げられた干し草ロール。脆いためセキュリティとしては微妙。
buildtoolbar_popup_mat_WoodenFence	自然に溶け込む、手作りの木製の柵。
buildtoolbar_popup_mat_GardenWall	刑務所の境界線に彩りを与えてくれる。
buildtoolbar_popup_obj_TopiaryBushBall	球体の形をした観賞用の茂み。
buildtoolbar_popup_obj_SellUtility_01	配置された電気ケーブルを購入費用の85％で、手動で販売する方法。
buildtoolbar_popup_obj_SellUtility_02	配置された水道管を購入費用の85％で、手動で販売する方法。
buildtoolbar_popup_obj_SellObject	輸出アイテム、食材、および未使用または解体されたアイテムを購入費用の85％で、手動で販売する方法。
buildtoolbar_popup_obj_SellMaterial	ケーブルやレンガなどの大量の予備の建築資材を購入費用の85％で販売する。
buildtoolbar_popup_obj_SellFlooring	不要になった床板を購入費用の85％で販売する。
d11_meal_quantity_description	食事中に囚人が摂取できる食材の数を1から3の間で調整する。使用される食材の数が多いほど、囚人の食料需要がさらに満たされると同時に、現在の供給量に基づいて与えられる食材の数も増加する。
d11_meal_variety_description	"このオプションで食品の配達が行われる際に刑務所に送られる食材タイプの数をコントロールできる。このオプションを変更しても、食材の注文数には影響は出ず、食事が受刑者に与える効果にのみ影響する。	"
d11_meal_system_description	刑務所の食事システムは、4つの要因に基づいている。食事のオプション（種類や量）、現在の囚人の人数、1日の食事回数と保管されている食材の量である。ただし、外から買い付けた食材に比べ、刑務所で栽培された作物は摂取時に追加の需要ブーストをもたらし、囚人に「健康良好」のステータスを与える。
d11_IngredientRatio_hint	現在、保管庫内にある両方の食材タイプの数量を表示する
d11_meal_ingredients_count_per_meal_hint	現在の囚人数を養うために必要な一食分の食材の数。これは選択された食事オプションに基づいている。
d11_meal_ingredients_count_per_day_hint	現在の囚人数を養うために必要な食材の総数。これは選択された食事オプションに基づいている。
d11_crops_per_day_hint	過去24時間以内に購入した作物の数。
d11_imported_ingredients_cost_hint	過去24時間以内に購入した
delivered	すべての食材の総費用
d11_crop_cost_hint	過去24時間以内に購入した作物の合計金額
d11_meal_cost_per_meal_hint	選択された食事オプションと特権に基づいた囚人1人に食事を与える際の平均費用
d11_meal_cost_total_hint	食事オプションと現在の囚人数に基づいたすべての囚人に毎回食事を与えるために必要な総費用
d11_meal_estimated_price_hint	すべての囚人に食事を与えるために必要な推定総費用。この値は、それに影響を与える外部要因の数によってのみ推定できる。
including	種子の落下、作物の成長時間、作物収穫量の変化。
d11_GreenPower_Locked	この電源は、助成金メニューにあるグリーン電力目標によってアンロックされる。
d11_powerstation_overloaded_Raw_power	過負荷状態の未調整のグリーン電力は電気機器に接続できない。
D11_PowerExport_Error	予備電力を出力するために、ケーブルを介して変換器に接続する。
d11_powerexportmeter_powertosell	利用可能な電力出力： $*X
d11_PowerExport_PowerCap	電力出力上限：[*X]
buildtoolbar_popup_uts_Transformer	添付の矢印画像に示されている流れを使用して、グリーン電力源によって生成された電力を電気機器に適した電力に変換する。隣接する電池は、接続されたグリーン電力または発電所からの予備電力によって充電されるが、変換器の上限電力量は5000KWhまでとなっている。
buildtoolbar_popup_uts_PowerExportMeter	蓄積された電力をグリッドに送り返して経済的利益を得ることができるアイテム。正しく機能させるには、電池が接続された変換器にケーブルで接続する必要がある。
d11_continuous_fertilizer_tooltip	肥料の購入を自動的に行うかどうか、また購入する肥料の品質を選択する。
d11_crop_types_tooltip	自動購入される作物が自然な作物か遺伝子組み換えかを選択する。遺伝子組み換え作物は、成長が50%早いが、輸出時の値段も同じ比率で下がる。また、囚人が摂取した時の満腹ブーストも下がる。
d11_farm_search_freq_tooltip	農作業部屋はガサ入れの対象にはならないので、このオプションで農作業部屋を定期的に調査するかどうかを決める。
d11_farm_search_target_tooltip	農作業部屋はガサ入れの対象にはならないので、このオプションを使用して、「調査頻度」オプションで調査するアイテムまたはエンティティを決める。
d11_continuous_planting_tooltip	このオプションは、収穫後に同じ作物を植え替える作業を自動化する。これは林業における論理と同様である。
d11_researchhint_l_farming	この研究によって、様々な農作関連の機能やアイテムがアンロックされる。これに含まれるものとして、自動農作アイテム、高価な作物、堆肥容器や肥料関連のアイテム、食品庫、背の高い冷蔵庫の他に、囚人労働の仕事と作物の流通を管理する方法などがある。
object_quickconnect	クイック接続
objective_GoingGreenInfo_child_1	ゴーイング・グリーンの主要な特徴は以下の通りです：各小見出しにカーソルを合わせると、各特徴の概要と説明が表示されます。
d11_cropDistributionHint	右クリック：供給の管理
dlc_name_psychWard	精神病棟
dlc_name_prisonWing	移送用に撤去済み
dlc_name_seaAirLand	アイランドバウンド
dlc_name_greenMachine	ゴーイング・グリーン
interfacemode_objectType_filter_requiresWater	配管
interfacemode_objectType_filter_requiresElectricity	電子工学
interfacemode_objectType_filter_entertainment	娯楽
interfacemode_objectType_filter_rest	休憩
interfacemode_objectType_filter_exercise	運動
interfacemode_objectType_filter_decoration	装飾
interfacemode_objectType_filter_foliage	葉
interfacemode_objectType_filter_signs	サイン
interfacemode_objectType_filter_security	セキュリティ
interfacemode_objectType_filter_catering	ケータリング
interfacemode_objectType_filter_misc	その他
material_SellFlooring	フローリングの売却
object_farmer	農夫
object_OrganicWaste	有機廃棄物
object_CompostBin	堆肥容器
object_DumpObject	アイテムを捨てる
room_flowergarden	花壇
buildtoolbar_popup_room_Pantry	収穫したてのフルーツや野菜を保管するための部屋。刑務所で育った食材を保存しておくため、部屋は低温になっている。
buildtoolbar_popup_obj_Shed	種、道具、その他の農具を保管しておくエリア。水を引けるように水道も付いている。
buildtoolbar_popup_obj_CompostBin	食物や有機廃棄物を便利な肥料として再利用できるようにする。
buildtoolbar_popup_obj_PinkFlamingo	ガーデニング定番の明るい花。
buildtoolbar_popup_obj_BowtieBandit	かなりイカした奴
buildtoolbar_popup_obj_Shepherd	賢い娘は誰だ！？
buildtoolbar_popup_obj_DumpObject	刑務所内にアイテムを捨てる。
buildtoolbar_popup_uts_quickconnect	監視システムまたは自動化システムを最も近い受容アイテムに素早く接続する。
contraband_Ingredient	酒の材料
contraband_Kicker	酒キッカー
contraband_StashLocation	隠し場所
d11_crop_types_caption	農作物の種類
d11_farm_search_freq_option_3days	3日ごと
d11_farm_search_freq_option_5days	5日ごと
d11_farm_search_target_option_crops	農作物のみ
d11_farm_search_target_option_labourers	囚人労働
d11_crop_type_option_natural	自然な作物
d11_crop_type_option_GMO	遺伝子組み換え作物
Ingredients_UsageCaption	割合
researchtooltip_farming	高度な農作技術や農具だけでなく価値の高い作物もアンロックできる。
quickbuild_grove	林
quickbuild_flowerGarden	花壇
quickbuild_yard	中庭
quickbuild_hedgeMaze	生垣迷路
buildtoolbar_quickbuild_flowerGarden	囚人の憩いの場。
buildtoolbar_quickbuild_grove	土地を豊かにするために植える木。
buildtoolbar_quickbuild_hedgeMaze	囚人が探検できる生け垣で作られた簡単な迷路。
buildtoolbar_quickbuild_yard	囚人が必要なものが全て揃った標準的な中庭。
objective_target_ExportPower1	グリーン電力目標 3
objective_target_ExportPower1_description	電力出力上限が1000KWhに引き上げられた。
objective_target_ExportPower1_task	1000KWhの電力を出力する。
objective_target_ExportPower1_reward	グリーン電力目標 3を達成。
objective_target_ExportPower1_reward_text	電力出力上限が1000KWhに引き上げられた
objective_target_ExportPower2	グリーン電力目標 4
objective_target_ExportPower2_description	電力出力上限が2500KWhに引き上げられた。
objective_target_ExportPower2_task	2500KWhの電力を出力する。
objective_target_ExportPower2_reward	グリーン電力目標 4を達成。
objective_target_ExportPower2_reward_text	電力出力上限が2500KWhに引き上げられた
objective_target_ExportPower3	グリーン電力目標 5
objective_target_ExportPower3_description	電力出力上限が5000KWhに引き上げられた。
objective_target_ExportPower3_task	5000KWhの電力を出力する。
objective_target_ExportPower3_reward	グリーン電力目標 5を達成。
objective_target_ExportPower3_reward_text	電力出力上限が5000KWhに引き上げられた
interface_title_targets	グリーン電力目標
objective_HelpAdvancedFarming_child_3	肥料
objective_HelpGreenEnergy_child_3_description	変換前のグリーン電力の性質上、新たな種類のグリーン電力源を設置した場合、電力ケーブルを使って変換器と繋がなければ、電力として使用できない。\n\n変換器は、電力を使用可能な形に変換するだけでなく、接続されている電池も充電する。\n\n電池に蓄えられた電力は、緊急時の電力源のほかに、電力出力メーターを通せば新たな出力として使用できる。
objective_HelpGreenEnergy_child_5_description	グリーン電力に関する目標は助成金メニューから確認でき、目標を達成することで報酬を得ることできる。下記は報酬例の一部：\n\n1日あたりの電力出力量の上限を引き上げる\n新たな電力源をアンロックする\n購入済みのいずれかのグリーン電力源の稼働効率を上げる。
objective_HelpNarcoticProduction_child_2_description	一方、ドラッグ製造は穀物畑の1室内でのみ行われる。囚人は作物を細工し、ドラッグを隠して栽培しようとする。\n\n細工された作物は、鼻につくにおいが特徴なので、警察犬はこれを検知できる。しかし、この部屋はガサ入れの対象に含まれないので、調査を行う場合は手動で命じなくてはならない。調査を行うと、作物がダメージを受ける場合があるので注意。\n\n細工された作物が収穫される際、収穫したのが細工を行なった囚人である場合、麻薬も一緒に回収される。\n\nギャングは、穀物畑部屋を管理し、麻薬の生産をコントロールすることもできる。
objectiveWindow_FilterButton_0_title	タスク
objectiveWindow_FilterButton_1_title	ゴーイング・グリーン
objectiveWindow_FilterButton_0_tooltip	進行中のタスク
objectiveWindow_FilterButton_1_tooltip	ゴーイング・グリーンの主な機能を説明する情報の収集
escapemode_info_board	フェリーに乗る
reports_ingredients_usageTitle	自家製/外部購入食材の使用比率
object_OxStatue	牛の像
object_PaperDragonHead	竜（頭）
object_PaperDragonBody	竜（体）
object_PaperDragonTail	竜（尾）
object_PaperLantern	提灯
object_CoupletBanner	春聯
buildtoolbar_popup_obj_OxStatue	偉大なる牛の十二支像
buildtoolbar_popup_obj_PaperDragonHead	竜の頭の切り絵
buildtoolbar_popup_obj_PaperDragonBody	竜の体の切り絵
buildtoolbar_popup_obj_PaperDragonTail	竜の尻尾の切り絵
buildtoolbar_popup_obj_PaperLantern	刑務所を照らす赤提灯
buildtoolbar_popup_obj_CoupletBanner	対句の書かれた春聯
object_PinkFlamingo	ピンクフラミンゴ
object_HayBale	干し草ロール
object_FlowerPlanterWateringCan	フラワープランター（じょうろ）
object_FlowerPlanterWellies	フラワープランター（ウェリントン・ブーツ）
object_FlowerPlanterWheelbarrow	フラワープランター（手押し車）
object_SmallServingTable	配膳台（小）
object_TrayDispenser	トレイディスペンサー
object_SolarWallLight	壁掛け照明（太陽光）
buildtoolbar_popup_obj_HayBale	巨大な干し草ロールこそ、牧場の象徴だ。
buildtoolbar_popup_obj_FlowerPlanterWateringCan	花を収納できるシンプルな再利用コンテナ。
buildtoolbar_popup_obj_FlowerPlanterWellies	花を収納できる再利用ウェリントン・ブーツ。
buildtoolbar_popup_obj_FlowerPlanterWheelbarrow	屋外エリア用のカラフルなアイテム。
buildtoolbar_popup_obj_SmallServingTable	囚人に対して配膳を行う。
buildtoolbar_popup_obj_TrayDispenser	予備のフードトレイを保管するために使用される。最大容量は200。
buildtoolbar_popup_obj_SolarWallLight	壁に設置でき、夜間に自動的に点灯する太陽光式の照明。
object_FoodTrayPack	フードトレイパック
buildtoolbar_popup_obj_FoodTrayPack	40のフードトレイのパック。ダブルクリックまたは長押しで購入。
d11_staffalert_summary_BasicFarming03	他の作物とは異なり、果樹は継続的に果実を生み出すため、収穫のたびに植え替える必要はない。
d11_ingredients_crops_per_day_tooltip	過去24時間以内に購入した作物の数。

buildtoolbar_popup_mat_grasscornerfloor	汚れた芝生のコーナー。角度がついた通路に役立つ。
buildtoolbar_popup_mat_grasscornerfloor1	汚れた芝生のコーナー。角度がついた通路に役立つ。
buildtoolbar_popup_mat_grasscornerfloor2	汚れた芝生のコーナー。角度がついた通路に役立つ。
buildtoolbar_popup_mat_grasscornerfloor3	汚れた芝生のコーナー。角度がついた通路に役立つ。
buildtoolbar_Logistics_CropDistribution	収穫した作物を移動する部屋を管理します。また、「供給の管理」ウィンドウから供給の割合を変更することもできます。
d11_hover_alert_water	水が必要です
d11_hover_alert_electricity	電気が必要です
interfacemode_objectPack_filter_caption	関連するエキスパンションパックに基づいて、表示されるアイテムの数をフィルタリングします。
interfacemode_objectType_filter_caption	これらのアイテムの種類に基づいて、表示されるアイテムの数をフィルタリングします。
d11_powerstation_overloaded_two_stations	過負荷状態になっている。発電所は互いに接続してはならない。
buildtoolbar_deployment_PrioritizeFarmer	このオプションを使用して、刑務所周辺の他の人よりも先に、特定のエリアで仕事をするように農夫に優先順位を付けます。人数が不足している場合、農夫は最初に優先エリアで作業にあたります。 1～3人の農民を割り当てて、エリアに優先順位を付けます。
interfacetopbar_tooltip_totalFarmers	*X合計農夫数
interfacetopbar_tooltip_farmer	刑務所で働くことができる農夫の数。
d11_farm_search_target_option_everything	全て
interface_action_searchRoom	部屋の検索
mutator_name_Noir	ノワール
mutator_tooltip_Noir	刑務所からほとんどの色を取り除く黒ずんで汚れたフィルター。
mutator_name_RoofView	ルーフビュー
mutator_tooltip_RoofView	戦雲と似た影響を適用するが、「霧」の代わりに視界の悪いエリアの建物の屋根を表示する。
job_group_hovering_expand	クリックして類似の作業タイプを拡張する
job_group_hovering_collapse	クリックして類似の作業タイプを折りたたむ

buildtoolbar_popup_mat_grasscornerfloor	汚れた芝生のコーナー。角度がついた通路に役立つ。
d11_farm_search_freq_caption	調査頻度
d11_hover_quantity	x *X
interfacemode_objectType_filter_all	アイテムの種類：全ての種類
d11_farm_search_freq_option_never	なし
objective_HelpGreenEnergy_child_1_description	発電所の代わりに使えるグリーン電力源には以下の3つの種類がある。\n\n風力タービン\n太陽光パネル\n太陽光で動作する風力タービン\n最初は太陽光パネルのみが使用可能となっている。\n\nグリーン電力源は、種類によってパワー出力などの性質が若干異なるが、発電所とは違い、最大50基まで直列接続することが可能。
objective_HelpNarcoticProduction_child_1_description	特定の条件を満たした囚人は、アルコールを製造することができる。\n\n囚人は最初に、農作業部屋、厨房エリア、またはアクセス可能な自動販売機からアルコールの材料を回収する。\n\nそして夜に独房でこれらの材料をこしらえ、発酵させるために何日にも渡り隠しておく。
codex_options_staffalertscaption	スタッフアラート
report_policy_categoryTooltip_PrisonerTransfer	伝説級
roomgrading_has_pa_system	[*X]は独房棟にPAシステムを持っている
buildtoolbar_popup_mat_Water	小川、川、その他の通行できない水域を作成する。
d11_hover_quantity	x *X
interfacecallout_AirSoldiers	エアソルジャー
object_walkwaystairs	通路の階段（建設中）
buildtoolbar_popup_obj_walkwaystairs	警備員が通路を通って上から巡回できるよう、高くなった通路（壁の通路）の隣に配置する。
buildtoolbar_popup_mat_PerimeterWall	その下に水道管を設置することはできない。
d11_farm_search_target_caption	農作調査対象
d11_continuous_fertilizer_caption	持続型肥料
reports_farmingpolicytitle	農作に関する方針
Ingredients_UsageCaption_tooltip	刑務所で栽培された農産物と供給された食事用の食材の割合を調整する。保管量が十分でない場合は、食材が注文される。
report_target_rewards	[報酬]
report_target_progress	[進捗]
reform_program_and	そして
objective_intake_closedriot	暴動中は受け入れ不可
reputation_swimmer_high	スイマー
uniform_color_1	グレー
uniform_color_2	オレンジ
uniform_color_3	レッド
uniform_color_4	イエロー
uniform_color_5	マルーン
uniform_color_6	ブラック
uniform_color_7	ホワイト
uniform_color_9	ピンク
uniform_color_10	ブラウン
uniform_color_11	グリーン
uniform_color_12	ブルー
uniform_color_13	スカイブルー
uniform_color_14	サーモン
uniform_color_15	ベルベット
uniform_color_16	パープル
uniform_color_17	ライム
uniform_color_18	ホットピンク
uniform_color_19	青緑
uniform_color_20	青銅色
uniform_color_21	砂色
uniform_color_22	赤紫
uniform_color_23	抹茶色
uniform_color_24	カナリヤ色
uniform_color_25	鼠色
uniform_color_26	すみれ色
uniform_color_27	泥
uniform_color_28	鋼
uniform_color_29	ライラック
uniform_color_30	鳥の子色
uniform_color_31	海洋
object_TherapyAnimal	セラピー動物
object_TherapyAnimalContainer	セラピー動物のコンテナ
object_AnimalTherapist	アニマルセラピー
object_RestaurantCustomer	一般客
object_DisplayCounter	ディスプレイカウンター
object_RehabilitatedPrisoner	元受刑者
object_Oven	オーブン
object_DoughMixer	生地ミキサー
object_Dough	パン生地
object_BreadLoaf	食パン
object_BreadBun	ロールパン
object_Cake	ケーキ
object_Cupcake	カップケーキ
object_Baguette	フランスパン
object_CivilianChild	犯罪者
object_RestaurantMeal	レストランの食事
object_RestaurantIngredientsCooking	レストランの食事（調理）
object_RestaurantPlateDirty	皿（使用済み）
object_CakeStand	ケーキスタンド
object_GrassBridge	芝生の歩道橋
object_DiningTableLarge	ダイニングテーブル（大）
object_DiningTableSmall	ダイニングテーブル（小）
object_DinerBooth	ディナーブース
object_DiningChair	ダイニングチェア
object_SaloonDoor	スイングドア（ダブル）
object_OrnateLantern	飾りランタン
object_Chandelier	シャンデリア
object_WallPanel	壁板（赤）
object_WallPanelWood	壁板（木製）
object_WallPanelStone	壁板（石製）
object_WallPanelCorner_A	コーナー用壁板の Aタイプ（赤）
object_WallPanelWoodCorner_A	コーナー用壁板の Aタイプ（木製）
object_WallPanelStoneCorner_A	コーナー用壁板の Aタイプ（石製）
object_WallPanelCorner_B	コーナー用壁板の Bタイプ（赤）
object_WallPanelWoodCorner_B	コーナー用壁板の Bタイプ（木製）
object_WallPanelStoneCorner_B	コーナー用壁板の Bタイプ（石製）
object_ShopCounter	ショップカウンター
object_NoEntrySign	サイン（立ち入り禁止）
object_GymSign	サイン（ジム）
object_PhoneSign	サイン（電話）
object_RestaurantSign	サイン（レストラン）
object_BakerySign	サイン（ベーカリー）
object_VisitationSign	サイン（面会）
object_BakeryRawProduct	ベーカリーの生鮮食品
object_BakeryCookedProduct	ベーカリーのパン/菓子類
object_Flour	小麦粉
buildtoolbar_popup_obj_DisplayCounter	焼き菓子を保存するサービングユニット
buildtoolbar_popup_obj_Oven	焼き菓子作り専門のクッキングユニット
buildtoolbar_popup_obj_DoughMixer	小麦粉（と他の秘伝の材料）から焼き菓子用の生地を作る
buildtoolbar_popup_obj_CakeStand	美味しそうなスイーツが陳列されたスタンド
buildtoolbar_popup_obj_GrassBridge	道路を安全に通行できるように草で覆われた橋
buildtoolbar_popup_obj_DiningTableLarge	ワンランク上の食卓を演出する上質なテーブル
buildtoolbar_popup_obj_DiningTableSmall	ワンランク上の食卓を演出する上質なテーブル
buildtoolbar_popup_obj_DinerBooth	アメリカのクラシックダイナーをイメージしたブース席
buildtoolbar_popup_obj_DiningChair	ワンランク上の食卓を演出する上質な椅子
buildtoolbar_popup_obj_SaloonDoor	昔のバーをイメージした木製の両開きドア。
buildtoolbar_popup_obj_OrnateLantern	ワンランク上の空間を演出する上質なウォールランタン
buildtoolbar_popup_obj_Chandelier	ワンランク上の空間を演出する上質な天井照明
buildtoolbar_popup_obj_NoEntrySign	通行止めマークが描かれた壁面サイン
buildtoolbar_popup_obj_GymSign	ジムのマークが描かれた壁面サイン
buildtoolbar_popup_obj_PhoneSign	電話のマークの壁面サイン
buildtoolbar_popup_obj_RestaurantSign	レストランのマークが描かれた壁面サイン
buildtoolbar_popup_obj_BakerySign	ベーカリーのマークが描かれた壁面サイン
buildtoolbar_popup_obj_VisitationSign	面会のマークが描かれた壁面サイン
buildtoolbar_popup_obj_WallPanel	部屋のタイルを剥がすことなく独立した空間を作るために使用される低い個別の壁
buildtoolbar_popup_obj_WallPanelWood	部屋のタイルを剥がすことなく独立した空間を作るために使用される低い個別の壁
buildtoolbar_popup_obj_WallPanelStone	部屋のタイルを剥がすことなく独立した空間を作るために使用される低い個別の壁
buildtoolbar_popup_obj_WallPanelCorner_A	部屋のタイルを剥がすことなく独立した空間を作るために使用される壁面パネルのコーナーピース
buildtoolbar_popup_obj_WallPanelWoodCorner_A	部屋のタイルを剥がすことなく独立した空間を作るために使用される壁面パネルのコーナーピース
buildtoolbar_popup_obj_WallPanelStoneCorner_A	部屋のタイルを剥がすことなく独立した空間を作るために使用される壁面パネルのコーナーピース
buildtoolbar_popup_obj_WallPanelCorner_B	部屋のタイルを剥がすことなく独立した空間を作るために使用される壁面パネルのコーナーピース
buildtoolbar_popup_obj_WallPanelWoodCorner_B	部屋のタイルを剥がすことなく独立した空間を作るために使用される壁面パネルのコーナーピース
buildtoolbar_popup_obj_WallPanelStoneCorner_B	部屋のタイルを剥がすことなく独立した空間を作るために使用される壁面パネルのコーナーピース
buildtoolbar_popup_obj_ShopCounter	商品取引用のカウンターで、壁を設置する必要がないもの
room_Restaurant	レストラン
room_Bakery	ベーカリー
room_TherapyRoom	会議室
d11_restaurant_work	レストラン
d11_restaurant_work_desc	囚人をレストランの中で働かせ、一般のお客様のために料理を作り提供させる。ただし、調理または接客の実務経験が必要。
d11_bakery_work	ベーカリー
d11_bakery_work_desc	囚人をベーカリーの中で働かせ、一般のお客様のために焼き菓子を作らせる。ただし、調理または接客の実務経験が必要。
buildtoolbar_popup_room_TherapyRoom	アニマルセラピーセッションや元囚人とのディスカッションが行われる「安全な場所」
buildtoolbar_popup_room_Restaurant	料理や接客経験のある囚人は一般のお客様に料理を作って提供することができる。
buildtoolbar_popup_room_Bakery	料理や接客経験のある囚人はパンやケーキを作って一般のお客様に販売することができる。
quickbuild_Therapy	会議室
quickbuild_Restaurant	レストラン
quickbuild_Bakery	ベーカリー
quickbuild_Reception	受付
reformprogram_AnimalTherapy	アニマルセラピー
reformprogram_AnimalTherapy_text	受刑者は怒りを抑えられなかったり、マイナス思考に陥ったりすることがよくある。このセッションで受刑者が動物との絆を深めることにより、受刑者が冷静さを保ち、暴力沙汰になる前に我に返って状況を好転させられるだろう。
reformProgram_ConflictResolution	対立解決
reformProgram_ReformedPrisonerConsultation	更生受刑者相談プログラム
reformProgram_ReformedPrisonerConsultation_text	このプログラムには、服役中の受刑者の考え方を変える目的がある。更生した元受刑者を招き、これまでの経験や新たな人生について講演を行う。
reformProgram_juvenilecorrection	3ストライクプログラム
reformProgram_juvenilecorrection_text	受刑者を一般市民の「軽犯罪者」を交流させることで、両者に良い影響をもたらすことができる。これに参加するには、受刑者は訓練プログラムを完了しているか、適切なカスタマーサービスの経験を持っている必要がある。
reformProgram_socialtraining	3ストライク講習
reformProgram_socialtraining_text	受刑者がまったく関係のない一般市民と交流することを不安がる人も多いだろう。このプログラムでは、行動の善悪を教えると同時に、受刑者はカスタマーサービスの経験を積むことができる。
reformProgram_RehabilitatedPrisoner_text	この元受刑者は、更生して模範的な市民となり、刑務所の相談員として必死に更生に取り組んでいる他の受刑者たちをサポートしている。
reformProgram_Occupation	職場：
report_Sentences	刑期の調整
sentences_tooltip_onOff	このオプションを切り替えて、刑期調整をオン/オフにする。
sentences_tooltip_resetCriteria	調整基準値を刑務所の推奨値にリセットする。
sentences_tooltip_extensionValue	受刑者が基準に達した時点で、どれだけの期間の刑期を延長するかを選ぶ。
sentences_tooltip_reductionValue	受刑者が推奨基準に達した時点で、どれだけの期間の刑期を短縮するかを選ぶ。
sentences_description	行動基準を設けて受刑者の刑期を調整する。善良な行動をすれば刑期を短縮でき、悪行を行えば刑期が延長される。\n刑期の延長/短縮は同じ週に行うことができるが、どちらの調整も7日間のクールタイムが必要になる。
sentences_unavailable	N/A
reduction_caption	刑期の軽減値
extension_caption	刑期の延長値
adjustment_criteria	調整基準
goodBehaviour_DaysInLabour	労働日数
goodBehaviour_LoweredRate	再犯率の低下
sentences_resetCriteria	基準値のリセット
misconduct_tooltip_InjuredStaff	刑務所の職員に対し特定の回数の暴行を行った受刑者は、刑期延長の対象となる。
misconduct_tooltip_InjuredPrisoner	他の受刑者に対し特定の回数の暴行を行った受刑者は、刑期延長の対象となる。
misconduct_tooltip_SeriousInjury	特定の回数の深刻な負傷を負わせた受刑者は、刑期延長の対象となる。
misconduct_tooltip_Murder	刑務所内で特定の回数の殺人を犯した受刑者は、刑期延長の対象となる。
misconduct_tooltip_EscapeAttempt	特定の回数の脱獄を試みた受刑者は、刑期延期の対象となる。
goodBehaviour_tooltip_NoIncident	特定の日数の間に不祥事の報告が一切なかった受刑者は、刑期短縮の対象となる。
goodBehaviour_tooltip_ProgramsPassed	特定の数のプログラムに合格した受刑者は、刑期短縮の対象となる。
goodBehaviour_tooltip_DaysInLabour	連続で特定の日数の労働に従事した受刑者は、刑期短縮の対象となる。
goodBehaviour_tooltip_LoweredRate	再犯率を一定の数値まで低下させた受刑者は、刑期短縮の対象となる。
sentences_tooltip_criteriaMet	この数値を調整し、刑期調整のために受刑者が満たすべき基準を設定する。
work_and_education	労働＆訓練
d11_work_experience	実務経験
experience_WorkCook	調理経験
experience_WorkCleaner	清掃経験
experience_WorkCraftsman	工芸経験
experience_WorkLabourer	労働経験
experience_WorkRCS	カスタマーサービスの経験
experience_WorkReform	このプログラムを完了すると、*Xの分野で受刑者の実務経験値が50％上がる。
experience_WorkCook_desc	この分野で50％の経験値がある受刑者は、すぐに厨房、レストラン、ベーカリーで働くことができる。経験が豊富な受刑者ほど、効率的に仕事をこなすことができる。
experience_WorkCleaner_desc	受刑者がこの分野で経験を得ると、清掃関連の仕事での効率が上がる。
experience_WorkCraftsman_desc	この分野で50％の経験値がある受刑者は、すぐに作業室で働くことができる。また、経験を積むとさらに効率が上がる。
experience_WorkLabourer_desc	受刑者がこの分野で経験を得ると、肉体労働での効率が上がる。
experience_WorkRCS_desc	この分野で50％の経験値がある受刑者は、すぐに3ストライクプログラムに参加し、サービス業で働くことができる。さらに経験を積むと、カスタマーサービス系の仕事での効率が上がる。
d11_cleaner	クリーナー
d11_craftsman	職人
d11_labourer	労働者
d11_RACS	カスタマーサービス
experiencefactor_FactorWorkExperience	すべての専門分野で*X%の実務経験あり
d11_reform_average_reoffending_rate_x_days	平均再犯率（- *X日）
d11_reform_average_punishment_grade	平均懲罰等級
d11_reform_average_health_grade	平均健康等級
d11_reform_average_security_grade	平均セキュリティ等級
d11_reform_average_exp_grade	平均職歴等級
d11_reform_average_reform_grade	平均更生等級
d11_reform_progrom_live	ライブ更生プログラム
d11_reform_program_places	更生プログラム残席数
d11_reform_program_attendance	更生プログラム出席者
d11_reform_program_pass_rate	更生プログラム合格率
d11_reform_released_prisoners_design_info	刑務所から受刑者が出所すると、その後の受刑者の動向が報告される。受刑者が再犯に走ったか、更生して職を得たかにより、刑務所は罰金を課せられたり、報酬を獲得する。
d11_reform_prisoners_action_reformed	更生した！
d11_reform_prisoners_action_reoffended	再犯した！
d11_reform_prisoners_action_reoffended_returned	*X が刑務所に戻された。
d11_reform_prisoners_outcome_reformed	町の*Xで仕事を見つけた。
