
campaigncutscene_tooltip 				（クリックで次のチャプターをスタート）
credits_introversion                    - INTROVERSION SOFTWARE -
credits_introversion1                   クリス・ディレイ
credits_introversion2                   マーク・モリス
credits_introversion3                   ジョン・ノッテンベルト
credits_introversion4                   トーマス・アルンデル
credits_pa1                             プリズン・
credits_pa2                             アーキテクト


# =============================================================================
# MCExporter
# =============================================================================


codex_mcexport                          Minecraft用に刑務所をエクスポート
codex_mcexportname						Minecraftエクスポーター
codex_worldnametitle					ワールド名
codex_seedtitle							シード
codex_gamemodetitle						ゲームモード
codex_mapfeattitle						マップ機能
codex_cheatstitle						チート
codex_timeofdaytitle					時間
codex_rainingtitle						雨
codex_thunderingtitle					雷
codex_generatortitle					発電機
codex_scaletitle						サイズ
codex_exporttomc						エクスポート
codex_mcexport_default					デフォルト
codex_mcexport_flat						フラット
codex_mcexport_largebiomes				バイオーム（大）
codex_mcexport_survival					サバイバル
codex_mcexport_creative					クリエイティブ
codex_mcexport_adventure				アドベンチャー


# =============================================================================
# Escape Mode
# =============================================================================

escapemode_help_title                   脱獄：ここから出る唯一の方法
escapemode_help                         ステップ1：評判 - ここでは評判が何よりも物を言う\n\n• ケンカを始めて評判をアップさせよう。他人に怪我をさせるとかなりの評判になるが、まずは物を壊すところから始めてみよう。1回のケンカでできるだけ沢山の損害を与えよう。\n• 目撃者がいると厄介だ。ケンカしているところを看守に見られたら罰を受けることになる。それを避けるには看守を消すしかない。\n• ケンカに負けると評判を損なうことになる。なんとしかして勝つようにしよう。\n\nステップ２：チーム - 一緒に脱獄する仲間を見つけよう\n\n• 口笛で仲間を呼べば、どこにいても駆けつけてくれる（画面左上に表示されている仲間の名前をクリック）。\n• 仲間はケンカの際にも協力してくれる。それにより、さらに早く評判をアップさせることが可能になる。\n• 仲間に訓練させよう。ケンカが上手な仲間や足の速い仲間が近くにいれば、いつか必ず役に立つ時が来るはずだ。\n\nステップ3：禁制品 - 武器や道具は必ず必要になる。\n\n• 便利なアイテムが置かれた部屋を見つけよう。よく周りを見渡し、便利な物があれば盗もう。\n• 金属探知機や看守のボディーチェックには十分気をつけよう。何か持っているのが分かったら、それを没収されるだけでなく、隔離棟にブチ込まれてしまう。\n• 見つけたアイテムは自分もしくは他人の独房に隠そう。どこに隠したのかをくれぐれも忘れないように。\n\nステップ4：トンネル - 誰にも気づかれずに抜け出す方法\n\n• 穴掘りツールを使って、独房内のトイレの位置からトンネルを掘り始めよう。\n• トンネルを掘るのには時間がかかる。チームの仲間に手伝ってもらおう。\n• トンネルに出入りするところを看守に見られたら大変なことになる。十分に気をつけよう。\n\nさあ、頑張ろう。検討を祈る！

codex_escapemode                        脱獄モード
codex_escapemode_developer              （開発）脱獄モード
codex_escapemode_new                    脱獄チャレンジを開始
codex_escapemode_load                   脱獄チャレンジをロード
codex_escapemode_save                   脱獄チャレンジを保存
codex_escapemode_workshop               脱獄モード（Steamワークショップ）
codex_escapemode_workshop_star_rating   *Sつ星かそれ以上

escapemode_combat_attack                攻撃
escapemode_combat_attack_button         左クリック
escapemode_combat_lunge                 突進
escapemode_combat_lunge_button          Shift
escapemode_dig_button                   左クリック＆ホールド
escapemode_dig                          掘る
escapemode_surrender                    降参
escapemode_surrender_safe               ケンカを終える
escapemode_surrender_button             Space

escapemode_helpletter                   ヘルプ

escapemode_reputation_points            評判ポイント：
escapemode_reputations_cost             *C評判ポイント
escapemode_reputations_max              最大

escapesquad_squad_member                チームメンバー
escapesquad_recruitment                 右クリック＆ホールドで仲間に入れる
escapesquad_recruitment_cost            必要評判ポイント：*C
escapesquad_toggle_follow               コピーモード切り替え
escapesquad_nameplate_following         コピー中
escapesquad_skip_punishments            罰をスキップ
escapesquad_skip_punishments_tooltip    評判ポイントを使うと、チームメンバー全員が罰を受けることなく就寝し、独房で目を覚ますことができる。
escapesquad_sleep                       寝る
escapesquad_sleep_tooltip               クリックして朝まで寝る
escapesquad_reputations                 評判
escapesquad_reputations_tooltip         評判ポイントを払って評判をアップさせ、チームのケンカ能力を向上させよう。
escapesquad_follow_mode                 コピーモード
escapesquad_follow_mode_tooltip         コピーモード中の受刑者は君の後をついて回り、悪い行いを真似する。\n\nRを押すとすべての受刑者に対して一度にコピーモードを切り替えることができる。
escapesquad_remove_member               メンバーを除外
escapesquad_remove_member_tooltip       クリックしてこのメンバーをチームから除外
escapesquad_escaped                     脱獄成功

escapemode_sprint_unlock                \n\n[Shift]を押し続けると、スプリントがアンロックされる。スプリントは戦闘中のみ使用可能だ。

escapemode_info_right_click             右クリック
escapemode_info_hold_right_click        右クリック＆ホールド
escapemode_info_stash                   で禁制品を隠す
escapemode_info_pick_up                 で禁制品を拾う
escapemode_info_start_tunnel            でトンネルを掘り始める
escapemode_info_enter_tunnel            でトンネルに入る
escapemode_info_exit_tunnel             でトンネルから出る
escapemode_info_dig_up                  で掘り出す
escapemode_info_steal                   で盗む

escapemode_info_tool                    [穴掘りツール]
escapemode_info_damage                  ダメージ：*D
escapemode_info_recharge                充電時間：*T

escapemode_gameover                     Game Over
escapemode_gameover_squad_title         チーム
escapemode_gameover_casualties_title    犠牲者
escapemode_gameover_totalscore_title    合計スコア
escapemode_gameover_totaltime_title     かかった時間
escapemode_gameover_time_days           *D日*H時間*M分
escapemode_gameover_time                *H時間*M分

codex_workshop_select_random_prison     Workshopのランダムな刑務所
codex_workshop_searching                検索中


# =============================================================================
# Warden Mode
# =============================================================================

codex_wardenmode_debugstart             刑務所長モード開始

buildtoolbar_inventory                  インベントリ
buildtoolbar_tooltip_inventory          ショートカット: (TAB)\n\n刑務所長のインベントリと身辺警護隊を管理。

wardenmode_combat                       正当防衛承認
wardenmode_combat_caption               凶暴な受刑者から自分の身を守ることができる

wardenmode_combatwarning                正当防衛不承認
wardenmode_combatwarning_caption        正当防衛の行為でなければ、受刑者に危害を加えてはいけない

wardenmode_info_pick_up                 拾う

wardensquad_wardenprotection            刑務所長保護
wardensquad_recruitment_cost            1日の費用: +$*C
wardensquad_nameplate_following         随行モード
wardensquad_remove_member               刑務所長保護の解除
wardensquad_remove_member_tooltip       クリックすると、身辺警護隊からこの看守を削除できる。\nこれにより、1日$*C節約できる。


# =============================================================================
# Collectables
# =============================================================================


codex_gamebible                         ゲームガイド
codex_gamebible_next                    →
codex_gamebible_prev                    ←
codex_gamebible_singlepage              *Xページ
codex_gamebible_doublepage              *X〜*Yページ
object_collectable                      ノートのページ

