# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Kompletter Changelog
d11_meal_cost_per_meal_hint	Durchschnittliche Kosten für die Ernährung eines Häftlings im Bezug auf die ausgewählten Mahlzeitoptionen und Privilegien.
d11_meal_cost_total_hint	Gesamtkosten für die Ernährung eines Häftlings pro Mahlzeit im Bezug auf die Mahlzeitoptionen und die aktuelle Anzahl der Insassen.
d11_meal_estimated_price_hint	Geschätzte Gesamtkosten, die erforderlich sind, um jeden Gefangenen zu ernähren. Dieser Wert kann aufgrund der Anzahl der externen Faktoren, die ihn beeinflussen, nur geschätzt werden 			Saat-Drops, Wachstumsdauer von Nutzpflanzen und geänderte Nutzpflanzen-Erträge.
d11_GreenPower_Locked	Diese Stromquelle wird durch das Ziel umweltfreundlicher Energie im Zuschussmenü freigeschaltet.
d11_powerstation_overloaded_Raw_power	Übermäßig geladener und unverarbeiteter grüner Strom kann nicht an elektronische Geräte angeschlossen werden.
D11_PowerExport_Error	Mit Kabeln an ein Umspannwerk verbinden, um überschüssige Energie zu exportieren.
d11_powerexportmeter_powertosell	"Verfügbar für Export: $*X"
d11_PowerExport_PowerCap	Export-Obergrenze: [*X]
buildtoolbar_popup_uts_Transformer	Wandelt elektrischen Strom, der durch erneuerbare Energiequellen generiert wurde, in gerätefreundliche Energie um. Der Strom muss in die Richtung fließen, die auf den Pfeil-Abbildungen zu sehen ist. Die dazugehörigen Batterien werden mit überschüssiger Energie aus erneuerbaren Quellen oder Elektrizitätswerken aufgeladen, allerdings haben Umspannwerke eine Einspeisungsgrenze von 5000 Einheiten.
buildtoolbar_popup_uts_PowerExportMeter	Ein Objekt, mit dem Sie gespeicherte Energie wieder ins Netz einspeisen können, um finanzielle Erträge zu erzielen. Muss mit Kabeln an ein Umspannwerk mit angeschlossenen Batterien verbunden werden, um korrekt zu funktionieren.
d11_continuous_fertilizer_tooltip	Wählen Sie, ob Sie Dünger automatisch kaufen möchten, wählen Sie außerdem die Qualität des Düngers.
d11_crop_types_tooltip	Wählen Sie, ob Ihre automatisch gekauften Pflanzen natürlich oder gentechnisch verändert sein sollen. Gentechnisch veränderte Nutzpflanzen haben eine um 50 % kürzere Wachstumszeit, senken aber auch ihren Exportpreis um den gleichen Betrag. Es gibt zudem keinen Bedürfnisse-Boost, wenn sie von Gefangenen konsumiert werden.
d11_farm_search_freq_tooltip	Da Landwirtschaftsräume von Razzien nicht erfasst werden, können Sie diese Option nutzen um zu entscheiden, ob in diesen Landwirtschaftsräumen regelmäßig Durchsuchungen stattfinden sollen.
d11_farm_search_target_tooltip	Da Landwirtschaftsräume von Razzien nicht erfasst werden, können Sie diese Option nutzen um zu entscheiden, welche Gegenstände oder Objekte mithilfe der Option Durchsuchungshäufigkeit inspiziert werden.
d11_continuous_planting_tooltip	Mit dieser Option werden dieselben Nutzpflanzen nach der Ernte automatisch wieder eingepflanzt, ähnlich wie im Forstbetrieb.
d11_researchhint_l_farming	Mit dieser Forschung werden zahlreiche landwirtschaftliche Funktionen freigeschaltet, darunter: automatisierte Landwirtschaftsgegenstände, die Objekte Komposttonne und Dünger, der Raum Vorratskammer und das Objekt Großer Kühlschrank, aber auch Aufgaben im Bereich der Gefängnisarbeit und Methoden zur Kontrolle der Verteilung von Nutzpflanzen.
object_quickconnect	Schnellverbindung
objective_GoingGreenInfo_child_1	Die Hauptfunktionen der Grünen Initiative sind nachstehend aufgelistet; sobald Sie den Mauszeiger über die einzelnen Einträge bewegen, werden deren detaillierte Beschreibungen eingeblendet.
d11_cropDistributionHint	Rechtsklick: Verteilung steuern
d11_manageCropsInstructions	Sie können einen Prozentsatz anklicken, um ihn zu sperren und andere Räume daran zu hindern, den Betrag zu ändern. Andernfalls verwenden Sie die Pfeile, um die Prozentsätze zu ändern, wobei der Gesamtbetrag pro Pflanze für alle angeschlossenen Räume auf 100 % begrenzt ist.
dlc_name_seaAirLand	Inselgebunden
dlc_name_greenMachine	Grüne Initiative
interfacemode_objectType_filter_requiresWater	Sanitärinstallation
interfacemode_objectType_filter_requiresElectricity	Elektronik
interfacemode_objectType_filter_entertainment	Unterhaltung
interfacemode_objectType_filter_rest	Ruht sich aus
interfacemode_objectType_filter_exercise	Training
interfacemode_objectType_filter_decoration	Dekoration
interfacemode_objectType_filter_foliage	Begrünung
interfacemode_objectType_filter_signs	Schilder
interfacemode_objectType_filter_security	Sicherheit
interfacemode_objectType_filter_catering	Verpflegung
interfacemode_objectType_filter_misc	Diverses
material_SellFlooring	Bodenbelag verkaufen
object_AdvancedAutoGatherer	Fortschrittlicher Auto-Sammler
object_farmer	Farmer
object_OrganicWaste	Bio-Abfall
object_CompostBin	Komposttonne
object_DumpObject	Objekt entsorgen
room_flowergarden	Blumengarten
buildtoolbar_popup_room_Pantry	Ein Raum zur Lagerung von frisch geerntetem Obst und Gemüse. Der Raum wird gekühlt, um die im Gefängnis geernteten Zutaten frisch zu halten.
buildtoolbar_popup_obj_Shed	Ein Bereich zur Aufbewahrung von Saatgut, Werkzeug und anderem Gerät für die Landwirtschaft. Mit angeschlossener Wasserversorgung für grundlegende Bewässerung.
buildtoolbar_popup_obj_AdvancedAutoGatherer	Wird alle 6 Stunden aktiviert, um alle Zutaten in einem Bereich von 10x10 zu sammeln und zu lagern.
buildtoolbar_popup_obj_CompostBin	Für die Umwandlung von Nahrungsmitteln und organischem Abfall in nützlichen Dünger.
buildtoolbar_popup_obj_PinkFlamingo	Ein heiterer Gartenklassiker.
buildtoolbar_popup_obj_BowtieBandit	Ein stylisher Typ.
buildtoolbar_popup_obj_Shepherd	WER IST MEIN KLUGES MÄDCHEN!?
buildtoolbar_popup_obj_DumpObject	Legen Sie Objekte in Ihrem Gefängnis ab.
buildtoolbar_popup_staff_farmer	Überwacht das Wachstum der Nutzpflanzen und steuert alle Arbeiten auf dem Gemüsebeet, im Obstgarten oder auf dem Farmfeld.
buildtoolbar_popup_uts_quickconnect	Verbindet schnell jedes Überwachungs- oder Automatisierungssystem mit dem nächstgelegenen Empfängerobjekt.
contraband_Ingredient	Schnapszutat
contraband_Kicker	Schnaps-Kicker
contraband_StashLocation	Versteck-Standort
d11_crop_types_caption	Typ der Nutzpflanze
d11_farm_search_freq_option_3days	Alle 3 Tage
d11_farm_search_freq_option_5days	Alle 5 Tage
d11_farm_search_target_option_crops	Nur Nutzpflanzen
d11_farm_search_target_option_labourers	Arbeiter-Häftlinge
d11_crop_type_option_natural	Natürliche Nutzpflanzen
d11_crop_type_option_GMO	Genetisch manipulierte Nutzpflanzen
Ingredients_UsageCaption	Verhältnis
researchtooltip_farming	Fortschrittliche Landwirtschaftstechnologien und Ausrüstung sowie teurere Nutzpflanzen werden freigeschaltet.
objective_target_ExportPower1	3. Ziel umweltfreundlicher Energie
objective_target_ExportPower1_description	Die Obergrenze für den Stromexport wird auf 1000 Einheiten erhöht.
objective_target_ExportPower1_task	Exportieren Sie 1000 Einheiten Energie.
objective_target_ExportPower1_reward	3. Ziel umweltfreundlicher Energie abgeschlossen.
objective_target_ExportPower1_reward_text	Die Obergrenze für den Stromexport wurde auf 1000 Einheiten erhöht.
objective_target_ExportPower2	4. Ziel umweltfreundlicher Energie
objective_target_ExportPower2_description	Die Obergrenze für den Stromexport wird auf 2500 Einheiten erhöht.
objective_target_ExportPower2_task	Exportieren Sie 2500 Einheiten Energie.
objective_target_ExportPower2_reward	4. Ziel umweltfreundlicher Energie abgeschlossen.
objective_target_ExportPower2_reward_text	Die Obergrenze für den Stromexport wurde auf 2500 Einheiten erhöht.
objective_target_ExportPower3	5. Ziel umweltfreundlicher Energie
objective_target_ExportPower3_description	Die Obergrenze für den Stromexport wird auf 5000 Einheiten erhöht.
objective_target_ExportPower3_task	Exportieren Sie 5000 Einheiten Energie.
objective_target_ExportPower3_reward	5. Ziel umweltfreundlicher Energie abgeschlossen.
objective_target_ExportPower3_reward_text	Die Obergrenze für den Stromexport wurde auf 5000 Einheiten erhöht.
interface_title_targets	Ziele umweltfreundlicher Energie
objective_HelpBasicFarming_child_3	Eigenschaften der Nutzpflanzen
objective_HelpBasicFarming_child_3_Description	Jeder der 3 Haupttypen der Nutzpflanzen hat unterschiedliche Eigenschaften. Sowohl Getreide als auch Gemüse bringen nur einen einzigen Ertrag ein und müssen nach der Ernte neu gepflanzt werden, Obstbäume aber tragen kontinuierlich Früchte. \n\nAlle 3 Typen können für den Export verkauft werden, jedoch können nur Obst und Gemüse für Mahlzeiten verwendet werden.
objective_HelpBasicFarming_child_4	Vorteile der Nutzpflanzen
objective_HelpBasicFarming_child_5	Lager für Zutaten
objective_HelpAdvancedFarming_child_2	Verteilung von Nutzpflanzen
objective_HelpAdvancedFarming_child_2_Description	Mit dieser neuen Logistikfunktion können Spieler auswählen, wohin die geernteten Nutzpflanzen gebracht werden, aber auch das Verhältnis dieser Verteilung. \n\nSpieler haben auch die Wahl bei der Verbindung zwischen Vorratskammern und Küchen, obwohl die Verbindungen basierend auf der Entfernung automatisch generiert werden, wenn diese Aktion nicht verwendet wird.
objective_HelpAdvancedFarming_child_3	Dünger
objective_HelpAdvancedFarming_child_3_Description	Es gibt zwei Dünger-Gegenstände: Kompost-Dünger und Hochwertiger Dünger. Beide können verwendet werden, um das Wachstumstempo der Nutzpflanzen zu steigern und um mit einer gewissen Wahrscheinlichkeit Saatgut bei der Ernte zu produzieren. \n\nHochwertiger Dünger hat größere Effekte als Kompost, ist allerdings teurer. Die Kompostalternative ist dagegen billiger und kann in der Anstalt mithilfe des Gegenstands Komposttonne produziert werden; mithilfe von Pflanzen- und Lebensmittelabfall-Gegenständen.
objective_HelpAdvancedFarming_child_4	Automatische Landwirtschaft
objective_HelpAdvancedFarming_child_4_Description	Es gibt 3 landwirtschaftliche Arbeiten, die mithilfe von Gegenständen automatisiert werden können. Dabei handelt es sich um die Bewässerung von Nutzpflanzen, die Ernte von Nutzpflanzen und das sammeln der geernteten Nutzpflanzen.
objective_HelpGreenEnergy_child_1	Typen Umweltfreundlicher Energie
objective_HelpGreenEnergy_child_2	Wettereffekte
objective_HelpGreenEnergy_child_3	Umspannwerke & Batterien
objective_HelpGreenEnergy_child_3_description	Aufgrund der Eigenschaften von unverarbeiteter umweltfreundlicher Energie muss jede neue Energiequelle über elektrische Kabel an ein Umspannwerk angeschlossen werden, bevor ihre Leistung für elektrische Geräte genutzt werden kann. \n\nDas Umspannwerk selbst wandelt nicht nur rohe umweltfreundliche Energie in eine nutzbare Energieform um, sondern er kann auch alle angrenzenden Batterieeinheiten aufladen. \n\nDie in den Batterieteilen gespeicherte Energie kann sowohl zur Notstromversorgung als auch als Neuexport über den Stromexport-Messer genutzt werden.
objective_HelpGreenEnergy_child_4	Stromexport
objective_HelpGreenEnergy_child_5	Ziele umweltfreundlicher Energie
objective_HelpGreenEnergy_child_5_description	Eine bestimmte Anzahl von Zielen der umweltfreundlichen Energie findet man im Zuschüsse-Menü. Werden diese Ziele erreicht, erhält man Belohnungen. Diese umfassen:\n\n- Anhebung des Tageslimits für den Stromexport \n- Freischaltung weiterer Energiequellen \n- Steigerung der Leistung aller erworbenen umweltfreundlichen Energiequellen.
objectiveWindow_FilterButton_0_title	Aufgaben
objectiveWindow_FilterButton_1_title	Grüne Initiative
objectiveWindow_FilterButton_0_tooltip	Laufende Aufgaben
objectiveWindow_FilterButton_1_tooltip	Eine Sammlung von Information über die wesentlichen Merkmale der Grünen Initiative
escapemode_info_board	Fähre besteigen
reports_ingredients_usageTitle	Anteil der verwendeten frischen / importierten Zutaten
objective_HelpEnvironmentallyFriendly	Umweltfreundlich
object_OxStatue	Ochsenstatue
object_PaperDragonHead	Drachenkopf
object_PaperDragonBody	Drachenkörper
object_PaperDragonTail	Drachenschwanz
object_PaperLantern	Papierlaterne
object_CoupletBanner	Gedicht-Banner
buildtoolbar_popup_obj_OxStatue	Eine Tierkreisstatue, die den mächtigen Ochsen darstellt
buildtoolbar_popup_obj_PaperDragonHead	Ein Papierschnitt eines Drachenkopfes
buildtoolbar_popup_obj_PaperDragonBody	Ein Papierschnitt eines Drachenkörpers
buildtoolbar_popup_obj_PaperDragonTail	Ein Papierschnitt eines Drachenschwanzes
buildtoolbar_popup_obj_PaperLantern	Eine dekorative rote Papierlaterne, um Licht in Ihr Gefängnis zu bringen
buildtoolbar_popup_obj_CoupletBanner	Ein dekoratives Banner mit chinesischen Gedichten
object_PinkFlamingo	Rosa Flamingo
object_HayBale	Heuballen
object_FlowerPlanterWateringCan	Blumenbeet (Gießkanne)
object_FlowerPlanterWellies	Blumenbeet (Gummistiefel)
object_FlowerPlanterWheelbarrow	Blumenbeet (Schubkarre)
object_SmallServingTable	Serviertisch (klein)
object_TrayDispenser	Tablettwagen
object_SolarWallLight	Wandleuchte (Solar)
buildtoolbar_popup_obj_HayBale	Nichts schreit lauter BAUERNHOF, als ein großer Ballen Heu.
buildtoolbar_popup_obj_FlowerPlanterWateringCan	Ein einfacher Behälter, der jetzt als Blumenbeet dient.
buildtoolbar_popup_obj_FlowerPlanterWellies	Ein umfunktioniertes Paar Gummistiefel, das jetzt als Blumenbeet dient.
buildtoolbar_popup_obj_FlowerPlanterWheelbarrow	Eine farbenfrohe Ergänzung für Ihre Außenbereiche.
buildtoolbar_popup_obj_SmallServingTable	Verteilen Sie Essen an Ihre Häftlinge.
buildtoolbar_popup_obj_TrayDispenser	Aufbewahrung für nicht verwendete Tabletts mit einer max. Kapazität von 200.
buildtoolbar_popup_obj_SolarWallLight	Eine solarbetriebene Lampe, die an Wänden angebracht werden kann und sich nachts automatisch einschaltet.
object_FoodTrayPack	Tablettpaket(e)
buildtoolbar_popup_obj_FoodTrayPack	Ein Paket mit 40 Tabletts – Zum Kaufen Doppelklicken / Halten.
d11_ingredients_crops_per_day_tooltip	Anzahl der in den letzten 24 Stunden gekauften Nutzpflanzen.
buildtoolbar_popup_mat_grasscornerfloor	Eine Grasecke mit Dreck. Ideal für verwinkelte Wege.
buildtoolbar_popup_mat_grasscornerfloor1	Eine Grasecke mit Dreck. Ideal für verwinkelte Wege.
buildtoolbar_popup_mat_grasscornerfloor2	Eine Grasecke mit Dreck. Ideal für verwinkelte Wege.
buildtoolbar_popup_mat_grasscornerfloor3	Eine Grasecke mit Dreck. Ideal für verwinkelte Wege.
buildtoolbar_Logistics_CropDistribution	Bestimmen Sie, in welche Räume geerntete Nutzpflanzen gebracht werden und ändern Sie bei Bedarf die prozentualen Anteile der Verteilung im Menüfenster Verteilung steuern.
d11_hover_alert_water	Benötigt Wasser
d11_hover_alert_electricity	Benötigt Elektrizität
interfacemode_objectPack_filter_caption	Filtert die Menge der angezeigten Objekte nach dem dazugehörigen Erweiterungspaket.
interfacemode_objectType_filter_caption	Filtert die Menge der angezeigten Objekte nach Objekttyp.
d11_powerstation_overloaded_two_stations	– Überlastet; Kraftwerke dürfen nicht miteinander verbunden werden
buildtoolbar_deployment_PrioritizeFarmer	Verwenden Sie diese Option, damit Farmer bei ihrer Arbeit bestimmte Trakte in Ihrem Gefängnis priorisieren. Wenn Sie zu wenig Personal haben, werden die Farmer versuchen, die priorisierten Bereiche zuerst abzudecken. Wählen Sie 1, 2 oder 3 Farmer aus, um einen Bereich zu priorisieren.
interfacetopbar_tooltip_totalFarmers	*X Farmer insgesamt
interfacetopbar_tooltip_farmer	Wie viele Farmer Ihnen zur Verfügung stehen.
d11_farm_search_target_option_everything	Alles
interface_action_searchRoom	Raum suchen
mutator_name_Noir	Noir
mutator_tooltip_Noir	Ein dunkler und schmutziger Filter, der die meisten Farben aus Ihrem Gefängnis entfernt.
mutator_name_RoofView	Dachansicht
mutator_tooltip_RoofView	Wendet einen Effekt an, der dem Nebel des Krieges ähnelt, zeigt aber in Bereichen mit schlechter Sicht statt des „Nebels“ die Dächer der Gebäude an.
job_group_hovering_expand	Klicken, um ähnliche Arbeitstypen einzublenden
job_group_hovering_collapse	Klicken, um ähnliche Arbeitstypen auszublenden
d11_hover_quantity	x *X
dlc_name_psychWard	Psychologische Abteilung
interfacemode_objectType_filter_all	Objekttyp: alle Typen
d11_farm_search_freq_option_never	Nie
objective_HelpGreenEnergy_child_1_description	Es gibt drei neue umweltfreundliche Energiequellen, mit denen das Elektrizitätswerk ersetzt werden kann.\n\nWindkraftanlagen \nSolarpaneele \nSolar-betriebene Windkraftanlagen \nNur Solarpaneele sind am Anfang verfügbar. \n\nJede der drei umweltfreundlichen Energiequellen hat etwas unterschiedliche Eigenschaften, darunter auch die Ausgabeleistung. Im Gegensatz zu Elektrizitätswerken können diese Energiequellen allerdings zu einem Netz von bis zu 50 Gegenständen miteinander verbunden werden.
objective_HelpNarcoticProduction_child_1	Produktion von Alkohol
objective_HelpNarcoticProduction_child_1_description	Häftlinge, die bestimmte Bedingungen erfüllen, können ihren eigenen Alkohol herstellen. \n\nZunächst müssen sie Alkohol-Zutaten in den Farmräumen, Küchenbereichen oder an beliebigen Verkaufsautomaten, zu denen sie Zugang haben, beschaffen. \n\nDann bereiten sie diese Zutaten nachts in ihren Zellen auf, bevor sie den Braualkohol für einige Tage zur Gärung einlagern.
objective_HelpNarcoticProduction_child_2	Produktion von Drogen
objective_HelpNarcoticProduction_child_2_description	Die Drogenproduktion hingegen läuft nur in einem einzigen Raum ab, dem Farmfeld. Die Insassen werden versuchen, die dort wachsenden Kulturen zu manipulieren, um anbaufähige Drogen zu verstecken. \n\nDie so manipulierten Pflanzen werden die Eigenschaft „Riechend“ haben und können daher von Wachhunden entdeckt werden. Diese Bereiche werden bei Razzien allerdings nicht erfasst und müssen daher mit einem manuellen Durchsuchungsbefehl durchsucht werden. Bei einer solchen Durchsuchung besteht allerdings eine gewisse Wahrscheinlichkeit, dass Nutzpflanzen beschädigt werden. \n\nWerden diese Nutzpflanzen geerntet, dann werden auch die Drogen eingebracht, wenn der richtige Insasse die Ernte durchführt. \n\nGangs sind auch in der Lage, die Kontrolle über die Farmfeld-Räume zu übernehmen. Auf diese Weise können sie sich die Kontrolle über die Produktion von Narkotika sichern.
codex_options_staffalertscaption	Personalalarme
reports_farmingpolicytitle	Landwirtschaftsrichtlinien
report_policy_categoryTooltip_PrisonerTransfer	LEGENDÄR
roomgrading_has_pa_system	[*X] hat ein Beschallungssystem im Zellenblock
buildtoolbar_popup_mat_Water	Kreieren Sie Bäche, Flüsse und andere unpassierbare Wasserflächen.
interfacecallout_AirSoldiers	Luftsoldaten
object_walkwaystairs	Gehwegtreppe (WIP)
buildtoolbar_popup_obj_walkwaystairs	Platzieren Sie Treppen neben erhöhten Gehwegen (Mauerwegen), um den Wachen Patrouillengänge auf ihnen zu ermöglichen.
buildtoolbar_popup_mat_PerimeterWall	Wasserleitungen können nicht darunter verlegt werden.
dlc_name_prisonWing	Für Überführung freigegeben
d11_farm_search_freq_caption	Häufigkeit der Farmsuche
d11_farm_search_target_caption	Ziel der Farmsuche
d11_continuous_fertilizer_caption	Dauerhafter Dünger
Ingredients_UsageCaption_tooltip	Bestimmen Sie das Verhältnis zwischen den im Gefängnis produzierten und angelieferten Zutaten; Zutaten werden bestellt, sobald der gelagerte Bestand nicht ausreicht.
report_target_rewards	[Belohnungen]
report_target_progress	[Fortschritt]
grant_property_Active	Aktivieren
reform_program_and	und
objective_intake_closedriot	Einlieferung während Gefängnisaufstand nicht möglich
objective_HelpBasicFarming_child_4_Description	Der Hauptvorteil bei der Verwendung von im Gefängnis gezüchteten Zutaten statt der Standard Zutaten, die für gewöhnlich geliefert werden, liegt in den Effekten, den diese Zutaten beim Verzehr haben. \n\nInsassen, die frische Zutaten zu sich nehmen, erreichen einen höheren Effekt in Bezug auf ihr Hunger-Bedürfnis, während andere Bedürfnisse ebenfalls kleinere Steigerungen erhalten. \n\nInsassen, die ein ganzes Gericht aus frischen Zutaten zu sich nehmen, erhalten mit einer bestimmten Wahrscheinlichkeit den neuen Status „Gesund“, der einen ähnlichen Effekt auf die Insassen hat wieder Abschluss der Therapieprogramme für Drogen und Alkohol.
objective_HelpBasicFarming_child_5_Description	Im Gegensatz zu Standardzutaten haben die im Gefängnis gezüchteten Nutzpflanzen keine Konservierungsstoffe, die verhindern, dass Lebensmittel verderben. \n\nDaher müssen die Nutzpflanzen nach der Ernte entweder in einen gekühlten Bereich oder in die Vorratskammer gebracht werden, die immer gekühlt wird. \n\nAndernfalls werden sie nach 3 Tagen ablaufen, ihre Effekte beim Verzehr und ihr Exportpreis werden gemindert.
objective_HelpGreenEnergy_child_2_description	Wettertypen wirken sich entweder negativ oder positiv auf die Stromerzeugung einer jeden Energiequelle aus. \n\nDiese Effekte werden mithilfe einer +/- Grafik veranschaulicht, es erscheint zudem ein Tooltip, wenn der Zeiger über diese Energiequellen geführt wird. \n\nZum Beispiel wirkt sich sowohl der Wettertyp Heiter als auch der Wettertyp Hitzewelle positiv auf das Solarpanel aus, \ndie Wettertypen Bedeckt, Regen, Starkregen und Frost wirken sich hingegen negativ darauf aus.
objective_HelpGreenEnergy_child_4_description	Der Stromexport-Messer kann über eine Verkabelung an ein Umspannwerk angeschlossen werden. Wenn Batterien an dieses Umspannwerk angeschlossen sind, kann der darin gespeicherte Strom täglich als begrenzter Export verkauft werden. \n\nDie Exportbegrenzung kann erhöht werden, indem ein bestimmtes Ziel der umweltfreundlichen Energie erreicht wird.
objective_target_GreenEnergySource_task_1	Kaufen Sie [10] Solarpaneele.
objective_target_GreenEnergySource_task_2	Kaufen Sie [10] Solar/Wind-Hybriden.
reputation_swimmer_high	Schwimmer

# =============================================================================
# Uniform Colours
# =============================================================================

uniform_color_1	Grau
uniform_color_2	Orange
uniform_color_3	Rot
uniform_color_4	Gelb
uniform_color_5	Kastanienfarben
uniform_color_6	Schwarz
uniform_color_7	Weiß
uniform_color_9	Rosa
uniform_color_10	Braun
uniform_color_11	Grün
uniform_color_12	Blau
uniform_color_13	Himmelblau
uniform_color_14	Lachsfarben
uniform_color_15	Samt
uniform_color_16	Lila
uniform_color_17	Limette
uniform_color_18	Neonpink
uniform_color_19	Aquamarin
uniform_color_20	Metallgrau
uniform_color_21	Sand
uniform_color_22	Burgund
uniform_color_23	Schlick
uniform_color_24	Acid
uniform_color_25	Sturm
uniform_color_26	Violett
uniform_color_27	Schmutz
uniform_color_28	Stehlen
uniform_color_29	Lila
uniform_color_30	Eierschale
uniform_color_31	Ozean
object_TherapyAnimal	Therapietier
object_TherapyAnimalContainer	Therapietier-Behälter
object_AnimalTherapist	Tiertherapeut
object_RestaurantCustomer	Ziviler Kunde
object_DisplayCounter	Aufsteller
object_RehabilitatedPrisoner	Gebesserter Häftling
object_Oven	Ofen
object_DoughMixer	Knetmaschine
object_Dough	Teig
object_BreadLoaf	Brot
object_BreadBun	Brötchen
object_Cake	Kuchen
object_Cupcake	Cupcake
object_Baguette	Baguette
object_CivilianChild	Delinquent
object_RestaurantMeal	Restaurantessen
object_RestaurantIngredientsCooking	Restaurantessen (Kochen)
object_RestaurantPlateDirty	Teller (Schmutzig)
object_CakeStand	Kuchenstand
object_GrassBridge	Grasbrücke
object_DiningTableLarge	Esstisch (Groß)
object_DiningTableSmall	Esstisch (Klein)
object_DinerBooth	Essnische
object_DiningChair	Stuhl
object_SaloonDoor	Saloon-Türen (doppelt)
object_OrnateLantern	Verzierte Laterne
object_Chandelier	Kronleuchter
object_WallPanel	Wandelement (Rot)
object_WallPanelWood	Wandelement (Holz)
object_WallPanelStone	Wandelement (Stein)
object_WallPanelCorner_A	Wandelement Ecke Typ A (Rot)
object_WallPanelWoodCorner_A	Wandelement Ecke Typ A (Holz)
object_WallPanelStoneCorner_A	Wandelement Ecke Typ A (Stein)
object_WallPanelCorner_B	Wandelement Ecke Typ B (Rot)
object_WallPanelWoodCorner_B	Wandelement Ecke Typ B (Holz)
object_WallPanelStoneCorner_B	Wandelement Ecke Typ B (Stein)
object_ShopCounter	Ladentheke
object_NoEntrySign	Schild (kein Zutritt)
object_GymSign	Schild (Sportsaal)
object_PhoneSign	Schild (Telefon)
object_RestaurantSign	Schild (Restaurant)
object_BakerySign	Schild (Bäckerei)
object_VisitationSign	Schild (Besuch)
object_BakeryRawProduct	Rohes Bäckereiprodukt
object_BakeryCookedProduct	Fertiges Bäckereiprodukt
object_Flour	Mehl
buildtoolbar_popup_obj_DisplayCounter	Serviervorrichtung, die zur Aufbewahrung von Backwaren verwendet wird.
buildtoolbar_popup_obj_Oven	Spezialisiertes Küchengerät für die Herstellung von Backwaren.
buildtoolbar_popup_obj_DoughMixer	Verwandelt Mehl (und andere Zutaten) in Teig für Backwaren.
buildtoolbar_popup_obj_CakeStand	Aufsteller zur Präsentation süßer Köstlichkeiten.
buildtoolbar_popup_obj_GrassBridge	Eine grasbewachsene Brücke, die eine sichere Überquerung von Straßen ermöglicht.
buildtoolbar_popup_obj_DiningTableLarge	Ein hochwertiger Tisch, der jeder Mahlzeit ein höheres Maß an Klasse verleiht.
buildtoolbar_popup_obj_DiningTableSmall	Ein hochwertiger Tisch, der jeder Mahlzeit ein höheres Maß an Klasse verleiht.
buildtoolbar_popup_obj_DinerBooth	Ein Séparée im Stil der klassischen amerikanischen Diners.
buildtoolbar_popup_obj_DiningChair	Ein hochwertiger Stuhl, der jeder Mahlzeit ein höheres Maß an Klasse verleiht.
buildtoolbar_popup_obj_SaloonDoor	Zweiteilige Schwingtür aus Holz im Saloon-Stil.
buildtoolbar_popup_obj_OrnateLantern	Eine hochwertige Wandleuchte, die jedem Bereich ein höheres Maß an Klasse verleiht.
buildtoolbar_popup_obj_Chandelier	Eine hochwertige Deckenleuchte, die jedem Bereich ein höheres Maß an Klasse verleiht.
buildtoolbar_popup_obj_NoEntrySign	Wandschild mit dem Symbol „Kein Zutritt“.
buildtoolbar_popup_obj_GymSign	Wandschild mit dem Symbol eines Sportsaals.
buildtoolbar_popup_obj_PhoneSign	Wandschild mit einem Telefonsymbol.
buildtoolbar_popup_obj_RestaurantSign	Wandschild mit einem Restaurantsymbol.
buildtoolbar_popup_obj_BakerySign	Wandschild mit einem Bäckereisymbol.
buildtoolbar_popup_obj_VisitationSign	Wandschild mit einem Symbol für den Besucherraum.
buildtoolbar_popup_obj_WallPanel	Kurze Wandelemente zur Abgrenzung von Flächen, für die keine Raumkacheln freigeräumt werden müssen.
buildtoolbar_popup_obj_WallPanelWood	Kurze Wandelemente zur Abgrenzung von Flächen, für die keine Raumkacheln freigeräumt werden müssen.
buildtoolbar_popup_obj_WallPanelStone	Kurze Wandelemente zur Abgrenzung von Flächen, für die keine Raumkacheln freigeräumt werden müssen.
buildtoolbar_popup_obj_WallPanelCorner_A	Eckstücke für Wandelemente zur Abgrenzung von Flächen, für die keine Raumkacheln freigeräumt werden müssen.
buildtoolbar_popup_obj_WallPanelWoodCorner_A	Eckstücke für Wandelemente zur Abgrenzung von Flächen, für die keine Raumkacheln freigeräumt werden müssen.
buildtoolbar_popup_obj_WallPanelStoneCorner_A	Eckstücke für Wandelemente zur Abgrenzung von Flächen, für die keine Raumkacheln freigeräumt werden müssen.
buildtoolbar_popup_obj_WallPanelCorner_B	Eckstücke für Wandelemente zur Abgrenzung von Flächen, für die keine Raumkacheln freigeräumt werden müssen.
buildtoolbar_popup_obj_WallPanelWoodCorner_B	Eckstücke für Wandelemente zur Abgrenzung von Flächen, für die keine Raumkacheln freigeräumt werden müssen.
buildtoolbar_popup_obj_WallPanelStoneCorner_B	Eckstücke für Wandelemente zur Abgrenzung von Flächen, für die keine Raumkacheln freigeräumt werden müssen.
buildtoolbar_popup_obj_ShopCounter	Verkaufsstand, der nicht an der Wand befestigt werden muss.
room_Restaurant	Restaurant
room_Bakery	Bäckerei
room_TherapyRoom	Besprechungsraum
d11_restaurant_work	Restaurant
